Date,NO2_mean,NO2_max,NO2_min
2021-12-11,39.52,57.93,19.18
2021-12-12,18.204583333333332,32.29,7.54
2021-12-13,25.605,42.69,7.09
2021-12-14,29.424166666666665,45.58,11.61
2021-12-15,29.9525,44.52,10.72
2021-12-16,34.00333333333334,43.78,24.69
2021-12-17,34.36958333333333,48.67,18.42
2021-12-18,31.588333333333335,49.88,14.19
2021-12-19,21.797916666666666,30.91,14.42
2021-12-20,22.167916666666667,34.03,8.67
2021-12-21,41.064166666666665,65.5,14.01
2021-12-22,48.83166666666667,62.12,31.19
2021-12-23,32.09391304347826,40.18,21.48
2021-12-24,34.291111111111114,64.79,9.4
2021-12-25,16.07888888888889,23.95,8.82
2021-12-26,32.45166666666667,47.83,19.4
2021-12-27,32.31666666666666,51.93,12.33
2021-12-28,13.373333333333333,24.43,4.77
2021-12-29,23.375625,37.63,6.81
2021-12-30,9.758823529411766,15.94,3.15
2021-12-31,13.783888888888889,28.39,2.99
2022-01-01,11.36111111111111,19.68,4.73
2022-01-02,12.510555555555555,18.82,3.62
2022-01-03,14.546666666666665,30.86,3.23
2022-01-04,24.87222222222222,43.19,8.73
2022-01-05,28.872380952380954,48.39,8.73
2022-01-06,50.2125,70.57,18.79
2022-01-07,23.137083333333333,38.59,6.98
2022-01-08,24.948333333333334,35.4,12.25
2022-01-09,28.463333333333335,56.7,9.5
2022-01-10,61.08875,80.11,19.18
2022-01-11,36.002500000000005,60.84,13.08
2022-01-12,57.75541666666667,81.44,23.94
2022-01-13,59.28541666666666,78.5,42.66
2022-01-14,69.45875,94.42,51.41
2022-01-15,49.06375,69.38,33.31
2022-01-16,37.22,50.92,26.76
2022-01-17,59.477916666666665,89.0,19.96
2022-01-18,69.88125000000001,97.89,43.13
2022-01-19,33.86416666666667,47.8,24.53
2022-01-20,33.79,46.29,22.47
2022-01-21,53.62833333333333,70.17,31.49
2022-01-22,30.677083333333332,47.87,20.22
2022-01-23,34.17916666666667,61.44,15.02
2022-01-24,38.28666666666667,63.62,13.39
2022-01-25,33.49666666666666,48.72,21.15
2022-01-26,33.48916666666667,53.55,18.04
2022-01-27,35.58958333333333,83.89,8.32
2022-01-28,44.571666666666665,70.56,15.39
2022-01-29,15.71375,30.29,7.0
2022-01-30,31.087083333333336,53.94,9.4
2022-01-31,23.85166666666667,42.47,5.64
2022-02-01,21.16208333333333,30.9,10.99
2022-02-02,33.11083333333333,71.98,7.81
2022-02-03,26.483333333333334,47.87,8.94
2022-02-04,18.636666666666667,32.32,4.79
2022-02-05,15.860416666666666,23.84,5.94
2022-02-06,7.1312500000000005,17.12,2.84
2022-02-07,36.56375,64.63,8.51
2022-02-08,21.517083333333332,31.74,8.82
2022-02-09,25.312083333333334,42.05,5.89
2022-02-10,32.74041666666667,49.58,12.32
2022-02-11,45.123333333333335,64.06,18.11
2022-02-12,22.302916666666665,40.86,11.99
2022-02-13,15.341666666666667,30.29,7.03
2022-02-14,19.824166666666667,33.34,5.95
2022-02-15,27.415833333333335,53.28,12.02
2022-02-16,12.372916666666667,22.45,3.88
2022-02-17,22.214166666666667,45.17,3.92
2022-02-18,14.029166666666667,26.4,8.1
2022-02-19,17.0,38.11,7.9
2022-02-20,12.684166666666668,21.31,5.49
2022-02-21,16.546666666666667,61.34,4.3
2022-02-22,28.678749999999997,56.32,12.88
2022-02-23,34.755,60.7,12.02
2022-02-24,21.83125,40.43,5.56
2022-02-25,34.745416666666664,92.3,7.13
2022-02-26,37.05708333333333,65.36,14.43
2022-02-27,47.65833333333333,76.22,25.02
2022-02-28,33.61208333333333,50.03,14.0
2022-03-01,41.654583333333335,62.85,18.69
2022-03-02,65.48791666666666,95.25,32.2
2022-03-03,50.634166666666665,61.93,35.47
2022-03-04,38.38708333333333,54.74,24.65
2022-03-05,21.704583333333332,31.39,9.65
2022-03-06,13.868333333333332,21.01,7.58
2022-03-07,26.41875,44.9,8.7
2022-03-08,34.19375,49.41,19.92
2022-03-09,31.11583333333333,53.95,14.11
2022-03-10,29.769583333333333,44.93,13.9
2022-03-11,36.253750000000004,56.91,20.18
2022-03-12,13.551250000000001,25.01,5.92
2022-03-13,28.105833333333333,53.95,8.74
2022-03-14,38.2575,60.35,14.04
2022-03-15,40.871249999999996,56.92,22.26
2022-03-16,38.59666666666667,59.47,14.36
2022-03-17,35.63666666666666,79.15,10.85
2022-03-18,32.245,48.39,18.8
2022-03-19,18.74416666666667,24.57,14.43
2022-03-20,35.53666666666667,70.82,16.35
2022-03-21,41.65625,55.76,20.76
2022-03-22,49.41458333333333,83.66,24.02
2022-03-23,56.78583333333333,92.16,24.03
2022-03-24,64.81166666666667,102.37,31.23
2022-03-25,45.818333333333335,72.45,25.45
2022-03-26,32.06541666666667,43.72,16.85
2022-03-27,28.58869565217391,46.62,17.55
2022-03-28,46.147083333333335,58.41,28.03
2022-03-29,27.634583333333335,44.68,15.71
2022-03-30,25.25375,37.13,9.86
2022-03-31,17.4175,25.75,7.19
2022-04-01,19.789166666666667,33.1,7.83
2022-04-02,28.075,58.27,13.57
2022-04-03,34.412083333333335,64.2,10.45
2022-04-04,25.024583333333336,37.44,10.62
2022-04-05,20.550833333333333,30.09,10.06
2022-04-06,16.5,28.46,5.12
2022-04-07,13.707500000000001,24.42,6.26
2022-04-08,33.290416666666665,64.23,15.78
2022-04-09,30.16541666666667,54.25,12.25
2022-04-10,24.57166666666667,48.74,13.18
2022-04-11,43.595416666666665,66.9,18.25
2022-04-12,38.23291666666667,60.73,16.72
2022-04-13,25.867083333333337,47.42,13.08
2022-04-14,30.138333333333335,42.6,19.36
2022-04-15,26.202916666666667,38.66,15.6
2022-04-16,24.881666666666664,32.48,18.59
2022-04-17,28.715416666666666,45.72,13.48
2022-04-18,20.595833333333335,39.03,12.66
2022-04-19,47.655,63.51,21.05
2022-04-20,28.264166666666668,55.1,10.96
2022-04-21,30.648749999999996,45.1,16.46
2022-04-22,23.74791666666667,33.04,10.52
2022-04-23,16.392916666666668,22.8,10.31
2022-04-24,10.180833333333334,13.11,8.06
2022-04-25,19.17,39.33,7.75
2022-04-26,22.42,36.45,9.61
2022-04-27,24.118750000000002,41.0,10.2
2022-04-28,26.259583333333335,44.39,10.89
2022-04-29,17.756249999999998,24.44,12.74
2022-04-30,20.14125,28.69,14.28
2022-05-01,18.9475,27.12,8.74
2022-05-02,24.746666666666666,42.78,9.64
2022-05-03,25.078333333333333,43.89,17.04
2022-05-04,29.020416666666666,43.66,12.85
2022-05-05,22.95,51.67,10.98
2022-05-06,39.538333333333334,68.21,19.61
2022-05-07,17.236666666666668,27.06,10.52
2022-05-08,12.984166666666667,19.23,5.79
2022-05-09,26.695833333333336,52.45,12.77
2022-05-10,22.691666666666666,37.16,7.94
2022-05-11,19.221666666666668,35.27,6.28
2022-05-12,23.662499999999998,34.23,13.57
2022-05-13,12.210833333333333,18.4,8.02
2022-05-14,16.884583333333335,27.92,10.33
2022-05-15,39.61125,54.92,20.44
2022-05-16,24.66208333333333,46.57,10.79
2022-05-17,28.390416666666667,49.87,13.97
2022-05-18,23.999166666666667,33.68,8.44
2022-05-19,41.97708333333333,61.29,7.47
2022-05-20,24.40416666666667,44.74,8.96
2022-05-21,14.290833333333333,33.6,7.13
2022-05-22,19.19,33.08,9.86
2022-05-23,30.355,42.6,17.33
2022-05-24,22.1875,36.99,8.55
2022-05-25,19.799166666666668,30.03,14.01
2022-05-26,10.252916666666666,16.07,5.84
2022-05-27,8.5675,12.83,5.1
2022-05-28,10.693333333333333,14.17,5.41
2022-05-29,7.3625,14.49,3.61
2022-05-30,17.174583333333334,20.73,12.45
2022-05-31,29.09375,52.04,11.67
2022-06-01,19.409166666666668,45.58,11.6
2022-06-02,20.047083333333333,32.28,12.85
2022-06-03,14.025,20.71,7.29
2022-06-04,18.135416666666668,26.22,5.76
2022-06-05,12.374583333333334,26.91,7.08
2022-06-06,19.35833333333333,33.16,7.07
2022-06-07,20.446666666666665,33.21,8.47
2022-06-08,14.964166666666666,21.57,6.8
2022-06-09,17.608333333333334,31.96,8.2
2022-06-10,15.674166666666666,24.36,6.1
2022-06-11,14.22375,21.74,8.2
2022-06-12,12.019166666666665,19.8,6.44
2022-06-13,18.975833333333334,47.3,8.56
2022-06-14,25.265416666666667,35.6,17.17
2022-06-15,44.12041666666667,61.55,13.49
2022-06-16,45.87375,67.24,14.58
2022-06-17,36.775416666666665,65.12,22.84
2022-06-18,21.966250000000002,40.53,13.55
2022-06-19,10.570833333333333,15.31,5.56
2022-06-20,13.242083333333333,21.44,4.94
2022-06-21,57.02708333333334,92.37,14.18
2022-06-22,21.586250000000003,56.09,10.98
2022-06-23,29.31458333333333,50.22,15.52
2022-06-24,26.891666666666666,39.45,7.44
2022-06-25,15.289166666666667,27.43,8.55
2022-06-26,13.230833333333335,23.59,5.88
2022-06-27,12.04,23.57,5.68
2022-06-28,15.183333333333332,23.8,9.95
