Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Date,Latitude,Longitude
BL0,NO,2018-01-01,16.5,ug m-3,R,2018-01-01,51.522287,-0.125848
BL0,NO,2018-01-02,5.7,ug m-3,R,2018-01-02,51.522287,-0.125848
BL0,NO,2018-01-03,12.8,ug m-3,R,2018-01-03,51.522287,-0.125848
BL0,NO,2018-01-04,9.7,ug m-3,R,2018-01-04,51.522287,-0.125848
BL0,NO,2018-01-05,11.0,ug m-3,R,2018-01-05,51.522287,-0.125848
BL0,NO,2018-01-06,42.8,ug m-3,R,2018-01-06,51.522287,-0.125848
BL0,NO,2018-01-07,10.9,ug m-3,R,2018-01-07,51.522287,-0.125848
BL0,NO,2018-01-08,35.8,ug m-3,R,2018-01-08,51.522287,-0.125848
BL0,NO,2018-01-09,35.1,ug m-3,R,2018-01-09,51.522287,-0.125848
BL0,NO,2018-01-10,36.7,ug m-3,R,2018-01-10,51.522287,-0.125848
BL0,NO,2018-01-11,46.6,ug m-3,R,2018-01-11,51.522287,-0.125848
BL0,NO,2018-01-12,16.8,ug m-3,R,2018-01-12,51.522287,-0.125848
BL0,NO,2018-01-13,12.2,ug m-3,R,2018-01-13,51.522287,-0.125848
BL0,NO,2018-01-14,10.5,ug m-3,R,2018-01-14,51.522287,-0.125848
BL0,NO,2018-01-15,9.7,ug m-3,R,2018-01-15,51.522287,-0.125848
BL0,NO,2018-01-16,12.4,ug m-3,R,2018-01-16,51.522287,-0.125848
BL0,NO,2018-01-17,20.3,ug m-3,R,2018-01-17,51.522287,-0.125848
BL0,NO,2018-01-18,24.1,ug m-3,R,2018-01-18,51.522287,-0.125848
BL0,NO,2018-01-19,9.6,ug m-3,R,2018-01-19,51.522287,-0.125848
BL0,NO,2018-01-20,12.2,ug m-3,R,2018-01-20,51.522287,-0.125848
BL0,NO,2018-01-21,17.1,ug m-3,R,2018-01-21,51.522287,-0.125848
BL0,NO,2018-01-22,34.0,ug m-3,R,2018-01-22,51.522287,-0.125848
BL0,NO,2018-01-23,2.7,ug m-3,R,2018-01-23,51.522287,-0.125848
BL0,NO,2018-01-24,4.2,ug m-3,R,2018-01-24,51.522287,-0.125848
BL0,NO,2018-01-25,4.2,ug m-3,R,2018-01-25,51.522287,-0.125848
BL0,NO,2018-01-26,28.5,ug m-3,R,2018-01-26,51.522287,-0.125848
BL0,NO,2018-01-27,6.3,ug m-3,R,2018-01-27,51.522287,-0.125848
BL0,NO,2018-01-28,5.0,ug m-3,R,2018-01-28,51.522287,-0.125848
BL0,NO,2018-01-29,10.6,ug m-3,R,2018-01-29,51.522287,-0.125848
BL0,NO,2018-01-30,20.2,ug m-3,R,2018-01-30,51.522287,-0.125848
BL0,NO,2018-01-31,7.7,ug m-3,R,2018-01-31,51.522287,-0.125848
BL0,NO,2018-02-01,26.3,ug m-3,R,2018-02-01,51.522287,-0.125848
BL0,NO,2018-02-02,39.3,ug m-3,R,2018-02-02,51.522287,-0.125848
BL0,NO,2018-02-03,24.7,ug m-3,R,2018-02-03,51.522287,-0.125848
BL0,NO,2018-02-04,14.7,ug m-3,R,2018-02-04,51.522287,-0.125848
BL0,NO,2018-02-05,19.6,ug m-3,R,2018-02-05,51.522287,-0.125848
BL0,NO,2018-02-06,35.5,ug m-3,R,2018-02-06,51.522287,-0.125848
BL0,NO,2018-02-07,37.3,ug m-3,R,2018-02-07,51.522287,-0.125848
BL0,NO,2018-02-08,11.9,ug m-3,R,2018-02-08,51.522287,-0.125848
BL0,NO,2018-02-09,28.5,ug m-3,R,2018-02-09,51.522287,-0.125848
BL0,NO,2018-02-10,6.1,ug m-3,R,2018-02-10,51.522287,-0.125848
BL0,NO,2018-02-11,29.3,ug m-3,R,2018-02-11,51.522287,-0.125848
BL0,NO,2018-02-12,14.2,ug m-3,R,2018-02-12,51.522287,-0.125848
BL0,NO,2018-02-13,7.8,ug m-3,R,2018-02-13,51.522287,-0.125848
BL0,NO,2018-02-14,14.4,ug m-3,R,2018-02-14,51.522287,-0.125848
BL0,NO,2018-02-15,9.4,ug m-3,R,2018-02-15,51.522287,-0.125848
BL0,NO,2018-02-16,9.4,ug m-3,R,2018-02-16,51.522287,-0.125848
BL0,NO,2018-02-17,24.9,ug m-3,R,2018-02-17,51.522287,-0.125848
BL0,NO,2018-02-18,10.9,ug m-3,R,2018-02-18,51.522287,-0.125848
BL0,NO,2018-02-19,27.5,ug m-3,R,2018-02-19,51.522287,-0.125848
BL0,NO,2018-02-20,17.0,ug m-3,R,2018-02-20,51.522287,-0.125848
BL0,NO,2018-02-21,20.2,ug m-3,R,2018-02-21,51.522287,-0.125848
BL0,NO,2018-02-22,18.3,ug m-3,R,2018-02-22,51.522287,-0.125848
BL0,NO,2018-02-23,19.8,ug m-3,R,2018-02-23,51.522287,-0.125848
BL0,NO,2018-02-24,16.9,ug m-3,R,2018-02-24,51.522287,-0.125848
BL0,NO,2018-02-25,11.3,ug m-3,R,2018-02-25,51.522287,-0.125848
BL0,NO,2018-02-26,13.57,ug m-3,R,2018-02-26,51.522287,-0.125848
BL0,NO,2018-02-27,15.83,ug m-3,R,2018-02-27,51.522287,-0.125848
BL0,NO,2018-02-28,18.1,ug m-3,R,2018-02-28,51.522287,-0.125848
BL0,NO,2018-03-01,11.5,ug m-3,R,2018-03-01,51.522287,-0.125848
BL0,NO,2018-03-02,17.9,ug m-3,R,2018-03-02,51.522287,-0.125848
BL0,NO,2018-03-03,22.6,ug m-3,R,2018-03-03,51.522287,-0.125848
BL0,NO,2018-03-04,15.3,ug m-3,R,2018-03-04,51.522287,-0.125848
BL0,NO,2018-03-05,11.4,ug m-3,R,2018-03-05,51.522287,-0.125848
BL0,NO,2018-03-06,6.4,ug m-3,R,2018-03-06,51.522287,-0.125848
BL0,NO,2018-03-07,27.3,ug m-3,R,2018-03-07,51.522287,-0.125848
BL0,NO,2018-03-08,7.5,ug m-3,R,2018-03-08,51.522287,-0.125848
BL0,NO,2018-03-09,18.9,ug m-3,R,2018-03-09,51.522287,-0.125848
BL0,NO,2018-03-10,3.2,ug m-3,R,2018-03-10,51.522287,-0.125848
BL0,NO,2018-03-11,28.0,ug m-3,R,2018-03-11,51.522287,-0.125848
BL0,NO,2018-03-12,34.1,ug m-3,R,2018-03-12,51.522287,-0.125848
BL0,NO,2018-03-13,17.9,ug m-3,R,2018-03-13,51.522287,-0.125848
BL0,NO,2018-03-14,9.6,ug m-3,R,2018-03-14,51.522287,-0.125848
BL0,NO,2018-03-15,11.5,ug m-3,R,2018-03-15,51.522287,-0.125848
BL0,NO,2018-03-16,11.0,ug m-3,R,2018-03-16,51.522287,-0.125848
BL0,NO,2018-03-17,10.1,ug m-3,R,2018-03-17,51.522287,-0.125848
BL0,NO,2018-03-18,10.0,ug m-3,R,2018-03-18,51.522287,-0.125848
BL0,NO,2018-03-19,12.0,ug m-3,R,2018-03-19,51.522287,-0.125848
BL0,NO,2018-03-20,14.9,ug m-3,R,2018-03-20,51.522287,-0.125848
BL0,NO,2018-03-21,31.5,ug m-3,R,2018-03-21,51.522287,-0.125848
BL0,NO,2018-03-22,14.8,ug m-3,R,2018-03-22,51.522287,-0.125848
