Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,O3,01/01/2018 00:00,38.00000,ug m-3,R
BL0,O3,02/01/2018 00:00,33.30000,ug m-3,R
BL0,O3,03/01/2018 00:00,47.10000,ug m-3,R
BL0,O3,04/01/2018 00:00,40.30000,ug m-3,R
BL0,O3,05/01/2018 00:00,34.40000,ug m-3,R
BL0,O3,06/01/2018 00:00,8.10000,ug m-3,R
BL0,O3,07/01/2018 00:00,32.50000,ug m-3,R
BL0,O3,08/01/2018 00:00,11.90000,ug m-3,R
BL0,O3,09/01/2018 00:00,1.70000,ug m-3,R
BL0,O3,10/01/2018 00:00,15.80000,ug m-3,R
BL0,O3,11/01/2018 00:00,1.10000,ug m-3,R
BL0,O3,12/01/2018 00:00,13.20000,ug m-3,R
BL0,O3,13/01/2018 00:00,20.20000,ug m-3,R
BL0,O3,14/01/2018 00:00,17.90000,ug m-3,R
BL0,O3,15/01/2018 00:00,32.10000,ug m-3,R
BL0,O3,16/01/2018 00:00,40.20000,ug m-3,R
BL0,O3,17/01/2018 00:00,35.50000,ug m-3,R
BL0,O3,18/01/2018 00:00,35.10000,ug m-3,R
BL0,O3,19/01/2018 00:00,30.10000,ug m-3,R
BL0,O3,20/01/2018 00:00,27.50000,ug m-3,R
BL0,O3,21/01/2018 00:00,14.50000,ug m-3,R
BL0,O3,22/01/2018 00:00,17.10000,ug m-3,R
BL0,O3,23/01/2018 00:00,41.00000,ug m-3,R
BL0,O3,24/01/2018 00:00,48.50000,ug m-3,R
BL0,O3,25/01/2018 00:00,37.80000,ug m-3,R
BL0,O3,26/01/2018 00:00,11.90000,ug m-3,R
BL0,O3,27/01/2018 00:00,24.40000,ug m-3,R
BL0,O3,28/01/2018 00:00,46.10000,ug m-3,R
BL0,O3,29/01/2018 00:00,37.80000,ug m-3,R
BL0,O3,30/01/2018 00:00,14.80000,ug m-3,R
BL0,O3,31/01/2018 00:00,40.00000,ug m-3,R
BL0,O3,01/02/2018 00:00,24.10000,ug m-3,R
BL0,O3,02/02/2018 00:00,13.80000,ug m-3,R
BL0,O3,03/02/2018 00:00,8.80000,ug m-3,R
BL0,O3,04/02/2018 00:00,23.70000,ug m-3,R
BL0,O3,05/02/2018 00:00,20.00000,ug m-3,R
BL0,O3,06/02/2018 00:00,11.10000,ug m-3,R
BL0,O3,07/02/2018 00:00,11.20000,ug m-3,R
BL0,O3,08/02/2018 00:00,27.30000,ug m-3,R
BL0,O3,09/02/2018 00:00,27.80000,ug m-3,R
BL0,O3,10/02/2018 00:00,31.30000,ug m-3,R
BL0,O3,11/02/2018 00:00,32.00000,ug m-3,R
BL0,O3,12/02/2018 00:00,32.60000,ug m-3,R
BL0,O3,13/02/2018 00:00,36.60000,ug m-3,R
BL0,O3,14/02/2018 00:00,24.60000,ug m-3,R
BL0,O3,15/02/2018 00:00,30.00000,ug m-3,R
BL0,O3,16/02/2018 00:00,27.10000,ug m-3,R
BL0,O3,17/02/2018 00:00,23.20000,ug m-3,R
BL0,O3,18/02/2018 00:00,36.80000,ug m-3,R
BL0,O3,19/02/2018 00:00,15.80000,ug m-3,R
BL0,O3,20/02/2018 00:00,18.60000,ug m-3,R
BL0,O3,21/02/2018 00:00,17.70000,ug m-3,R
BL0,O3,22/02/2018 00:00,24.80000,ug m-3,R
BL0,O3,23/02/2018 00:00,20.10000,ug m-3,R
BL0,O3,24/02/2018 00:00,23.50000,ug m-3,R
BL0,O3,25/02/2018 00:00,37.30000,ug m-3,R
BL0,O3,26/02/2018 00:00,,ug m-3,R
BL0,O3,27/02/2018 00:00,,ug m-3,R
BL0,O3,28/02/2018 00:00,30.60000,ug m-3,R
BL0,O3,01/03/2018 00:00,37.70000,ug m-3,R
BL0,O3,02/03/2018 00:00,25.90000,ug m-3,R
BL0,O3,03/03/2018 00:00,12.40000,ug m-3,R
BL0,O3,04/03/2018 00:00,30.70000,ug m-3,R
BL0,O3,05/03/2018 00:00,41.30000,ug m-3,R
BL0,O3,06/03/2018 00:00,38.00000,ug m-3,R
BL0,O3,07/03/2018 00:00,21.90000,ug m-3,R
BL0,O3,08/03/2018 00:00,48.10000,ug m-3,R
BL0,O3,09/03/2018 00:00,17.90000,ug m-3,R
BL0,O3,10/03/2018 00:00,33.20000,ug m-3,R
BL0,O3,11/03/2018 00:00,11.00000,ug m-3,R
BL0,O3,12/03/2018 00:00,8.60000,ug m-3,R
BL0,O3,13/03/2018 00:00,26.20000,ug m-3,R
BL0,O3,14/03/2018 00:00,41.80000,ug m-3,R
BL0,O3,15/03/2018 00:00,37.10000,ug m-3,R
BL0,O3,16/03/2018 00:00,46.20000,ug m-3,R
BL0,O3,17/03/2018 00:00,39.60000,ug m-3,R
BL0,O3,18/03/2018 00:00,41.40000,ug m-3,R
BL0,O3,19/03/2018 00:00,50.50000,ug m-3,R
BL0,O3,20/03/2018 00:00,36.20000,ug m-3,R
BL0,O3,21/03/2018 00:00,24.10000,ug m-3,R
BL0,O3,22/03/2018 00:00,42.10000,ug m-3,R
BL0,O3,23/03/2018 00:00,65.20000,ug m-3,R
BL0,O3,24/03/2018 00:00,21.30000,ug m-3,R
BL0,O3,25/03/2018 00:00,22.60000,ug m-3,R
BL0,O3,26/03/2018 00:00,43.30000,ug m-3,R
BL0,O3,27/03/2018 00:00,36.10000,ug m-3,R
BL0,O3,28/03/2018 00:00,32.80000,ug m-3,R
BL0,O3,29/03/2018 00:00,40.00000,ug m-3,R
BL0,O3,30/03/2018 00:00,35.80000,ug m-3,R
BL0,O3,31/03/2018 00:00,34.60000,ug m-3,R
BL0,O3,01/04/2018 00:00,39.60000,ug m-3,R
BL0,O3,02/04/2018 00:00,44.60000,ug m-3,R
BL0,O3,03/04/2018 00:00,57.40000,ug m-3,R
BL0,O3,04/04/2018 00:00,57.90000,ug m-3,R
BL0,O3,05/04/2018 00:00,51.20000,ug m-3,R
BL0,O3,06/04/2018 00:00,45.00000,ug m-3,R
BL0,O3,07/04/2018 00:00,33.40000,ug m-3,R
BL0,O3,08/04/2018 00:00,28.50000,ug m-3,R
BL0,O3,09/04/2018 00:00,15.80000,ug m-3,R
BL0,O3,10/04/2018 00:00,24.10000,ug m-3,R
BL0,O3,11/04/2018 00:00,11.70000,ug m-3,R
BL0,O3,12/04/2018 00:00,15.20000,ug m-3,R
BL0,O3,13/04/2018 00:00,30.40000,ug m-3,R
BL0,O3,14/04/2018 00:00,32.20000,ug m-3,R
BL0,O3,15/04/2018 00:00,41.80000,ug m-3,R
BL0,O3,16/04/2018 00:00,66.90000,ug m-3,R
BL0,O3,17/04/2018 00:00,68.70000,ug m-3,R
BL0,O3,18/04/2018 00:00,44.30000,ug m-3,R
BL0,O3,19/04/2018 00:00,50.80000,ug m-3,R
BL0,O3,20/04/2018 00:00,41.10000,ug m-3,R
BL0,O3,21/04/2018 00:00,34.00000,ug m-3,R
BL0,O3,22/04/2018 00:00,61.10000,ug m-3,R
BL0,O3,23/04/2018 00:00,54.00000,ug m-3,R
