Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,FINE,01/01/2018 00:00,,ug/m3,P
BL0,FINE,02/01/2018 00:00,,ug/m3,P
BL0,FINE,03/01/2018 00:00,,ug/m3,P
BL0,FINE,04/01/2018 00:00,,ug/m3,P
BL0,FINE,05/01/2018 00:00,,ug/m3,P
BL0,FINE,06/01/2018 00:00,,ug/m3,P
BL0,FINE,07/01/2018 00:00,,ug/m3,P
BL0,FINE,08/01/2018 00:00,,ug/m3,P
BL0,FINE,09/01/2018 00:00,,ug/m3,P
BL0,FINE,10/01/2018 00:00,,ug/m3,P
BL0,FINE,11/01/2018 00:00,,ug/m3,P
BL0,FINE,12/01/2018 00:00,,ug/m3,P
BL0,FINE,13/01/2018 00:00,,ug/m3,P
BL0,FINE,14/01/2018 00:00,,ug/m3,P
BL0,FINE,15/01/2018 00:00,,ug/m3,P
BL0,FINE,16/01/2018 00:00,,ug/m3,P
BL0,FINE,17/01/2018 00:00,,ug/m3,P
BL0,FINE,18/01/2018 00:00,,ug/m3,P
BL0,FINE,19/01/2018 00:00,,ug/m3,P
BL0,FINE,20/01/2018 00:00,,ug/m3,P
BL0,FINE,21/01/2018 00:00,,ug/m3,P
BL0,FINE,22/01/2018 00:00,,ug/m3,P
BL0,FINE,23/01/2018 00:00,,ug/m3,P
BL0,FINE,24/01/2018 00:00,,ug/m3,P
BL0,FINE,25/01/2018 00:00,,ug/m3,P
BL0,FINE,26/01/2018 00:00,,ug/m3,P
BL0,FINE,27/01/2018 00:00,,ug/m3,P
BL0,FINE,28/01/2018 00:00,,ug/m3,P
BL0,FINE,29/01/2018 00:00,,ug/m3,P
BL0,FINE,30/01/2018 00:00,,ug/m3,P
BL0,FINE,31/01/2018 00:00,,ug/m3,P
BL0,FINE,01/02/2018 00:00,,ug/m3,P
BL0,FINE,02/02/2018 00:00,,ug/m3,P
BL0,FINE,03/02/2018 00:00,,ug/m3,P
BL0,FINE,04/02/2018 00:00,,ug/m3,P
BL0,FINE,05/02/2018 00:00,,ug/m3,P
BL0,FINE,06/02/2018 00:00,,ug/m3,P
BL0,FINE,07/02/2018 00:00,,ug/m3,P
BL0,FINE,08/02/2018 00:00,,ug/m3,P
BL0,FINE,09/02/2018 00:00,,ug/m3,P
BL0,FINE,10/02/2018 00:00,,ug/m3,P
BL0,FINE,11/02/2018 00:00,,ug/m3,P
BL0,FINE,12/02/2018 00:00,,ug/m3,P
BL0,FINE,13/02/2018 00:00,,ug/m3,P
BL0,FINE,14/02/2018 00:00,,ug/m3,P
BL0,FINE,15/02/2018 00:00,,ug/m3,P
BL0,FINE,16/02/2018 00:00,,ug/m3,P
BL0,FINE,17/02/2018 00:00,,ug/m3,P
BL0,FINE,18/02/2018 00:00,,ug/m3,P
BL0,FINE,19/02/2018 00:00,,ug/m3,P
BL0,FINE,20/02/2018 00:00,,ug/m3,P
BL0,FINE,21/02/2018 00:00,,ug/m3,P
BL0,FINE,22/02/2018 00:00,,ug/m3,P
BL0,FINE,23/02/2018 00:00,,ug/m3,P
BL0,FINE,24/02/2018 00:00,,ug/m3,P
BL0,FINE,25/02/2018 00:00,,ug/m3,P
BL0,FINE,26/02/2018 00:00,,ug/m3,P
BL0,FINE,27/02/2018 00:00,,ug/m3,P
BL0,FINE,28/02/2018 00:00,,ug/m3,P
BL0,FINE,01/03/2018 00:00,,ug/m3,P
BL0,FINE,02/03/2018 00:00,,ug/m3,P
BL0,FINE,03/03/2018 00:00,,ug/m3,P
BL0,FINE,04/03/2018 00:00,,ug/m3,P
BL0,FINE,05/03/2018 00:00,,ug/m3,P
