Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT2,O3,01/01/2018 00:00,,ug m-3,P
CT2,O3,02/01/2018 00:00,,ug m-3,P
CT2,O3,03/01/2018 00:00,,ug m-3,P
CT2,O3,04/01/2018 00:00,,ug m-3,P
CT2,O3,05/01/2018 00:00,,ug m-3,P
CT2,O3,06/01/2018 00:00,,ug m-3,P
CT2,O3,07/01/2018 00:00,,ug m-3,P
CT2,O3,08/01/2018 00:00,,ug m-3,P
CT2,O3,09/01/2018 00:00,,ug m-3,P
CT2,O3,10/01/2018 00:00,,ug m-3,P
CT2,O3,11/01/2018 00:00,,ug m-3,P
CT2,O3,12/01/2018 00:00,,ug m-3,P
CT2,O3,13/01/2018 00:00,,ug m-3,P
CT2,O3,14/01/2018 00:00,,ug m-3,P
CT2,O3,15/01/2018 00:00,,ug m-3,P
CT2,O3,16/01/2018 00:00,,ug m-3,P
CT2,O3,17/01/2018 00:00,,ug m-3,P
CT2,O3,18/01/2018 00:00,,ug m-3,P
CT2,O3,19/01/2018 00:00,,ug m-3,P
CT2,O3,20/01/2018 00:00,,ug m-3,P
CT2,O3,21/01/2018 00:00,,ug m-3,P
CT2,O3,22/01/2018 00:00,,ug m-3,P
CT2,O3,23/01/2018 00:00,,ug m-3,P
CT2,O3,24/01/2018 00:00,,ug m-3,P
CT2,O3,25/01/2018 00:00,,ug m-3,P
CT2,O3,26/01/2018 00:00,,ug m-3,P
CT2,O3,27/01/2018 00:00,,ug m-3,P
CT2,O3,28/01/2018 00:00,,ug m-3,P
CT2,O3,29/01/2018 00:00,,ug m-3,P
CT2,O3,30/01/2018 00:00,,ug m-3,P
CT2,O3,31/01/2018 00:00,,ug m-3,P
CT2,O3,01/02/2018 00:00,,ug m-3,P
CT2,O3,02/02/2018 00:00,,ug m-3,P
CT2,O3,03/02/2018 00:00,,ug m-3,P
CT2,O3,04/02/2018 00:00,,ug m-3,P
CT2,O3,05/02/2018 00:00,,ug m-3,P
CT2,O3,06/02/2018 00:00,,ug m-3,P
CT2,O3,07/02/2018 00:00,,ug m-3,P
CT2,O3,08/02/2018 00:00,,ug m-3,P
CT2,O3,09/02/2018 00:00,,ug m-3,P
CT2,O3,10/02/2018 00:00,,ug m-3,P
CT2,O3,11/02/2018 00:00,,ug m-3,P
CT2,O3,12/02/2018 00:00,,ug m-3,P
CT2,O3,13/02/2018 00:00,,ug m-3,P
CT2,O3,14/02/2018 00:00,,ug m-3,P
CT2,O3,15/02/2018 00:00,,ug m-3,P
