Site,ReadingDateTime,Value
London N. Kensington (RBKC North Kensington),01/01/2018,8.665625
London N. Kensington (RBKC North Kensington),02/01/2018,13.445833333333333
London N. Kensington (RBKC North Kensington),03/01/2018,19.136458333333334
London N. Kensington (RBKC North Kensington),04/01/2018,9.921875
London N. Kensington (RBKC North Kensington),05/01/2018,10.117708333333333
London N. Kensington (RBKC North Kensington),06/01/2018,14.719791666666666
London N. Kensington (RBKC North Kensington),07/01/2018,10.200000000000001
London N. Kensington (RBKC North Kensington),08/01/2018,18.169791666666665
London N. Kensington (RBKC North Kensington),09/01/2018,29.453125
London N. Kensington (RBKC North Kensington),10/01/2018,16.571875000000002
London N. Kensington (RBKC North Kensington),11/01/2018,23.469791666666666
London N. Kensington (RBKC North Kensington),12/01/2018,18.9875
London N. Kensington (RBKC North Kensington),13/01/2018,22.198958333333334
London N. Kensington (RBKC North Kensington),14/01/2018,25.179166666666664
London N. Kensington (RBKC North Kensington),15/01/2018,7.261458333333334
London N. Kensington (RBKC North Kensington),16/01/2018,7.489583333333333
London N. Kensington (RBKC North Kensington),17/01/2018,10.519791666666666
London N. Kensington (RBKC North Kensington),18/01/2018,7.032291666666667
London N. Kensington (RBKC North Kensington),19/01/2018,10.460416666666667
London N. Kensington (RBKC North Kensington),20/01/2018,7.960416666666667
London N. Kensington (RBKC North Kensington),21/01/2018,11.109375
London N. Kensington (RBKC North Kensington),22/01/2018,11.882291666666667
London N. Kensington (RBKC North Kensington),23/01/2018,5.570833333333333
London N. Kensington (RBKC North Kensington),24/01/2018,5.6375
London N. Kensington (RBKC North Kensington),25/01/2018,14.121875000000001
London N. Kensington (RBKC North Kensington),26/01/2018,15.090625000000001
London N. Kensington (RBKC North Kensington),27/01/2018,10.977083333333333
London N. Kensington (RBKC North Kensington),28/01/2018,3.93125
London N. Kensington (RBKC North Kensington),29/01/2018,5.836458333333333
London N. Kensington (RBKC North Kensington),30/01/2018,12.813541666666666
London N. Kensington (RBKC North Kensington),31/01/2018,5.992708333333333
London N. Kensington (RBKC North Kensington),01/02/2018,10.328833333333334
London N. Kensington (RBKC North Kensington),02/02/2018,13.36875
London N. Kensington (RBKC North Kensington),03/02/2018,11.679166666666667
London N. Kensington (RBKC North Kensington),04/02/2018,7.998958333333333
London N. Kensington (RBKC North Kensington),05/02/2018,12.600000000000001
London N. Kensington (RBKC North Kensington),06/02/2018,19.552083333333332
London N. Kensington (RBKC North Kensington),07/02/2018,16.372916666666665
London N. Kensington (RBKC North Kensington),08/02/2018,14.869791666666666
London N. Kensington (RBKC North Kensington),09/02/2018,9.891666666666667
London N. Kensington (RBKC North Kensington),10/02/2018,7.170833333333333
London N. Kensington (RBKC North Kensington),11/02/2018,4.7
London N. Kensington (RBKC North Kensington),12/02/2018,9.819791666666667
London N. Kensington (RBKC North Kensington),13/02/2018,8.648958333333333
London N. Kensington (RBKC North Kensington),14/02/2018,9.566666666666666
London N. Kensington (RBKC North Kensington),15/02/2018,12.533333333333333
London N. Kensington (RBKC North Kensington),16/02/2018,14.022916666666667
London N. Kensington (RBKC North Kensington),17/02/2018,16.506249999999998
London N. Kensington (RBKC North Kensington),18/02/2018,13.586458333333333
London N. Kensington (RBKC North Kensington),19/02/2018,16.275000000000002
London N. Kensington (RBKC North Kensington),20/02/2018,11.034374999999999
London N. Kensington (RBKC North Kensington),21/02/2018,37.266666666666666
London N. Kensington (RBKC North Kensington),22/02/2018,26.854166666666668
London N. Kensington (RBKC North Kensington),23/02/2018,25.31041666666667
London N. Kensington (RBKC North Kensington),24/02/2018,28.421875
London N. Kensington (RBKC North Kensington),25/02/2018,15.139583333333334
London N. Kensington (RBKC North Kensington),26/02/2018,11.119791666666666
London N. Kensington (RBKC North Kensington),27/02/2018,10.992708333333333
London N. Kensington (RBKC North Kensington),28/02/2018,19.688541666666666
London N. Kensington (RBKC North Kensington),01/03/2018,40.36666666666667
London N. Kensington (RBKC North Kensington),02/03/2018,45.98541666666667
London N. Kensington (RBKC North Kensington),03/03/2018,67.66562499999999
London N. Kensington (RBKC North Kensington),04/03/2018,18.713541666666668
London N. Kensington (RBKC North Kensington),05/03/2018,13.157291666666666
London N. Kensington (RBKC North Kensington),06/03/2018,9.339583333333334
London N. Kensington (RBKC North Kensington),07/03/2018,13.735416666666666
London N. Kensington (RBKC North Kensington),08/03/2018,6.984375
London N. Kensington (RBKC North Kensington),09/03/2018,15.371875000000001
London N. Kensington (RBKC North Kensington),10/03/2018,16.024666666666665
London N. Kensington (RBKC North Kensington),11/03/2018,20.533333333333335
London N. Kensington (RBKC North Kensington),12/03/2018,9.913541666666667
London N. Kensington (RBKC North Kensington),13/03/2018,11.682291666666666
London N. Kensington (RBKC North Kensington),14/03/2018,11.078125
London N. Kensington (RBKC North Kensington),15/03/2018,8.5875
London N. Kensington (RBKC North Kensington),16/03/2018,13.231250000000001
London N. Kensington (RBKC North Kensington),17/03/2018,17.028125
London N. Kensington (RBKC North Kensington),18/03/2018,27.959374999999998
London N. Kensington (RBKC North Kensington),19/03/2018,18.847916666666666
London N. Kensington (RBKC North Kensington),20/03/2018,14.535416666666668
London N. Kensington (RBKC North Kensington),21/03/2018,17.630208333333332
London N. Kensington (RBKC North Kensington),22/03/2018,14.401041666666666
London N. Kensington (RBKC North Kensington),23/03/2018,13.154166666666667
London N. Kensington (RBKC North Kensington),24/03/2018,24.828125
London N. Kensington (RBKC North Kensington),25/03/2018,27.957291666666666
London N. Kensington (RBKC North Kensington),26/03/2018,12.011458333333332
London N. Kensington (RBKC North Kensington),27/03/2018,7.158333333333334
London N. Kensington (RBKC North Kensington),28/03/2018,6.963541666666667
London N. Kensington (RBKC North Kensington),29/03/2018,8.535416666666666
London N. Kensington (RBKC North Kensington),30/03/2018,8.244791666666666
London N. Kensington (RBKC North Kensington),31/03/2018,5.828125
London N. Kensington (RBKC North Kensington),01/04/2018,9.844791666666667
London N. Kensington (RBKC North Kensington),02/04/2018,7.6781250000000005
London N. Kensington (RBKC North Kensington),03/04/2018,8.803125
London N. Kensington (RBKC North Kensington),04/04/2018,9.147916666666667
London N. Kensington (RBKC North Kensington),05/04/2018,6.005208333333333
London N. Kensington (RBKC North Kensington),06/04/2018,14.476041666666667
London N. Kensington (RBKC North Kensington),07/04/2018,20.694791666666667
London N. Kensington (RBKC North Kensington),08/04/2018,15.119791666666666
London N. Kensington (RBKC North Kensington),09/04/2018,18.804166666666667
London N. Kensington (RBKC North Kensington),10/04/2018,25.040625000000002
London N. Kensington (RBKC North Kensington),11/04/2018,37.009375
London N. Kensington (RBKC North Kensington),12/04/2018,31.458333333333332
London N. Kensington (RBKC North Kensington),13/04/2018,20.889583333333334
London N. Kensington (RBKC North Kensington),14/04/2018,32.630208333333336
London N. Kensington (RBKC North Kensington),15/04/2018,22.371875
London N. Kensington (RBKC North Kensington),16/04/2018,14.179166666666667
London N. Kensington (RBKC North Kensington),17/04/2018,12.997916666666667
London N. Kensington (RBKC North Kensington),18/04/2018,15.625
London N. Kensington (RBKC North Kensington),19/04/2018,31.165625000000002
London N. Kensington (RBKC North Kensington),20/04/2018,26.582291666666666
London N. Kensington (RBKC North Kensington),21/04/2018,36.19375
London N. Kensington (RBKC North Kensington),22/04/2018,23.06041666666667
London N. Kensington (RBKC North Kensington),23/04/2018,7.805208333333333
London N. Kensington (RBKC North Kensington),24/04/2018,8.4375
London N. Kensington (RBKC North Kensington),25/04/2018,7.840625
London N. Kensington (RBKC North Kensington),26/04/2018,10.053125
London N. Kensington (RBKC North Kensington),27/04/2018,12.190624999999999
London N. Kensington (RBKC North Kensington),28/04/2018,6.619791666666667
London N. Kensington (RBKC North Kensington),29/04/2018,6.567708333333333
London N. Kensington (RBKC North Kensington),30/04/2018,10.373958333333333
London N. Kensington (RBKC North Kensington),01/05/2018,8.423958333333333
London N. Kensington (RBKC North Kensington),02/05/2018,6.002083333333334
London N. Kensington (RBKC North Kensington),03/05/2018,11.583333333333334
London N. Kensington (RBKC North Kensington),04/05/2018,14.823958333333335
London N. Kensington (RBKC North Kensington),05/05/2018,22.51875
London N. Kensington (RBKC North Kensington),06/05/2018,28.992708333333336
London N. Kensington (RBKC North Kensington),07/05/2018,30.686458333333334
London N. Kensington (RBKC North Kensington),08/05/2018,28.030208333333334
