Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC1,NOX,01/01/2018 00:00,19.00000,ug m-3 as NO2,R
KC1,NOX,02/01/2018 00:00,42.60000,ug m-3 as NO2,R
KC1,NOX,03/01/2018 00:00,16.70000,ug m-3 as NO2,R
KC1,NOX,04/01/2018 00:00,35.00000,ug m-3 as NO2,R
KC1,NOX,05/01/2018 00:00,59.00000,ug m-3 as NO2,R
KC1,NOX,06/01/2018 00:00,62.20000,ug m-3 as NO2,R
KC1,NOX,07/01/2018 00:00,21.00000,ug m-3 as NO2,R
KC1,NOX,08/01/2018 00:00,46.50000,ug m-3 as NO2,R
KC1,NOX,09/01/2018 00:00,75.70000,ug m-3 as NO2,R
KC1,NOX,10/01/2018 00:00,143.60001,ug m-3 as NO2,R
KC1,NOX,11/01/2018 00:00,106.00000,ug m-3 as NO2,R
KC1,NOX,12/01/2018 00:00,60.00000,ug m-3 as NO2,R
KC1,NOX,13/01/2018 00:00,38.70000,ug m-3 as NO2,R
KC1,NOX,14/01/2018 00:00,38.20000,ug m-3 as NO2,R
KC1,NOX,15/01/2018 00:00,,ug m-3 as NO2,R
KC1,NOX,16/01/2018 00:00,33.20000,ug m-3 as NO2,R
KC1,NOX,17/01/2018 00:00,25.00000,ug m-3 as NO2,R
KC1,NOX,18/01/2018 00:00,25.30000,ug m-3 as NO2,R
KC1,NOX,19/01/2018 00:00,51.00000,ug m-3 as NO2,R
KC1,NOX,20/01/2018 00:00,51.30000,ug m-3 as NO2,R
KC1,NOX,21/01/2018 00:00,58.10000,ug m-3 as NO2,R
KC1,NOX,22/01/2018 00:00,54.90000,ug m-3 as NO2,R
KC1,NOX,23/01/2018 00:00,23.20000,ug m-3 as NO2,R
KC1,NOX,24/01/2018 00:00,21.90000,ug m-3 as NO2,R
KC1,NOX,25/01/2018 00:00,35.90000,ug m-3 as NO2,R
KC1,NOX,26/01/2018 00:00,100.70000,ug m-3 as NO2,R
KC1,NOX,27/01/2018 00:00,42.00000,ug m-3 as NO2,R
KC1,NOX,28/01/2018 00:00,16.10000,ug m-3 as NO2,R
KC1,NOX,29/01/2018 00:00,34.00000,ug m-3 as NO2,R
KC1,NOX,30/01/2018 00:00,127.40000,ug m-3 as NO2,R
KC1,NOX,31/01/2018 00:00,28.00000,ug m-3 as NO2,R
KC1,NOX,01/02/2018 00:00,36.80000,ug m-3 as NO2,R
KC1,NOX,02/02/2018 00:00,61.10000,ug m-3 as NO2,R
KC1,NOX,03/02/2018 00:00,68.00000,ug m-3 as NO2,R
KC1,NOX,04/02/2018 00:00,23.60000,ug m-3 as NO2,R
KC1,NOX,05/02/2018 00:00,40.40000,ug m-3 as NO2,R
KC1,NOX,06/02/2018 00:00,59.40000,ug m-3 as NO2,R
KC1,NOX,07/02/2018 00:00,83.60000,ug m-3 as NO2,R
KC1,NOX,08/02/2018 00:00,86.90000,ug m-3 as NO2,R
KC1,NOX,09/02/2018 00:00,37.30000,ug m-3 as NO2,R
