Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
SK5,NOX,01/01/2018 00:00,25.90000,ug m-3 as NO2,R
SK5,NOX,02/01/2018 00:00,31.30000,ug m-3 as NO2,R
SK5,NOX,03/01/2018 00:00,20.00000,ug m-3 as NO2,R
SK5,NOX,04/01/2018 00:00,51.90000,ug m-3 as NO2,R
SK5,NOX,05/01/2018 00:00,64.20000,ug m-3 as NO2,R
SK5,NOX,06/01/2018 00:00,181.39999,ug m-3 as NO2,R
SK5,NOX,07/01/2018 00:00,64.80000,ug m-3 as NO2,R
SK5,NOX,08/01/2018 00:00,115.10000,ug m-3 as NO2,R
SK5,NOX,09/01/2018 00:00,138.00000,ug m-3 as NO2,R
SK5,NOX,10/01/2018 00:00,138.00000,ug m-3 as NO2,R
SK5,NOX,11/01/2018 00:00,284.89999,ug m-3 as NO2,R
SK5,NOX,12/01/2018 00:00,134.39999,ug m-3 as NO2,R
SK5,NOX,13/01/2018 00:00,75.90000,ug m-3 as NO2,R
SK5,NOX,14/01/2018 00:00,101.20000,ug m-3 as NO2,R
SK5,NOX,15/01/2018 00:00,64.40000,ug m-3 as NO2,R
SK5,NOX,16/01/2018 00:00,27.20000,ug m-3 as NO2,R
SK5,NOX,17/01/2018 00:00,33.30000,ug m-3 as NO2,R
SK5,NOX,18/01/2018 00:00,39.40000,ug m-3 as NO2,R
SK5,NOX,19/01/2018 00:00,46.50000,ug m-3 as NO2,R
SK5,NOX,20/01/2018 00:00,133.80000,ug m-3 as NO2,R
SK5,NOX,21/01/2018 00:00,97.60000,ug m-3 as NO2,R
SK5,NOX,22/01/2018 00:00,83.20000,ug m-3 as NO2,R
SK5,NOX,23/01/2018 00:00,24.30000,ug m-3 as NO2,R
SK5,NOX,24/01/2018 00:00,20.90000,ug m-3 as NO2,R
SK5,NOX,25/01/2018 00:00,39.70000,ug m-3 as NO2,R
SK5,NOX,26/01/2018 00:00,253.80000,ug m-3 as NO2,R
SK5,NOX,27/01/2018 00:00,45.30000,ug m-3 as NO2,R
SK5,NOX,28/01/2018 00:00,14.20000,ug m-3 as NO2,R
SK5,NOX,29/01/2018 00:00,68.00000,ug m-3 as NO2,R
SK5,NOX,30/01/2018 00:00,99.30000,ug m-3 as NO2,R
SK5,NOX,31/01/2018 00:00,29.70000,ug m-3 as NO2,R
SK5,NOX,01/02/2018 00:00,94.60000,ug m-3 as NO2,R
SK5,NOX,02/02/2018 00:00,166.80000,ug m-3 as NO2,R
SK5,NOX,03/02/2018 00:00,104.90000,ug m-3 as NO2,R
SK5,NOX,04/02/2018 00:00,78.60000,ug m-3 as NO2,R
SK5,NOX,05/02/2018 00:00,134.30000,ug m-3 as NO2,R
SK5,NOX,06/02/2018 00:00,191.89999,ug m-3 as NO2,R
SK5,NOX,07/02/2018 00:00,213.00000,ug m-3 as NO2,R
SK5,NOX,08/02/2018 00:00,83.40000,ug m-3 as NO2,R
SK5,NOX,09/02/2018 00:00,77.80000,ug m-3 as NO2,R
SK5,NOX,10/02/2018 00:00,57.80000,ug m-3 as NO2,R
