Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
WMC,DUST,01/01/2018 00:00,,ug/m3,R
WMC,DUST,02/01/2018 00:00,,ug/m3,R
WMC,DUST,03/01/2018 00:00,,ug/m3,R
WMC,DUST,04/01/2018 00:00,,ug/m3,R
WMC,DUST,05/01/2018 00:00,,ug/m3,R
WMC,DUST,06/01/2018 00:00,,ug/m3,R
WMC,DUST,07/01/2018 00:00,,ug/m3,R
WMC,DUST,08/01/2018 00:00,,ug/m3,R
WMC,DUST,09/01/2018 00:00,,ug/m3,R
WMC,DUST,10/01/2018 00:00,,ug/m3,R
WMC,DUST,11/01/2018 00:00,,ug/m3,R
WMC,DUST,12/01/2018 00:00,,ug/m3,R
WMC,DUST,13/01/2018 00:00,,ug/m3,R
WMC,DUST,14/01/2018 00:00,,ug/m3,R
WMC,DUST,15/01/2018 00:00,,ug/m3,R
WMC,DUST,16/01/2018 00:00,,ug/m3,R
WMC,DUST,17/01/2018 00:00,,ug/m3,R
WMC,DUST,18/01/2018 00:00,,ug/m3,R
WMC,DUST,19/01/2018 00:00,,ug/m3,R
WMC,DUST,20/01/2018 00:00,,ug/m3,R
WMC,DUST,21/01/2018 00:00,,ug/m3,R
WMC,DUST,22/01/2018 00:00,,ug/m3,R
WMC,DUST,23/01/2018 00:00,,ug/m3,R
WMC,DUST,24/01/2018 00:00,,ug/m3,R
WMC,DUST,25/01/2018 00:00,,ug/m3,R
WMC,DUST,26/01/2018 00:00,,ug/m3,R
WMC,DUST,27/01/2018 00:00,,ug/m3,R
WMC,DUST,28/01/2018 00:00,,ug/m3,R
WMC,DUST,29/01/2018 00:00,,ug/m3,R
WMC,DUST,30/01/2018 00:00,,ug/m3,R
WMC,DUST,31/01/2018 00:00,,ug/m3,R
WMC,DUST,01/02/2018 00:00,,ug/m3,R
WMC,DUST,02/02/2018 00:00,,ug/m3,R
WMC,DUST,03/02/2018 00:00,,ug/m3,R
WMC,DUST,04/02/2018 00:00,,ug/m3,R
WMC,DUST,05/02/2018 00:00,,ug/m3,R
WMC,DUST,06/02/2018 00:00,,ug/m3,R
WMC,DUST,07/02/2018 00:00,,ug/m3,R
WMC,DUST,08/02/2018 00:00,,ug/m3,R
WMC,DUST,09/02/2018 00:00,,ug/m3,R
WMC,DUST,10/02/2018 00:00,,ug/m3,R
WMC,DUST,11/02/2018 00:00,,ug/m3,R
WMC,DUST,12/02/2018 00:00,,ug/m3,R
WMC,DUST,13/02/2018 00:00,,ug/m3,R
WMC,DUST,14/02/2018 00:00,,ug/m3,R
WMC,DUST,15/02/2018 00:00,,ug/m3,R
WMC,DUST,16/02/2018 00:00,,ug/m3,R
WMC,DUST,17/02/2018 00:00,,ug/m3,R
WMC,DUST,18/02/2018 00:00,,ug/m3,R
WMC,DUST,19/02/2018 00:00,,ug/m3,R
WMC,DUST,20/02/2018 00:00,,ug/m3,R
WMC,DUST,21/02/2018 00:00,,ug/m3,R
WMC,DUST,22/02/2018 00:00,,ug/m3,R
WMC,DUST,23/02/2018 00:00,,ug/m3,R
WMC,DUST,24/02/2018 00:00,,ug/m3,R
WMC,DUST,25/02/2018 00:00,,ug/m3,R
WMC,DUST,26/02/2018 00:00,,ug/m3,R
WMC,DUST,27/02/2018 00:00,,ug/m3,R
WMC,DUST,28/02/2018 00:00,,ug/m3,R
WMC,DUST,01/03/2018 00:00,,ug/m3,R
WMC,DUST,02/03/2018 00:00,,ug/m3,R
WMC,DUST,03/03/2018 00:00,,ug/m3,R
WMC,DUST,04/03/2018 00:00,,ug/m3,R
WMC,DUST,05/03/2018 00:00,,ug/m3,R
WMC,DUST,06/03/2018 00:00,,ug/m3,R
WMC,DUST,07/03/2018 00:00,,ug/m3,R
WMC,DUST,08/03/2018 00:00,,ug/m3,R
WMC,DUST,09/03/2018 00:00,,ug/m3,R
WMC,DUST,10/03/2018 00:00,,ug/m3,R
WMC,DUST,11/03/2018 00:00,,ug/m3,R
WMC,DUST,12/03/2018 00:00,,ug/m3,R
WMC,DUST,13/03/2018 00:00,,ug/m3,R
WMC,DUST,14/03/2018 00:00,,ug/m3,R
WMC,DUST,15/03/2018 00:00,,ug/m3,R
WMC,DUST,16/03/2018 00:00,,ug/m3,R
WMC,DUST,17/03/2018 00:00,,ug/m3,R
WMC,DUST,18/03/2018 00:00,,ug/m3,R
WMC,DUST,19/03/2018 00:00,,ug/m3,R
WMC,DUST,20/03/2018 00:00,,ug/m3,R
WMC,DUST,21/03/2018 00:00,,ug/m3,R
WMC,DUST,22/03/2018 00:00,,ug/m3,R
WMC,DUST,23/03/2018 00:00,,ug/m3,R
WMC,DUST,24/03/2018 00:00,,ug/m3,R
WMC,DUST,25/03/2018 00:00,,ug/m3,R
WMC,DUST,26/03/2018 00:00,,ug/m3,R
WMC,DUST,27/03/2018 00:00,,ug/m3,R
WMC,DUST,28/03/2018 00:00,,ug/m3,R
WMC,DUST,29/03/2018 00:00,,ug/m3,R
WMC,DUST,30/03/2018 00:00,,ug/m3,R
WMC,DUST,31/03/2018 00:00,,ug/m3,R
WMC,DUST,01/04/2018 00:00,,ug/m3,R
WMC,DUST,02/04/2018 00:00,,ug/m3,R
WMC,DUST,03/04/2018 00:00,,ug/m3,R
WMC,DUST,04/04/2018 00:00,,ug/m3,R
WMC,DUST,05/04/2018 00:00,,ug/m3,R
