count_date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,road_type
2018/4/25,106.5,57.11,438.68,43.41,154.33,18.96,3.84,10.26,0.84,0.94,1.07,35.91,871.8400000000001,Major
2018/4/26,106.41,57.09,438.1,43.37,154.25,18.94,3.83,10.24,0.84,0.94,1.06,35.85,870.9400000000002,Major
2018/4/27,106.32,57.06,437.51,43.32,154.16,18.92,3.83,10.23,0.84,0.94,1.06,35.82,870.0200000000001,Major
2018/4/28,106.24,57.03,436.93,43.27,154.07,18.91,3.82,10.22,0.84,0.94,1.05,35.78,869.11,Major
2018/4/29,106.15,57,436.34,43.23,153.99,18.89,3.82,10.2,0.84,0.94,1.05,35.74,868.2000000000002,Major
2018/4/30,106.06,56.98,435.76,43.18,153.9,18.88,3.82,10.19,0.84,0.94,1.05,35.72,867.32,Major
2018/5/1,105.98,56.95,435.18,43.13,153.81,18.86,3.81,10.18,0.84,0.94,1.04,35.67,866.3999999999999,Major
2018/5/2,105.89,56.92,434.6,43.09,153.73,18.85,3.81,10.17,0.84,0.94,1.04,35.65,865.5200000000001,Major
2018/5/3,105.8,56.89,434.02,43.04,153.64,18.83,3.8,10.15,0.84,0.94,1.03,35.59,864.59,Major
2018/5/4,105.72,56.86,433.44,42.99,153.55,18.82,3.8,10.14,0.84,0.94,1.03,35.57,863.7,Major
2018/5/5,105.63,56.84,432.86,42.95,153.47,18.8,3.8,10.13,0.84,0.94,1.03,35.54,862.83,Major
2018/5/6,105.55,56.81,432.29,42.9,153.38,18.78,3.79,10.12,0.84,0.94,1.02,35.49,861.9200000000001,Major
2018/5/7,105.46,56.78,431.71,42.86,153.29,18.77,3.79,10.1,0.84,0.94,1.02,35.46,861.0200000000001,Major
2018/5/8,105.37,56.75,431.13,42.81,153.21,18.75,3.78,10.09,0.84,0.94,1.01,35.41,860.11,Major
2018/5/9,105.29,56.73,430.56,42.76,153.12,18.74,3.78,10.08,0.84,0.94,1.01,35.39,859.2400000000001,Major
2018/5/10,105.2,56.7,429.99,42.72,153.04,18.72,3.77,10.07,0.84,0.94,1.01,35.35,858.3600000000001,Major
2018/5/11,105.11,56.67,429.41,42.67,152.95,18.71,3.77,10.05,0.84,0.94,1,35.31,857.44,Major
2018/5/12,105.03,56.64,428.84,42.62,152.86,18.69,3.77,10.04,0.84,0.94,1,35.28,856.5500000000001,Major
2018/5/13,104.94,56.61,428.27,42.58,152.78,18.68,3.76,10.03,0.84,0.94,0.99,35.24,855.67,Major
2018/5/14,104.86,56.59,427.7,42.53,152.69,18.66,3.76,10.02,0.84,0.94,0.99,35.21,854.79,Major
2018/5/15,104.77,56.56,427.13,42.49,152.61,18.65,3.76,10,0.84,0.94,0.99,35.18,853.9200000000001,Major
2018/5/16,104.69,56.53,426.57,42.44,152.52,18.63,3.75,9.99,0.84,0.94,0.98,35.13,853.0200000000001,Major
2018/5/17,104.6,56.5,426,42.39,152.44,18.62,3.75,9.98,0.84,0.94,0.98,35.11,852.1500000000002,Major
2018/5/18,104.52,56.47,425.43,42.35,152.35,18.6,3.74,9.97,0.84,0.94,0.98,35.07,851.2600000000003,Major
2018/5/19,104.43,56.45,424.87,42.3,152.27,18.59,3.74,9.96,0.84,0.94,0.97,35.04,850.4000000000001,Major
2018/5/20,104.34,56.42,424.3,42.26,152.18,18.58,3.74,9.94,0.84,0.94,0.97,35.01,849.5100000000002,Major
2018/5/21,104.26,56.39,423.74,42.21,152.1,18.56,3.73,9.93,0.84,0.94,0.96,34.96,848.6300000000001,Major
2018/5/22,104.17,56.36,423.18,42.17,152.01,18.55,3.73,9.92,0.84,0.94,0.96,34.94,847.76,Major
2018/5/23,104.09,56.33,422.62,42.12,151.93,18.53,3.72,9.91,0.84,0.94,0.96,34.9,846.89,Major
2018/5/24,104,56.31,422.06,42.07,151.84,18.52,3.72,9.9,0.84,0.94,0.95,34.87,846.0100000000002,Major
2018/5/25,103.92,56.28,421.5,42.03,151.76,18.5,3.72,9.88,0.83,0.94,0.95,34.82,845.1400000000002,Major
2018/5/26,103.83,56.25,420.94,41.98,151.67,18.49,3.71,9.87,0.83,0.94,0.94,34.78,844.2500000000001,Major
2018/5/27,103.75,56.22,420.38,41.94,151.59,18.47,3.71,9.86,0.83,0.94,0.94,34.75,843.3900000000002,Major
2018/5/28,103.66,56.19,419.82,41.89,151.5,18.46,3.7,9.85,0.83,0.94,0.94,34.72,842.5100000000002,Major
2018/5/29,103.58,56.17,419.27,41.85,151.42,18.45,3.7,9.84,0.83,0.94,0.93,34.69,841.6700000000001,Major
2018/5/30,103.49,56.14,418.71,41.8,151.33,18.43,3.7,9.82,0.83,0.94,0.93,34.65,840.78,Major
2018/5/31,103.41,56.11,418.16,41.76,151.25,18.42,3.69,9.81,0.83,0.94,0.93,34.62,839.94,Major
2018/6/1,103.32,56.08,417.6,41.71,151.16,18.4,3.69,9.8,0.83,0.94,0.92,34.58,839.0400000000001,Major
2018/6/2,103.24,56.05,417.05,41.67,151.08,18.39,3.68,9.79,0.83,0.94,0.92,34.55,838.2,Major
2018/6/3,103.16,56.02,416.5,41.62,150.99,18.38,3.68,9.78,0.83,0.94,0.92,34.53,837.35,Major
2018/6/4,103.07,56,415.95,41.58,150.91,18.36,3.68,9.76,0.83,0.94,0.91,34.48,836.48,Major
2018/6/5,102.99,55.97,415.4,41.53,150.83,18.35,3.67,9.75,0.83,0.94,0.91,34.45,835.63,Major
2018/6/6,102.9,55.94,414.85,41.49,150.74,18.34,3.67,9.74,0.83,0.94,0.9,34.42,834.7700000000001,Major
2018/6/7,102.82,55.91,414.3,41.44,150.66,18.32,3.67,9.73,0.83,0.94,0.9,34.39,833.9100000000001,Major
2018/6/8,102.73,55.88,413.76,41.4,150.57,18.31,3.66,9.72,0.83,0.94,0.9,34.36,833.06,Major
2018/6/9,102.65,55.86,413.21,41.35,150.49,18.3,3.66,9.71,0.83,0.94,0.89,34.33,832.2200000000001,Major
2018/6/10,102.57,55.83,412.67,41.31,150.41,18.28,3.65,9.69,0.83,0.94,0.89,34.28,831.3599999999999,Major
2018/6/11,102.48,55.8,412.12,41.27,150.32,18.27,3.65,9.68,0.83,0.94,0.89,34.26,830.51,Major
2018/6/12,102.4,55.77,411.58,41.22,150.24,18.25,3.65,9.67,0.83,0.94,0.88,34.22,829.6600000000001,Major
2018/6/13,102.31,55.74,411.04,41.18,150.16,18.24,3.64,9.66,0.83,0.94,0.88,34.19,828.82,Major
2018/6/14,102.23,55.72,410.5,41.13,150.07,18.23,3.64,9.65,0.83,0.94,0.88,34.17,827.9800000000001,Major
2018/6/15,102.15,55.69,409.95,41.09,149.99,18.22,3.63,9.64,0.83,0.94,0.87,34.13,827.1300000000001,Major
