count_date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,road_type
2018/4/18,81.16,60.12,646.02,32.76,214.85,20.55,4.14,8.14,1.47,1.28,1.5,37.08,1109.09,Major
2018/4/19,81.07,60.07,645.69,32.72,214.71,20.57,4.14,8.13,1.47,1.28,1.5,37.09,1108.45,Major
2018/4/20,80.97,60.02,645.36,32.69,214.57,20.59,4.14,8.12,1.47,1.28,1.5,37.1,1107.8099999999997,Major
2018/4/21,80.88,59.97,645.03,32.65,214.42,20.6,4.14,8.11,1.47,1.28,1.5,37.1,1107.1499999999999,Major
2018/4/22,80.78,59.92,644.7,32.61,214.28,20.62,4.13,8.11,1.46,1.27,1.5,37.09,1106.48,Major
2018/4/23,80.69,59.88,644.37,32.57,214.14,20.64,4.13,8.1,1.46,1.27,1.5,37.1,1105.8500000000001,Major
2018/4/24,80.59,59.83,644.04,32.54,214,20.66,4.13,8.09,1.46,1.27,1.5,37.11,1105.21,Major
2018/4/25,80.5,59.78,643.72,32.5,213.86,20.67,4.13,8.08,1.46,1.27,1.5,37.11,1104.5700000000002,Major
2018/4/26,80.41,59.73,643.39,32.46,213.72,20.69,4.12,8.07,1.45,1.27,1.49,37.09,1103.8999999999999,Major
2018/4/27,80.31,59.69,643.07,32.43,213.58,20.71,4.12,8.07,1.45,1.27,1.49,37.11,1103.2999999999997,Major
2018/4/28,80.22,59.64,642.75,32.39,213.44,20.72,4.12,8.06,1.45,1.26,1.49,37.1,1102.6499999999999,Major
2018/4/29,80.12,59.59,642.42,32.35,213.3,20.74,4.12,8.05,1.45,1.26,1.49,37.11,1101.9999999999998,Major
2018/4/30,80.03,59.55,642.1,32.31,213.16,20.76,4.11,8.04,1.44,1.26,1.49,37.1,1101.36,Major
2018/5/1,79.93,59.5,641.78,32.28,213.02,20.78,4.11,8.03,1.44,1.26,1.49,37.11,1100.7299999999998,Major
2018/5/2,79.84,59.45,641.46,32.24,212.88,20.79,4.11,8.02,1.44,1.26,1.49,37.11,1100.0899999999997,Major
2018/5/3,79.75,59.41,641.14,32.2,212.74,20.81,4.11,8.02,1.44,1.26,1.49,37.13,1099.4799999999998,Major
2018/5/4,79.65,59.36,640.83,32.17,212.6,20.83,4.1,8.01,1.43,1.25,1.49,37.11,1098.8299999999997,Major
2018/5/5,79.56,59.32,640.51,32.13,212.46,20.84,4.1,8,1.43,1.25,1.49,37.11,1098.1999999999998,Major
