date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2018-04-16,14.29,7.0,37.88,0.17,9.75,0.33,0.0,0.0,0.17,-0.0,0.0,0.5,55.29
2018-04-17,67.52,20.2,90.26,13.68,33.84,4.88,0.56,0.47,0.23,0.12,0.06,6.32,164.3
2018-04-18,99.38,27.64,119.74,21.03,46.93,7.29,0.86,0.69,0.24,0.17,0.09,9.34,224.68
2018-04-19,113.42,30.33,130.62,23.42,51.12,8.0,0.96,0.71,0.21,0.17,0.08,10.12,245.62
2018-04-20,113.16,29.3,127.22,22.01,48.57,7.41,0.9,0.58,0.15,0.13,0.06,9.24,236.33
2018-04-21,102.16,25.54,113.82,17.98,41.4,5.95,0.75,0.37,0.08,0.07,0.03,7.25,205.99
2018-04-22,83.95,20.07,94.74,12.53,31.74,4.04,0.54,0.13,0.01,0.01,-0.01,4.72,163.8
2018-04-23,62.08,13.91,74.29,6.82,21.71,2.09,0.33,-0.09,-0.04,-0.04,-0.04,2.21,118.94
2018-04-24,40.07,8.07,56.77,2.04,13.46,0.52,0.17,-0.22,-0.07,-0.07,-0.05,0.28,80.62
2018-04-25,21.48,3.55,46.49,-0.62,9.11,-0.25,0.11,-0.21,-0.06,-0.06,-0.04,-0.51,58.02
2018-04-26,9.83,1.37,47.75,-0.0,10.79,0.21,0.21,-0.0,-0.0,-0.0,-0.0,0.42,60.33
2018-04-27,7.56,2.2,63.18,4.53,19.69,2.11,0.48,0.43,0.12,0.12,0.08,3.35,92.96
2018-04-28,12.59,5.31,88.72,11.32,33.2,4.95,0.86,0.98,0.27,0.28,0.17,7.51,146.06
2018-04-29,21.73,9.6,118.6,18.16,47.79,8.02,1.26,1.49,0.43,0.42,0.25,11.86,206.02
2018-04-30,31.81,13.99,147.09,22.83,59.91,10.6,1.58,1.83,0.55,0.5,0.3,15.37,259.2
2018-05-01,39.63,17.41,168.44,23.13,66.02,12.0,1.73,1.87,0.61,0.49,0.29,16.98,291.98
2018-05-02,42.0,18.78,176.89,16.84,62.56,11.51,1.61,1.44,0.58,0.33,0.2,15.66,290.74
2018-05-03,35.75,17.0,166.71,1.75,46.0,8.42,1.12,0.42,0.42,0.0,0.0,10.38,241.83
2018-05-04,19.84,11.79,137.23,-21.86,16.24,2.63,0.28,-1.19,0.13,-0.51,-0.31,1.03,144.43
2018-05-05,1.92,6.0,108.21,-43.71,-13.01,-3.51,-0.56,-2.76,-0.19,-1.0,-0.6,-8.64,48.86
2018-05-06,-8.21,3.3,104.49,-51.04,-24.59,-7.07,-0.95,-3.52,-0.4,-1.24,-0.75,-13.92,18.23
2018-05-07,-0.74,7.32,150.9,-31.09,-1.35,-5.09,-0.43,-2.68,-0.37,-0.99,-0.59,-10.14,115.64
2018-05-08,34.13,21.71,272.29,28.92,73.88,5.37,1.46,0.54,0.04,0.0,-0.0,7.42,404.21
2018-05-09,73.92,36.25,399.04,89.79,156.25,17.92,3.54,4.29,0.58,1.17,0.71,28.21,709.54
2018-05-10,27.94,18.02,316.29,4.27,90.25,8.46,1.52,1.67,0.33,0.4,0.29,12.67,441.5
2018-05-11,-14.81,28.81,476.62,-79.36,118.28,10.25,0.96,1.56,0.69,0.19,0.29,13.94,558.29
2018-05-12,-30.56,72.51,890.74,-118.64,263.62,27.3,2.75,5.26,1.76,0.99,0.94,39.01,1147.24
2018-05-13,-27.08,130.37,1400.76,-122.53,460.49,51.42,5.76,10.84,3.11,2.29,1.91,75.33,1944.42
2018-05-14,-12.12,183.62,1848.77,-99.96,643.08,74.38,8.85,16.32,4.32,3.62,2.86,110.35,2685.87
2018-05-15,6.54,213.49,2076.87,-59.87,745.6,87.97,10.89,19.77,4.96,4.48,3.46,131.54,3107.63
2018-05-16,21.16,201.22,1927.17,-11.21,702.24,83.99,10.75,19.23,4.61,4.4,3.38,126.35,2945.77
2018-05-17,23.96,128.04,1241.75,37.08,447.21,54.21,7.29,12.75,2.83,2.87,2.29,82.25,1936.33
2018-05-18,22.54,11.58,181.46,75.5,39.79,5.54,1.33,1.71,0.04,0.25,0.42,9.29,317.62
2018-05-19,64.32,-27.3,-190.52,94.81,-104.83,-12.01,-0.77,-2.93,-1.0,-0.78,-0.39,-17.87,-245.72
2018-05-20,125.55,-0.86,17.32,95.38,-24.2,-2.84,0.44,-1.73,-0.51,-0.37,-0.24,-5.24,82.39
2018-05-21,160.87,36.27,323.87,80.12,99.69,11.29,2.21,1.0,0.33,0.37,0.17,15.37,555.33
2018-05-22,137.64,41.88,358.57,53.12,125.29,13.59,2.4,1.88,0.6,0.61,0.26,19.33,598.19
2018-05-23,74.03,23.36,192.97,23.1,72.84,7.19,1.35,1.16,0.38,0.38,0.12,10.57,322.84
2018-05-24,0.92,0.5,9.13,0.0,3.0,0.21,0.0,-0.0,0.0,0.0,-0.0,0.21,12.83
2018-05-25,-56.37,-10.64,-46.19,-8.43,-34.84,-0.82,-0.86,-0.64,-0.27,-0.3,0.1,-2.79,-102.88
2018-05-26,-94.72,-8.97,32.54,-3.02,-36.39,4.28,-1.16,-0.66,-0.38,-0.48,0.4,2.0,-13.85
2018-05-27,-116.58,2.86,215.49,13.24,-8.66,14.09,-0.98,-0.19,-0.37,-0.56,0.87,12.85,235.77
2018-05-28,-124.41,22.18,472.86,37.37,41.35,27.2,-0.43,0.67,-0.27,-0.55,1.44,28.07,601.82
2018-05-29,-120.64,46.36,774.82,66.38,106.65,42.2,0.41,1.81,-0.08,-0.48,2.07,45.92,1040.13
2018-05-30,-107.72,72.74,1091.59,97.29,180.24,57.67,1.44,3.1,0.15,-0.35,2.69,64.7,1506.55
2018-05-31,-88.11,98.66,1393.34,127.1,255.11,72.21,2.56,4.43,0.41,-0.19,3.26,82.69,1956.91
2018-06-01,-64.25,121.47,1650.26,152.85,324.28,84.4,3.68,5.7,0.67,0.0,3.73,98.18,2347.04
2018-06-02,-38.58,138.52,1832.55,171.53,380.74,92.83,4.72,6.77,0.9,0.19,4.03,109.45,2632.79
2018-06-03,-13.56,147.16,1910.39,180.17,417.49,96.08,5.57,7.55,1.09,0.37,4.12,114.78,2770.0
2018-06-04,8.36,144.73,1853.98,175.78,427.53,92.75,6.14,7.92,1.2,0.52,3.95,112.47,2714.49
2018-06-05,24.75,128.58,1633.5,155.38,403.88,81.42,6.33,7.75,1.21,0.62,3.46,100.79,2422.12
2018-06-06,33.55,98.21,1245.07,118.36,343.62,61.93,6.08,6.99,1.11,0.67,2.64,79.42,1884.68
2018-06-07,34.34,61.68,788.52,73.75,260.33,39.16,5.37,5.73,0.91,0.65,1.7,53.52,1237.79
2018-06-08,27.08,29.21,389.58,32.92,171.67,19.25,4.21,4.12,0.67,0.54,0.87,29.67,653.04
2018-06-09,13.46,8.9,145.15,5.53,93.64,6.92,2.68,2.38,0.4,0.36,0.35,13.09,266.32
2018-06-10,1.97,0.42,36.6,-5.74,35.67,1.29,1.19,0.88,0.17,0.16,0.09,3.78,70.72
