count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6751,N,2001,2001-06-21,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,135,220,1086,24,401,97,10,5,3,4,1,120,1851
6751,N,2001,2001-06-21,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,290,366,1113,31,271,98,3,0,1,1,0,103,1884
6751,N,2001,2001-06-21,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,178,246,1072,25,320,100,7,0,2,3,1,113,1776
6751,N,2001,2001-06-21,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,66,160,1013,30,324,117,1,3,2,2,0,125,1652
6751,N,2001,2001-06-21,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,37,166,913,28,299,116,4,5,2,5,2,134,1540
6751,N,2001,2001-06-21,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,30,122,809,26,204,75,6,7,1,5,0,94,1255
6751,N,2001,2001-06-21,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,26,98,833,16,184,50,4,3,1,3,1,62,1193
6751,N,2001,2001-06-21,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,23,70,802,19,153,78,7,2,1,1,0,89,1133
6751,N,2001,2001-06-21,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,37,92,910,19,140,74,5,1,1,3,0,84,1245
6751,N,2001,2001-06-21,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,24,85,834,18,136,38,0,1,1,5,0,45,1118
6751,N,2001,2001-06-21,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,99,141,1230,32,162,43,3,0,0,3,0,49,1614
6751,N,2001,2001-06-21,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,94,129,1172,15,92,38,1,0,2,0,1,42,1450
6751,S,2001,2001-06-21,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,20,55,1035,19,320,66,5,2,2,1,2,78,1507
6751,S,2001,2001-06-21,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,49,78,1026,21,278,52,2,1,2,4,2,63,1466
6751,S,2001,2001-06-21,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,29,86,1161,20,470,72,3,3,1,2,1,82,1819
6751,S,2001,2001-06-21,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,26,74,1229,32,495,87,3,3,2,3,1,99,1929
6751,S,2001,2001-06-21,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,17,89,1162,21,467,61,3,5,0,0,3,72,1811
6751,S,2001,2001-06-21,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,23,64,1179,13,477,52,0,1,3,2,1,59,1792
6751,S,2001,2001-06-21,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,23,105,1049,20,376,43,4,3,2,1,1,54,1604
6751,S,2001,2001-06-21,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,14,79,938,26,325,48,3,6,1,1,1,60,1428
6751,S,2001,2001-06-21,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,25,102,1164,14,428,31,1,2,0,0,0,34,1742
6751,S,2001,2001-06-21,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,39,126,1059,15,379,22,3,0,2,2,1,30,1609
6751,S,2001,2001-06-21,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,160,354,1551,24,252,23,1,1,2,1,1,29,2210
6751,S,2001,2001-06-21,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,131,238,1348,16,147,12,1,1,1,1,1,17,1766
6751,N,2003,2003-09-22,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,104,235,613,28,333,54,5,8,4,2,1,74,1283
6751,N,2003,2003-09-22,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,321,391,952,37,303,44,6,2,5,3,1,61,1744
