date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-0.3,-2.4,2.2,,,304,9.2,20.4,1011.8,
2021-01-02,1.3,-0.8,2.5,,,338,11.2,24.1,1016.2,
2021-01-03,1.3,-0.7,3,,,17,13.7,29.6,1017.7,
2021-01-04,1.9,0.9,2.8,,,24,20.4,38.9,1019.8,
2021-01-05,1.2,0.2,1.9,,,13,19.2,35.2,1020.4,
2021-01-06,1.5,0,2.7,,,8,13.6,29.6,1019.9,
2021-01-07,-1.2,-2.2,-0.3,,,305,10.1,22.2,1018.7,
2021-01-08,-0.8,-2.2,1,,,327,6.8,18.5,1018.8,
2021-01-09,-0.5,-1.5,1.4,,,349,7.2,18.5,1026.3,
2021-01-10,0.3,-1.3,2.5,,,260,9.1,20.4,1026.1,
2021-01-11,4.2,0.8,7.4,,,248,20.1,40.8,1018,
2021-01-12,5.6,0.6,8.6,,,304,15.7,44.5,1014,
2021-01-13,3.9,0.2,6.8,,,260,8.8,20.4,1018.7,
2021-01-14,4.3,0.7,6.8,,,86,13.9,33.3,1017,
2021-01-15,0.6,-0.7,2.4,,,18,8.3,24.1,1029.8,
2021-01-16,3.7,1.1,6.3,,,218,16.4,35.2,1020.1,
2021-01-17,3.8,2.6,5.6,,,290,15.6,33.3,1023.4,
2021-01-18,4.2,1.6,7.4,,,230,14.4,35.2,1021.1,
2021-01-19,9.6,7.8,10.4,,,229,28.2,48.2,1003.9,
2021-01-20,9.6,9,10,,,202,30.2,53.7,988,
2021-01-21,5.4,2.8,8.1,,,239,24,55.5,984.6,
2021-01-22,2.6,-0.1,5.9,,,238,10.2,24.1,992.1,
2021-01-23,0.7,-1.1,2.8,,,278,10,25.9,995.5,
2021-01-24,-0.9,-2.4,0.5,,,75,11.7,31.5,996.9,
2021-01-25,-0.2,-2.9,2.8,,,299,15.1,31.5,1009.5,
2021-01-26,1.5,-1.6,5.5,,,205,12.5,29.6,1015.5,
