date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,11.8,10.5,13.1,,,202,17.7,35.2,1017.5,
2022-01-02,10.5,8.5,11.5,,,229,22.2,40.8,1010.3,
2022-01-03,8.3,7.1,9.7,,,232,19,38.9,1007.8,
2022-01-04,3.8,0.2,7,,,295,13.5,31.5,1001.7,
2022-01-05,1.6,-0.4,4.6,,,296,17.5,37,1013.4,
2022-01-06,1.4,-2.7,5.4,,,217,13.4,35.2,1016.5,
2022-01-07,2.9,0.9,4.7,,,256,17.8,37,1010.5,
2022-01-08,4.9,0.8,8.5,,,238,19,42.6,1001.6,
2022-01-09,3.6,1.9,6,,,258,14.5,37,1003,
2022-01-10,4.5,2.3,6.6,,,181,8.4,22.2,1018.6,
2022-01-11,7.3,6,8.3,,,225,9.9,22.2,1030,
2022-01-12,3.8,1.5,5.9,,,309,6.8,18.5,1040.7,
2022-01-13,3.2,1,6.9,,,230,6.4,14.8,1041.5,
2022-01-14,2.3,0.4,5.4,,,6,5.7,14.8,1036.3,
2022-01-15,2.8,1.2,5.4,,,184,7.8,18.5,1026.7,
2022-01-16,4.6,2.7,7.2,,,265,10,22.2,1026.9,
2022-01-17,3,0.7,6.9,,,284,7.9,20.4,1037.6,
2022-01-18,2.4,0.4,5.3,,,185,6.2,14.8,1037.4,
2022-01-19,4.3,2.3,7.5,,,265,12.3,29.6,1028,
2022-01-20,1.6,-0.6,3.9,,,328,12.3,27.8,1035.9,
2022-01-21,1.4,-1.6,4.7,,,296,10.4,24.1,1039.1,
2022-01-22,2.7,0.6,6,,,289,9.4,20.4,1037.8,
2022-01-23,2.5,1.2,4.3,,,183,5.3,14.8,1035.5,
2022-01-24,2.4,0.6,4.6,,,89,5.6,14.8,1033.9,
2022-01-25,0.7,-0.4,2.7,,,319,5.9,14.8,1034.6,
2022-01-26,2.8,0,5.8,,,250,12.3,27.8,1033,
2022-01-27,6.6,4.1,10,,,272,15.9,33.3,1028.6,
2022-01-28,5.1,2,7.8,,,247,12,29.6,1034.2,
2022-01-29,9.5,5.5,12.1,,,274,24.6,55.5,1028.5,
2022-01-30,4.5,1.6,6.7,,,261,12,37,1030.1,
2022-01-31,5.1,3,6.9,,,300,27,53.7,1023.4,
2022-02-01,8.8,4,11.6,,,280,24.2,50,1021.8,
2022-02-02,9.2,6.9,11,,,265,16.1,33.3,1022.4,
2022-02-03,7.8,6.8,10,,,236,15,31.5,1014.5,
2022-02-04,5.8,2.5,7.9,,,263,21.4,46.3,1011.3,
2022-02-05,5.1,1.1,8.4,,,246,23.7,51.8,1018.5,
2022-02-06,8.1,5,9.2,,,269,34.2,63,1008,
2022-02-07,5.7,2.3,8.2,,,259,16.9,42.6,1025,
2022-02-08,9.2,7.6,11.5,,,243,20.4,40.8,1026.6,
2022-02-09,8.9,7.5,11.3,,,239,13.8,29.6,1023.8,
2022-02-10,4.9,1.7,7.3,,,282,11.9,31.5,1022.6,
2022-02-11,3.1,0.4,6.9,,,240,9.4,25.9,1031.6,
2022-02-12,4.7,2.7,7.1,,,193,17.7,40.8,1022.2,
2022-02-13,7.4,5.8,9,,,193,24.2,50,1002.1,
2022-02-14,6.8,4.5,8.5,,,259,20.9,42.6,999,
2022-02-15,6,2.2,8.7,,,234,18.6,42.6,1006.9,
2022-02-16,12.4,9.1,14.5,,,246,33.8,64.8,996.5,
2022-02-17,8.1,6.4,10,,,260,27.5,55.5,1007.6,
2022-02-18,7.2,3,10,,,232,38.9,98.2,997.3,
2022-02-19,4.5,2,7,,,246,24.1,51.8,1009.8,
