TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount
20240101,Monday,Abbey Road DLR,395,375
20240101,Monday,Abbey Wood,5898,5963
20240101,Monday,Acton Central,609,474
20240101,Monday,Acton Main Line,1717,1710
20240101,Monday,Acton Town,2928,3334
20240101,Monday,Aldgate,7223,7382
20240101,Monday,Aldgate East,10657,11723
20240101,Monday,All Saints,641,578
20240101,Monday,Alperton,2117,2235
20240101,Monday,Amersham,793,815
20240101,Monday,Anerley,415,435
20240101,Monday,Angel,5601,5359
20240101,Monday,Archway,4153,4178
20240101,Monday,Arnos Grove,2180,2415
20240101,Monday,Arsenal,1311,1220
20240101,Monday,Baker Street,14340,14806
20240101,Monday,Balham,4849,5576
20240101,Monday,Bank,8690,8977
20240101,Monday,Barbican,894,889
20240101,Monday,Barking,10276,10711
20240101,Monday,Barking Riverside,162,223
20240101,Monday,Barkingside,572,675
20240101,Monday,Barons Court,2475,2760
20240101,Monday,Battersea Power Station,8782,8355
20240101,Monday,Bayswater,5129,4492
20240101,Monday,Beckton,744,740
20240101,Monday,Beckton Park,178,135
20240101,Monday,Becontree,1737,1802
20240101,Monday,Belsize Park,2830,3055
20240101,Monday,Bermondsey,4500,4469
20240101,Monday,Bethnal Green,7126,6724
20240101,Monday,Bethnal Green NR,848,961
20240101,Monday,Blackfriars,7967,6824
20240101,Monday,Blackhorse Road,5274,5583
20240101,Monday,Blackwall,744,619
20240101,Monday,Bond Street,31869,31201
20240101,Monday,Borough,2135,2188
20240101,Monday,Boston Manor,765,889
20240101,Monday,Bounds Green,2419,2471
20240101,Monday,Bow Church,1267,1107
20240101,Monday,Bow Road,3194,3445
20240101,Monday,Brent Cross,1201,1324
20240101,Monday,Brentwood,1068,1115
20240101,Monday,Brixton,13265,13888
20240101,Monday,Brockley,1908,2024
20240101,Monday,Bromley-by-Bow,2803,2740
20240101,Monday,Brondesbury,1361,1265
20240101,Monday,Brondesbury Park,540,497
20240101,Monday,Bruce Grove,606,551
20240101,Monday,Buckhurst Hill,858,936
20240101,Monday,Burnham Bucks,345,349
20240101,Monday,Burnt Oak,1760,1913
20240101,Monday,Bush Hill Park,502,418
20240101,Monday,Bushey,434,420
20240101,Monday,Caledonian Road,2780,2844
20240101,Monday,Caledonian Road & Barnsbury,729,800
20240101,Monday,Cambridge Heath,445,427
20240101,Monday,Camden Road,2380,2505
20240101,Monday,Camden Town,21588,21580
20240101,Monday,Canada Water,6555,7235
20240101,Monday,Canary Wharf,17636,16922
20240101,Monday,Canary Wharf DLR,4069,4039
20240101,Monday,Canary Wharf EL,8354,9131
20240101,Monday,Canning Town,10549,10164
20240101,Monday,Cannon Street,1869,1611
20240101,Monday,Canonbury,1521,1547
20240101,Monday,Canons Park,1064,1140
20240101,Monday,Carpenders Park,500,558
20240101,Monday,Chadwell Heath,2405,2608
20240101,Monday,Chalfont & Latimer,475,513
20240101,Monday,Chalk Farm,3196,2580
20240101,Monday,Chancery Lane,1565,1681
20240101,Monday,Charing Cross,16099,15658
20240101,Monday,Chesham,545,591
20240101,Monday,Cheshunt,720,878
20240101,Monday,Chigwell,82,82
20240101,Monday,Chingford,957,1037
20240101,Monday,Chiswick Park,1156,1622
20240101,Monday,Chorleywood,290,291
20240101,Monday,Clapham Common,4403,5018
20240101,Monday,Clapham High Street,1,1
20240101,Monday,Clapham Junction,8223,9027
20240101,Monday,Clapham North,2881,3061
20240101,Monday,Clapham South,2901,3288
20240101,Monday,Clapton,1062,983
20240101,Monday,Cockfosters,851,1017
20240101,Monday,Colindale,3981,4291
20240101,Monday,Colliers Wood,3362,3795
20240101,Monday,Covent Garden,14214,15483
20240101,Monday,Crossharbour,1563,1428
20240101,Monday,Crouch Hill,472,372
20240101,Monday,Croxley,230,410
20240101,Monday,Crystal Palace,1104,1254
20240101,Monday,Custom House DLR,2125,1503
20240101,Monday,Custom House EL,6976,6901
20240101,Monday,Cutty Sark,4551,3549
20240101,Monday,Cyprus,252,255
20240101,Monday,Dagenham East,1559,1495
20240101,Monday,Dagenham Heathway,2965,2957
20240101,Monday,Dalston Junction,2409,2411
20240101,Monday,Dalston Kingsland,3009,2995
20240101,Monday,Debden,734,753
20240101,Monday,Denmark Hill,554,482
20240101,Monday,Deptford Bridge,1343,1136
20240101,Monday,Devons Road,1155,1091
20240101,Monday,Dollis Hill,2088,2117
20240101,Monday,Ealing Broadway,9103,10215
20240101,Monday,Ealing Common,1333,1360
20240101,Monday,Earls Court,14526,15411
20240101,Monday,East Acton,1933,2132
20240101,Monday,East Finchley,2757,3008
20240101,Monday,East Ham,10987,11234
20240101,Monday,East India,1461,1303
20240101,Monday,East Putney,2678,2961
20240101,Monday,Eastcote,981,1030
20240101,Monday,Edgware,2742,2903
20240101,Monday,Edgware Road B,3336,3462
20240101,Monday,Edgware Road C&H,4493,4240
20240101,Monday,Edmonton Green,1744,1802
20240101,Monday,Elephant & Castle,10888,10191
20240101,Monday,Elm Park,1306,1352
20240101,Monday,Elverson Road,480,427
20240101,Monday,Embankment,18858,16345
20240101,Monday,Emerson Park,78,42
20240101,Monday,Enfield Town,990,1045
20240101,Monday,Epping,1747,2046
20240101,Monday,Euston,21237,23866
20240101,Monday,Euston NR,3936,3731
20240101,Monday,Euston Square,4886,5444
20240101,Monday,Fairlop,423,399
20240101,Monday,Farringdon,16602,14505
20240101,Monday,Finchley Central,2314,2642
20240101,Monday,Finchley Road,4103,4070
20240101,Monday,Finchley Road & Frognal,862,832
20240101,Monday,Finsbury Park,11994,12887
20240101,Monday,Forest Gate,3563,3746
20240101,Monday,Forest Hill,1967,2133
20240101,Monday,Fulham Broadway,4169,3970
20240101,Monday,Gallions Reach,798,729
20240101,Monday,Gants Hill,3175,3218
20240101,Monday,Gidea Park,1238,1310
20240101,Monday,Gloucester Road,9125,8221
20240101,Monday,Golders Green,4426,4868
20240101,Monday,Goldhawk Road,1012,1147
20240101,Monday,Goodge Street,2162,1972
20240101,Monday,Goodmayes,2560,2631
20240101,Monday,Gospel Oak,2055,2206
20240101,Monday,Grange Hill,167,168
20240101,Monday,Great Portland Street,1989,1670
20240101,Monday,Green Park,26117,30049
20240101,Monday,Greenford,1659,2198
20240101,Monday,Greenwich,2015,2178
20240101,Monday,Gunnersbury,1346,950
20240101,Monday,Hackney Central,3072,2960
20240101,Monday,Hackney Downs,1096,1181
20240101,Monday,Hackney Wick,2252,1879
20240101,Monday,Haggerston,1489,1397
20240101,Monday,Hainault,1549,1688
20240101,Monday,Hammersmith C&H,5556,5154
20240101,Monday,Hammersmith D&P,13213,14041
20240101,Monday,Hampstead,2778,2988
20240101,Monday,Hampstead Heath,2869,3124
20240101,Monday,Hanger Lane,1651,1792
20240101,Monday,Hanwell,861,879
20240101,Monday,Harlesden,1248,1452
20240101,Monday,Harold Wood,1354,1434
20240101,Monday,Harringay Green Lanes,749,768
20240101,Monday,Harrow & Wealdstone,2193,2226
20240101,Monday,Harrow-on-the-Hill,4979,5599
20240101,Monday,Hatch End,280,314
20240101,Monday,Hatton Cross,2819,3283
20240101,Monday,Hayes & Harlington,5518,5977
20240101,Monday,Headstone Lane,211,175
20240101,Monday,Heathrow T2&3 TfL Rail/HEx,7831,7381
20240101,Monday,Heathrow T4 TfL Rail/HEx,1982,1649
20240101,Monday,Heathrow T5 TfL Rail/HEx,3524,4073
20240101,Monday,Heathrow Terminal 4,2300,2507
20240101,Monday,Heathrow Terminal 5,5597,5673
20240101,Monday,Heathrow Terminals 2&3,8498,8182
20240101,Monday,Hendon Central,3180,3252
20240101,Monday,Heron Quays,1876,2077
20240101,Monday,High Barnet,1738,2021
20240101,Monday,High Street Kensington,7031,6869
20240101,Monday,Highams Park,1272,1310
20240101,Monday,Highbury & Islington,6711,7733
20240101,Monday,Highgate,2451,2726
20240101,Monday,Hillingdon,645,739
20240101,Monday,Holborn,10661,10599
20240101,Monday,Holland Park,1720,1871
20240101,Monday,Holloway Road,3372,3442
20240101,Monday,Homerton,2370,2489
20240101,Monday,Honor Oak Park,1149,1260
20240101,Monday,Hornchurch,672,787
20240101,Monday,Hounslow Central,2636,2793
20240101,Monday,Hounslow East,2873,3454
20240101,Monday,Hounslow West,2855,3151
20240101,Monday,Hoxton,1498,1360
20240101,Monday,Hyde Park Corner,15557,14229
20240101,Monday,Ickenham,311,438
20240101,Monday,Ilford,7018,7370
20240101,Monday,Imperial Wharf,1214,1081
20240101,Monday,Island Gardens,1243,869
20240101,Monday,Iver,93,89
20240101,Monday,Kennington,3349,3735
20240101,Monday,Kensal Green,1077,1171
20240101,Monday,Kensal Rise,1211,1288
20240101,Monday,Kensington Olympia,908,924
20240101,Monday,Kentish Town,666,588
20240101,Monday,Kentish Town West,831,881
20240101,Monday,Kenton,892,875
20240101,Monday,Kew Gardens,1764,1720
20240101,Monday,Kilburn,3584,3912
20240101,Monday,Kilburn High Road,502,457
20240101,Monday,Kilburn Park,2193,2330
20240101,Monday,King George V,627,622
20240101,Monday,Kings Cross St Pancras,67203,66407
20240101,Monday,Kingsbury,2133,2256
20240101,Monday,Knightsbridge,25291,21282
20240101,Monday,Ladbroke Grove,4056,4398
20240101,Monday,Lambeth North,3697,2795
20240101,Monday,Lancaster Gate,2956,2878
20240101,Monday,Langdon Park,1274,1138
20240101,Monday,Langley Berks,289,350
20240101,Monday,Latimer Road,833,837
20240101,Monday,Leicester Square,44275,32737
20240101,Monday,Lewisham DLR,2535,2430
20240101,Monday,Leyton,5200,5625
20240101,Monday,Leyton Midland Road,733,672
20240101,Monday,Leytonstone,4026,4477
20240101,Monday,Leytonstone High Road,502,505
20240101,Monday,Limehouse DLR,2645,2543
20240101,Monday,Liverpool St NR,7794,6734
20240101,Monday,Liverpool Street,27266,27466
20240101,Monday,London Bridge,39628,37874
20240101,Monday,London City Airport,2311,1601
20240101,Monday,London Fields,647,754
20240101,Monday,Loughton,1258,1390
20240101,Monday,Maida Vale,1470,1577
20240101,Monday,Maidenhead,687,728
20240101,Monday,Manor House,2581,1903
20240101,Monday,Manor Park,2927,2947
20240101,Monday,Mansion House,2416,2541
20240101,Monday,Marble Arch,18774,15919
20240101,Monday,Maryland,2418,2482
20240101,Monday,Marylebone,5101,5647
20240101,Monday,Mile End,6240,6515
20240101,Monday,Mill Hill East,625,661
20240101,Monday,Monument,12082,12905
20240101,Monday,Moor Park,257,374
20240101,Monday,Moorgate,5621,6783
20240101,Monday,Morden,5367,6188
20240101,Monday,Mornington Crescent,2309,1806
20240101,Monday,Mudchute,847,719
20240101,Monday,Neasden,1586,1767
20240101,Monday,New Cross,971,884
20240101,Monday,New Cross Gate,2745,3017
20240101,Monday,Newbury Park,2133,2075
20240101,Monday,Nine Elms,2651,2980
20240101,Monday,North Acton,3199,3450
20240101,Monday,North Ealing,324,334
20240101,Monday,North Greenwich,17274,18175
20240101,Monday,North Harrow,637,713
20240101,Monday,North Wembley,754,788
20240101,Monday,Northfields,1856,1899
20240101,Monday,Northolt,2483,2406
20240101,Monday,Northwick Park,1527,1523
20240101,Monday,Northwood,916,1058
20240101,Monday,Northwood Hills,709,786
20240101,Monday,Norwood Junction,1791,1997
20240101,Monday,Notting Hill Gate,8562,10067
20240101,Monday,Oakwood,1309,1584
20240101,Monday,Old Street,7534,6850
20240101,Monday,Osterley,1100,1234
20240101,Monday,Oval,3206,3435
20240101,Monday,Oxford Circus,38398,39805
20240101,Monday,Paddington,24443,24116
20240101,Monday,Paddington EL,15188,14986
20240101,Monday,Park Royal,1649,1612
20240101,Monday,Parsons Green,2244,2279
20240101,Monday,Peckham Rye,922,825
20240101,Monday,Penge West,426,355
20240101,Monday,Perivale,883,878
20240101,Monday,Piccadilly Circus,39648,36132
20240101,Monday,Pimlico,4489,4614
20240101,Monday,Pinner,1137,1172
20240101,Monday,Plaistow,3022,3232
20240101,Monday,Pontoon Dock DLR,1557,1510
20240101,Monday,Poplar,440,457
20240101,Monday,Preston Road,1337,1461
20240101,Monday,Prince Regent,1071,857
20240101,Monday,Pudding Mill Lane,3706,3185
20240101,Monday,Putney Bridge,2297,2704
20240101,Monday,Queens Park,2626,2714
20240101,Monday,Queens Rd Peckham,498,423
20240101,Monday,Queensbury,1586,1792
20240101,Monday,Queensway,6913,6685
20240101,Monday,Ravenscourt Park,1265,1269
20240101,Monday,Rayners Lane,2081,2305
20240101,Monday,Reading,719,718
20240101,Monday,Rectory Road,583,594
20240101,Monday,Redbridge,1355,1425
20240101,Monday,Regents Park,1083,1338
20240101,Monday,Richmond,6360,5524
20240101,Monday,Rickmansworth,719,706
20240101,Monday,Roding Valley,64,69
20240101,Monday,Romford,5312,5756
20240101,Monday,Rotherhithe,949,887
20240101,Monday,Royal Albert,1145,970
20240101,Monday,Royal Oak,1218,1224
20240101,Monday,Royal Victoria,1622,1359
20240101,Monday,Ruislip,690,739
20240101,Monday,Ruislip Gardens,532,468
20240101,Monday,Ruislip Manor,553,675
20240101,Monday,Russell Square,7296,7239
20240101,Monday,Seven Kings,2428,2353
20240101,Monday,Seven Sisters,8220,8482
20240101,Monday,Shadwell DLR,2581,2658
20240101,Monday,Shadwell LO,2337,2277
20240101,Monday,Shenfield,1196,1286
20240101,Monday,Shepherds Bush,11458,11380
20240101,Monday,Shepherds Bush LO,4545,4940
20240101,Monday,Shepherds Bush Market,3325,2831
20240101,Monday,Shoreditch High Street,2861,2775
20240101,Monday,Silver Street,973,857
20240101,Monday,Sloane Square,5864,6254
20240101,Monday,Slough,1268,1256
20240101,Monday,Snaresbrook,893,1073
20240101,Monday,South Acton,295,228
20240101,Monday,South Ealing,874,1345
20240101,Monday,South Hampstead,240,253
20240101,Monday,South Harrow,1403,1504
20240101,Monday,South Kensington,20784,21074
20240101,Monday,South Kenton,365,389
20240101,Monday,South Quay,1353,1353
20240101,Monday,South Ruislip,1082,891
20240101,Monday,South Tottenham,624,577
20240101,Monday,South Wimbledon,1903,2154
20240101,Monday,South Woodford,2063,2405
20240101,Monday,Southall,5769,6147
20240101,Monday,Southbury,488,576
20240101,Monday,Southfields,2461,2599
20240101,Monday,Southgate,2260,2649
20240101,Monday,Southwark,2748,2215
20240101,Monday,St James Street,786,788
20240101,Monday,St James's Park,9214,8655
20240101,Monday,St Johns Wood,3362,3481
20240101,Monday,St Pauls,5722,5376
20240101,Monday,Stamford Brook,1265,1294
20240101,Monday,Stamford Hill,294,298
20240101,Monday,Stanmore,1805,2116
20240101,Monday,Star Lane DLR,702,433
20240101,Monday,Stepney Green,3377,3253
20240101,Monday,Stockwell,5092,4971
20240101,Monday,Stoke Newington,650,594
20240101,Monday,Stonebridge Park,1466,1588
20240101,Monday,Stratford,39805,40615
20240101,Monday,Stratford High Street,218,351
20240101,Monday,Stratford International,1812,1607
20240101,Monday,Sudbury Hill,959,1074
20240101,Monday,Sudbury Town,1153,1131
20240101,Monday,Surrey Quays,2466,2391
20240101,Monday,Swiss Cottage,2983,3255
20240101,Monday,Sydenham SR,1614,1805
20240101,Monday,Taplow,126,114
20240101,Monday,Temple,3015,2186
20240101,Monday,Theobalds Grove,299,342
20240101,Monday,Theydon Bois,362,388
20240101,Monday,Tooting Bec,3679,4069
20240101,Monday,Tooting Broadway,6882,7551
20240101,Monday,Tottenham Court Road,54750,51625
20240101,Monday,Tottenham Hale,10092,9980
20240101,Monday,Totteridge & Whetstone,1212,1217
20240101,Monday,Tower Gateway,1382,1573
20240101,Monday,Tower Hill,529,470
20240101,Monday,Tufnell Park,2739,2933
20240101,Monday,Turkey Street,558,578
20240101,Monday,Turnham Green,2715,3816
20240101,Monday,Turnpike Lane,5390,6639
20240101,Monday,Twyford,153,105
20240101,Monday,Upminster,1844,2203
20240101,Monday,Upminster Bridge,311,337
20240101,Monday,Upney,1435,1338
20240101,Monday,Upper Holloway,563,479
20240101,Monday,Upton Park,7200,7238
20240101,Monday,Uxbridge,2657,2697
20240101,Monday,Vauxhall,13435,12593
20240101,Monday,Victoria,37626,41617
20240101,Monday,W Silvertown,2347,1776
20240101,Monday,Walthamstow Central,8036,8687
20240101,Monday,Walthamstow Queens Road,437,432
20240101,Monday,Wanstead,1138,1122
