TravelDate,DayOFWeek,Station,EntryTapCount,ExitTapCount,Borough
20190101,Tuesday,Aldgate,3149,3354,City of London
20190101,Tuesday,Bank,7219,7267,City of London
20190101,Tuesday,Barbican,3224,3123,City of London
20190101,Tuesday,Blackfriars,5501,6618,City of London
20190101,Tuesday,Chancery Lane,2347,2141,City of London
20190101,Tuesday,Liverpool Street,20457,20936,City of London
20190101,Tuesday,Mansion House,2027,2190,City of London
20190101,Tuesday,Monument,4534,4293,City of London
20190101,Tuesday,Moorgate,3494,3776,City of London
20190102,Wednesday,Aldgate,11241,13170,City of London
20190102,Wednesday,Bank,54520,55040,City of London
20190102,Wednesday,Barbican,11502,11257,City of London
20190102,Wednesday,Blackfriars,11881,16266,City of London
20190102,Wednesday,Chancery Lane,18334,20221,City of London
20190102,Wednesday,Liverpool Street,71756,78329,City of London
20190102,Wednesday,Mansion House,8242,7316,City of London
20190102,Wednesday,Monument,17121,16227,City of London
20190102,Wednesday,Moorgate,27732,27485,City of London
20190103,Thursday,Aldgate,12146,12929,City of London
20190103,Thursday,Bank,62528,61341,City of London
20190103,Thursday,Barbican,13888,13503,City of London
20190103,Thursday,Blackfriars,13264,20304,City of London
20190103,Thursday,Chancery Lane,20986,23485,City of London
20190103,Thursday,Liverpool Street,81329,85803,City of London
20190103,Thursday,Mansion House,10175,9612,City of London
20190103,Thursday,Monument,19059,19227,City of London
20190103,Thursday,Moorgate,33647,32987,City of London
20190104,Friday,Aldgate,11354,12189,City of London
20190104,Friday,Bank,62169,62779,City of London
20190104,Friday,Barbican,13283,13130,City of London
20190104,Friday,Blackfriars,12784,19635,City of London
20190104,Friday,Chancery Lane,22384,23562,City of London
20190104,Friday,Liverpool Street,85614,88733,City of London
20190104,Friday,Mansion House,9570,9550,City of London
20190104,Friday,Monument,18444,19183,City of London
20190104,Friday,Moorgate,32310,32198,City of London
20190105,Saturday,Aldgate,6406,8661,City of London
20190105,Saturday,Bank,14852,14657,City of London
20190105,Saturday,Barbican,5140,5338,City of London
20190105,Saturday,Blackfriars,4418,5992,City of London
20190105,Saturday,Chancery Lane,6000,6256,City of London
20190105,Saturday,Liverpool Street,48635,51153,City of London
20190105,Saturday,Mansion House,2200,2366,City of London
20190105,Saturday,Monument,5870,5947,City of London
20190105,Saturday,Moorgate,7381,8401,City of London
20190106,Sunday,Aldgate,4376,5579,City of London
20190106,Sunday,Bank,7854,7686,City of London
20190106,Sunday,Barbican,3119,3404,City of London
20190106,Sunday,Blackfriars,2848,3719,City of London
20190106,Sunday,Chancery Lane,3293,3583,City of London
20190106,Sunday,Liverpool Street,31745,32991,City of London
20190106,Sunday,Mansion House,1572,1596,City of London
20190106,Sunday,Monument,3976,4009,City of London
20190106,Sunday,Moorgate,4777,5023,City of London
20190107,Monday,Aldgate,13839,14758,City of London
20190107,Monday,Bank,69452,70016,City of London
20190107,Monday,Barbican,17070,17171,City of London
20190107,Monday,Blackfriars,13668,21894,City of London
20190107,Monday,Chancery Lane,26199,27525,City of London
20190107,Monday,Liverpool Street,89603,100939,City of London
20190107,Monday,Mansion House,10736,11118,City of London
20190107,Monday,Monument,19664,20173,City of London
20190107,Monday,Moorgate,40649,38500,City of London
20190108,Tuesday,Aldgate,15549,16200,City of London
20190108,Tuesday,Bank,78218,76726,City of London
20190108,Tuesday,Barbican,18704,18201,City of London
20190108,Tuesday,Blackfriars,15125,23723,City of London
20190108,Tuesday,Chancery Lane,28634,29395,City of London
20190108,Tuesday,Liverpool Street,98126,103608,City of London
20190108,Tuesday,Mansion House,11835,12234,City of London
20190108,Tuesday,Monument,22356,22865,City of London
20190108,Tuesday,Moorgate,44501,42864,City of London
20190109,Wednesday,Aldgate,15263,16314,City of London
20190109,Wednesday,Bank,77884,78398,City of London
20190109,Wednesday,Barbican,19537,19155,City of London
20190109,Wednesday,Blackfriars,15277,24027,City of London
20190109,Wednesday,Chancery Lane,25762,30507,City of London
20190109,Wednesday,Liverpool Street,100032,103978,City of London
20190109,Wednesday,Mansion House,12509,12280,City of London
20190109,Wednesday,Monument,22891,23050,City of London
20190109,Wednesday,Moorgate,45772,44146,City of London
20190110,Thursday,Aldgate,15876,16500,City of London
20190110,Thursday,Bank,81388,82889,City of London
20190110,Thursday,Barbican,20064,19974,City of London
20190110,Thursday,Blackfriars,15639,24773,City of London
20190110,Thursday,Chancery Lane,30254,31406,City of London
20190110,Thursday,Liverpool Street,101516,109511,City of London
20190110,Thursday,Mansion House,12313,12526,City of London
20190110,Thursday,Monument,23504,24191,City of London
20190110,Thursday,Moorgate,45395,44506,City of London
20190111,Friday,Aldgate,14537,15154,City of London
20190111,Friday,Bank,72188,74742,City of London
20190111,Friday,Barbican,17780,17717,City of London
20190111,Friday,Blackfriars,14597,23466,City of London
20190111,Friday,Chancery Lane,28772,30421,City of London
20190111,Friday,Liverpool Street,102626,106662,City of London
20190111,Friday,Mansion House,11360,11530,City of London
20190111,Friday,Monument,21662,23469,City of London
20190111,Friday,Moorgate,40218,40596,City of London
20190112,Saturday,Aldgate,4209,5872,City of London
20190112,Saturday,Bank,21492,21321,City of London
20190112,Saturday,Barbican,6821,7251,City of London
20190112,Saturday,Blackfriars,5447,7468,City of London
20190112,Saturday,Chancery Lane,7485,7808,City of London
20190112,Saturday,Liverpool Street,51740,52979,City of London
20190112,Saturday,Mansion House,2680,2754,City of London
20190112,Saturday,Monument,7000,7858,City of London
20190112,Saturday,Moorgate,8909,10402,City of London
20190113,Sunday,Aldgate,3569,4481,City of London
20190113,Sunday,Bank,8405,8588,City of London
20190113,Sunday,Barbican,4542,4726,City of London
20190113,Sunday,Blackfriars,4965,7186,City of London
20190113,Sunday,Chancery Lane,3762,3829,City of London
20190113,Sunday,Liverpool Street,31389,31830,City of London
20190113,Sunday,Mansion House,1899,1900,City of London
20190113,Sunday,Monument,5470,5536,City of London
20190113,Sunday,Moorgate,6005,6354,City of London
20190114,Monday,Aldgate,14900,16083,City of London
20190114,Monday,Bank,76433,77795,City of London
20190114,Monday,Barbican,18429,18270,City of London
20190114,Monday,Blackfriars,15250,23933,City of London
20190114,Monday,Chancery Lane,28693,30015,City of London
20190114,Monday,Liverpool Street,95549,103826,City of London
20190114,Monday,Mansion House,11966,12108,City of London
20190114,Monday,Monument,22164,23196,City of London
20190114,Monday,Moorgate,42263,39522,City of London
20190115,Tuesday,Aldgate,15871,16290,City of London
20190115,Tuesday,Bank,83285,81118,City of London
20190115,Tuesday,Barbican,19838,19360,City of London
20190115,Tuesday,Blackfriars,16419,25485,City of London
20190115,Tuesday,Chancery Lane,31044,31939,City of London
20190115,Tuesday,Liverpool Street,103272,109617,City of London
20190115,Tuesday,Mansion House,12734,12802,City of London
20190115,Tuesday,Monument,23710,24595,City of London
20190115,Tuesday,Moorgate,46529,45679,City of London
20190116,Wednesday,Aldgate,16219,16527,City of London
20190116,Wednesday,Bank,83830,87322,City of London
20190116,Wednesday,Barbican,20351,19960,City of London
20190116,Wednesday,Blackfriars,16574,26457,City of London
20190116,Wednesday,Chancery Lane,32078,32990,City of London
20190116,Wednesday,Liverpool Street,104708,113370,City of London
20190116,Wednesday,Mansion House,12801,13064,City of London
20190116,Wednesday,Monument,24284,24761,City of London
20190116,Wednesday,Moorgate,47208,45513,City of London
20190117,Thursday,Aldgate,16731,18040,City of London
20190117,Thursday,Bank,82755,86252,City of London
20190117,Thursday,Barbican,21185,20347,City of London
20190117,Thursday,Blackfriars,16173,26153,City of London
20190117,Thursday,Chancery Lane,28153,33664,City of London
20190117,Thursday,Liverpool Street,109995,116524,City of London
20190117,Thursday,Mansion House,13077,14330,City of London
20190117,Thursday,Monument,25204,26186,City of London
20190117,Thursday,Moorgate,48327,47417,City of London
20190118,Friday,Aldgate,17101,18033,City of London
20190118,Friday,Bank,83766,84534,City of London
