TravelDate,DayOFWeek,Station,EntryTapCount,ExitTapCount,Borough,LINES,NETWORK,Zone,x,y
20210101,Friday,Aldgate,362,539,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210101,Friday,Bank,711,737,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210101,Friday,Barbican,337,424,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210101,Friday,Blackfriars,498,540,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210101,Friday,Chancery Lane,366,430,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210101,Friday,Liverpool Street,2668,2739,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210101,Friday,Liverpool Street,2668,2739,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210101,Friday,Liverpool Street,2668,2739,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210101,Friday,Mansion House,100,135,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210101,Friday,Monument,402,475,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210101,Friday,Moorgate,583,676,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210102,Saturday,Aldgate,572,935,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210102,Saturday,Bank,1239,1317,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210102,Saturday,Barbican,503,598,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210102,Saturday,Blackfriars,761,795,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210102,Saturday,Chancery Lane,560,671,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210102,Saturday,Liverpool Street,4553,4279,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210102,Saturday,Liverpool Street,4553,4279,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210102,Saturday,Liverpool Street,4553,4279,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210102,Saturday,Mansion House,212,140,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210102,Saturday,Monument,670,821,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210102,Saturday,Moorgate,905,1056,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210103,Sunday,Aldgate,421,639,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210103,Sunday,Bank,1084,1095,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210103,Sunday,Barbican,492,574,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210103,Sunday,Blackfriars,901,859,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210103,Sunday,Chancery Lane,489,567,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210103,Sunday,Liverpool Street,4112,3933,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210103,Sunday,Liverpool Street,4112,3933,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210103,Sunday,Liverpool Street,4112,3933,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210103,Sunday,Mansion House,209,230,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210103,Sunday,Monument,567,675,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210103,Sunday,Moorgate,740,850,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210104,Monday,Aldgate,1700,2232,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210104,Monday,Bank,3733,3680,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210104,Monday,Barbican,1648,1822,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210104,Monday,Blackfriars,2176,2206,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210104,Monday,Chancery Lane,2716,3108,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210104,Monday,Liverpool Street,12299,13468,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210104,Monday,Liverpool Street,12299,13468,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210104,Monday,Liverpool Street,12299,13468,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210104,Monday,Mansion House,682,659,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210104,Monday,Monument,1672,1913,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210104,Monday,Moorgate,3987,4333,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210105,Tuesday,Aldgate,1697,1948,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210105,Tuesday,Bank,3495,3574,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210105,Tuesday,Barbican,1654,1725,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210105,Tuesday,Blackfriars,2086,2132,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210105,Tuesday,Chancery Lane,2597,3048,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210105,Tuesday,Liverpool Street,11314,12615,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210105,Tuesday,Liverpool Street,11314,12615,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210105,Tuesday,Liverpool Street,11314,12615,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210105,Tuesday,Mansion House,630,690,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210105,Tuesday,Monument,1489,1869,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210105,Tuesday,Moorgate,3787,4155,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210106,Wednesday,Aldgate,1754,1944,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210106,Wednesday,Bank,3228,3430,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210106,Wednesday,Barbican,1552,1679,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210106,Wednesday,Blackfriars,1929,2088,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210106,Wednesday,Chancery Lane,2484,2671,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210106,Wednesday,Liverpool Street,10959,12265,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210106,Wednesday,Liverpool Street,10959,12265,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210106,Wednesday,Liverpool Street,10959,12265,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210106,Wednesday,Mansion House,598,597,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210106,Wednesday,Monument,1531,1812,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210106,Wednesday,Moorgate,3555,3936,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210107,Thursday,Aldgate,1719,1992,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210107,Thursday,Bank,3307,3379,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210107,Thursday,Barbican,1575,1688,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210107,Thursday,Blackfriars,2042,1943,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210107,Thursday,Chancery Lane,2524,2870,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210107,Thursday,Liverpool Street,10845,12483,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210107,Thursday,Liverpool Street,10845,12483,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210107,Thursday,Liverpool Street,10845,12483,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210107,Thursday,Mansion House,605,587,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210107,Thursday,Monument,1523,1781,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210107,Thursday,Moorgate,3648,4112,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210108,Friday,Aldgate,1642,2184,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210108,Friday,Bank,3059,3492,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210108,Friday,Barbican,1575,1589,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210108,Friday,Blackfriars,1953,1912,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210108,Friday,Chancery Lane,2400,2781,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210108,Friday,Liverpool Street,11049,12189,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210108,Friday,Liverpool Street,11049,12189,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210108,Friday,Liverpool Street,11049,12189,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210108,Friday,Mansion House,567,511,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210108,Friday,Monument,1423,1675,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210108,Friday,Moorgate,3479,3927,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210109,Saturday,Aldgate,0,76,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210109,Saturday,Bank,2140,2444,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210109,Saturday,Barbican,1,37,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210109,Saturday,Blackfriars,35,68,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210109,Saturday,Chancery Lane,1146,1040,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210109,Saturday,Liverpool Street,5189,5410,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210109,Saturday,Liverpool Street,5189,5410,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210109,Saturday,Liverpool Street,5189,5410,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210109,Saturday,Mansion House,0,34,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210109,Saturday,Monument,26,56,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210109,Saturday,Moorgate,1354,1536,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210110,Sunday,Aldgate,2,38,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210110,Sunday,Bank,1296,1342,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210110,Sunday,Barbican,1,34,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210110,Sunday,Blackfriars,0,99,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210110,Sunday,Chancery Lane,623,596,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210110,Sunday,Liverpool Street,3646,3500,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210110,Sunday,Liverpool Street,3646,3500,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210110,Sunday,Liverpool Street,3646,3500,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210110,Sunday,Monument,3,44,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210110,Sunday,Moorgate,810,1184,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210111,Monday,Aldgate,1663,2162,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210111,Monday,Bank,3245,3501,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210111,Monday,Barbican,1570,1769,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210111,Monday,Blackfriars,1906,1945,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210111,Monday,Chancery Lane,2474,2768,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210111,Monday,Liverpool Street,10752,11877,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210111,Monday,Liverpool Street,10752,11877,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210111,Monday,Liverpool Street,10752,11877,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210111,Monday,Mansion House,568,555,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210111,Monday,Monument,1478,1749,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210111,Monday,Moorgate,3710,3975,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210112,Tuesday,Aldgate,1768,2079,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210112,Tuesday,Bank,3262,3606,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210112,Tuesday,Barbican,1505,1730,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210112,Tuesday,Blackfriars,1354,2003,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210112,Tuesday,Chancery Lane,2445,2821,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
