TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough
20240101,Monday,Aldgate,7223,7382,City of London
20240101,Monday,Bank,8690,8977,City of London
20240101,Monday,Barbican,894,889,City of London
20240101,Monday,Blackfriars,7967,6824,City of London
20240101,Monday,Cannon Street,1869,1611,City of London
20240101,Monday,Chancery Lane,1565,1681,City of London
20240101,Monday,Liverpool Street,27266,27466,City of London
20240101,Monday,Mansion House,2416,2541,City of London
20240101,Monday,Monument,12082,12905,City of London
20240101,Monday,Moorgate,5621,6783,City of London
20240102,Tuesday,Aldgate,8417,9099,City of London
20240102,Tuesday,Bank,35193,36778,City of London
20240102,Tuesday,Barbican,5843,5491,City of London
20240102,Tuesday,Blackfriars,14133,12903,City of London
20240102,Tuesday,Cannon Street,6133,4281,City of London
20240102,Tuesday,Chancery Lane,8569,8810,City of London
20240102,Tuesday,Liverpool Street,64367,62775,City of London
20240102,Tuesday,Mansion House,5624,5715,City of London
20240102,Tuesday,Monument,12902,11397,City of London
20240102,Tuesday,Moorgate,25296,26950,City of London
20240103,Wednesday,Aldgate,9314,10158,City of London
20240103,Wednesday,Bank,41404,43762,City of London
20240103,Wednesday,Barbican,5936,6011,City of London
20240103,Wednesday,Blackfriars,14767,13417,City of London
20240103,Wednesday,Cannon Street,5800,5027,City of London
20240103,Wednesday,Chancery Lane,10035,10658,City of London
20240103,Wednesday,Liverpool Street,70403,70587,City of London
20240103,Wednesday,Mansion House,6095,6535,City of London
20240103,Wednesday,Monument,14052,12268,City of London
20240103,Wednesday,Moorgate,30639,32431,City of London
20240104,Thursday,Aldgate,10401,11007,City of London
20240104,Thursday,Bank,49103,51011,City of London
20240104,Thursday,Barbican,7823,7745,City of London
20240104,Thursday,Blackfriars,17214,15729,City of London
20240104,Thursday,Cannon Street,6711,5880,City of London
20240104,Thursday,Chancery Lane,12751,12552,City of London
20240104,Thursday,Liverpool Street,78387,79404,City of London
20240104,Thursday,Mansion House,7383,7489,City of London
20240104,Thursday,Monument,15698,14053,City of London
20240104,Thursday,Moorgate,35760,37921,City of London
20240105,Friday,Aldgate,7788,9347,City of London
20240105,Friday,Bank,31627,34743,City of London
20240105,Friday,Barbican,5827,5887,City of London
20240105,Friday,Blackfriars,11370,10400,City of London
20240105,Friday,Cannon Street,4668,3881,City of London
20240105,Friday,Chancery Lane,8742,9443,City of London
20240105,Friday,Liverpool Street,67311,68422,City of London
20240105,Friday,Mansion House,4632,4741,City of London
20240105,Friday,Monument,10751,9281,City of London
20240105,Friday,Moorgate,22767,25309,City of London
20240106,Saturday,Aldgate,4418,5027,City of London
20240106,Saturday,Bank,13129,15252,City of London
20240106,Saturday,Barbican,3401,3604,City of London
20240106,Saturday,Blackfriars,11145,10414,City of London
20240106,Saturday,Cannon Street,3702,2991,City of London
20240106,Saturday,Chancery Lane,3847,3817,City of London
20240106,Saturday,Liverpool Street,53216,53704,City of London
20240106,Saturday,Mansion House,2274,2401,City of London
20240106,Saturday,Monument,8226,7032,City of London
20240106,Saturday,Moorgate,9367,11088,City of London
20240107,Sunday,Aldgate,2844,3318,City of London
20240107,Sunday,Bank,7264,9114,City of London
20240107,Sunday,Barbican,2080,2219,City of London
20240107,Sunday,Blackfriars,6505,6109,City of London
20240107,Sunday,Cannon Street,2109,1851,City of London
20240107,Sunday,Chancery Lane,1813,1836,City of London
20240107,Sunday,Liverpool Street,33575,34447,City of London
20240107,Sunday,Mansion House,1611,1633,City of London
20240107,Sunday,Monument,4882,4342,City of London
20240107,Sunday,Moorgate,5739,6409,City of London
20240108,Monday,Aldgate,7049,7818,City of London
20240108,Monday,Bank,34924,36045,City of London
20240108,Monday,Barbican,5974,6043,City of London
20240108,Monday,Blackfriars,11651,11094,City of London
20240108,Monday,Cannon Street,5184,4653,City of London
20240108,Monday,Chancery Lane,9283,9598,City of London
20240108,Monday,Liverpool Street,58685,59130,City of London
20240108,Monday,Mansion House,4751,4993,City of London
20240108,Monday,Monument,8932,8199,City of London
20240108,Monday,Moorgate,25936,27272,City of London
20240109,Tuesday,Aldgate,10708,11722,City of London
20240109,Tuesday,Bank,53343,56050,City of London
20240109,Tuesday,Barbican,8018,8435,City of London
20240109,Tuesday,Blackfriars,16502,15785,City of London
20240109,Tuesday,Cannon Street,8233,6931,City of London
20240109,Tuesday,Chancery Lane,13524,14469,City of London
20240109,Tuesday,Liverpool Street,80408,80300,City of London
20240109,Tuesday,Mansion House,7205,7693,City of London
20240109,Tuesday,Monument,13248,12753,City of London
20240109,Tuesday,Moorgate,42489,45209,City of London
20240110,Wednesday,Aldgate,11045,12373,City of London
20240110,Wednesday,Bank,54414,57150,City of London
20240110,Wednesday,Barbican,8213,8700,City of London
20240110,Wednesday,Blackfriars,17018,16269,City of London
20240110,Wednesday,Cannon Street,8126,7322,City of London
20240110,Wednesday,Chancery Lane,13933,14654,City of London
20240110,Wednesday,Liverpool Street,83857,84018,City of London
20240110,Wednesday,Mansion House,7566,8227,City of London
20240110,Wednesday,Monument,14248,13407,City of London
20240110,Wednesday,Moorgate,42862,46007,City of London
20240111,Thursday,Aldgate,11842,12897,City of London
20240111,Thursday,Bank,58717,60128,City of London
20240111,Thursday,Barbican,9577,10023,City of London
20240111,Thursday,Blackfriars,18211,17583,City of London
20240111,Thursday,Cannon Street,8142,7436,City of London
20240111,Thursday,Chancery Lane,14687,15578,City of London
20240111,Thursday,Liverpool Street,90405,90910,City of London
20240111,Thursday,Mansion House,8243,9034,City of London
20240111,Thursday,Monument,15017,14380,City of London
20240111,Thursday,Moorgate,45148,49127,City of London
20240112,Friday,Aldgate,8366,9903,City of London
20240112,Friday,Bank,35120,36934,City of London
20240112,Friday,Barbican,7063,7327,City of London
20240112,Friday,Blackfriars,12673,12364,City of London
20240112,Friday,Cannon Street,5515,4908,City of London
20240112,Friday,Chancery Lane,10349,10759,City of London
20240112,Friday,Liverpool Street,70693,70531,City of London
20240112,Friday,Mansion House,4966,5775,City of London
20240112,Friday,Monument,10378,9863,City of London
20240112,Friday,Moorgate,28007,30969,City of London
20240113,Saturday,Aldgate,5476,6382,City of London
20240113,Saturday,Bank,14613,33755,City of London
20240113,Saturday,Barbican,4321,4887,City of London
20240113,Saturday,Blackfriars,14608,13576,City of London
20240113,Saturday,Cannon Street,5160,4738,City of London
20240113,Saturday,Chancery Lane,4728,4607,City of London
20240113,Saturday,Liverpool Street,67981,68970,City of London
20240113,Saturday,Mansion House,2793,5059,City of London
20240113,Saturday,Monument,10356,11043,City of London
20240113,Saturday,Moorgate,12407,17434,City of London
20240114,Sunday,Aldgate,3789,4060,City of London
20240114,Sunday,Bank,8308,10380,City of London
20240114,Sunday,Barbican,3083,3280,City of London
20240114,Sunday,Blackfriars,8683,7995,City of London
20240114,Sunday,Cannon Street,1733,1657,City of London
20240114,Sunday,Chancery Lane,2386,2275,City of London
20240114,Sunday,Liverpool Street,41802,44248,City of London
20240114,Sunday,Mansion House,2019,2181,City of London
20240114,Sunday,Monument,6613,5870,City of London
20240114,Sunday,Moorgate,8356,9657,City of London
20240115,Monday,Aldgate,9960,11149,City of London
20240115,Monday,Bank,45331,47505,City of London
20240115,Monday,Barbican,7814,8126,City of London
20240115,Monday,Blackfriars,15437,15302,City of London
20240115,Monday,Cannon Street,6859,6084,City of London
20240115,Monday,Chancery Lane,12624,13145,City of London
20240115,Monday,Liverpool Street,74278,75615,City of London
20240115,Monday,Mansion House,6704,7246,City of London
20240115,Monday,Monument,12692,11970,City of London
20240115,Monday,Moorgate,36196,39120,City of London
20240116,Tuesday,Aldgate,12905,14561,City of London
20240116,Tuesday,Bank,61414,55058,City of London
20240116,Tuesday,Barbican,9472,9816,City of London
20240116,Tuesday,Blackfriars,19232,18730,City of London
20240116,Tuesday,Cannon Street,9120,8696,City of London
20240116,Tuesday,Chancery Lane,15998,16939,City of London
20240116,Tuesday,Liverpool Street,94266,96277,City of London
20240116,Tuesday,Mansion House,8829,10211,City of London
20240116,Tuesday,Monument,16422,16042,City of London
20240116,Tuesday,Moorgate,47907,51654,City of London
20240117,Wednesday,Aldgate,12386,13676,City of London
20240117,Wednesday,Bank,60389,62375,City of London
20240117,Wednesday,Barbican,9176,9624,City of London
20240117,Wednesday,Blackfriars,18662,17800,City of London
20240117,Wednesday,Cannon Street,9003,7747,City of London
20240117,Wednesday,Chancery Lane,15670,16583,City of London
20240117,Wednesday,Liverpool Street,94349,94841,City of London
20240117,Wednesday,Mansion House,8468,9190,City of London
20240117,Wednesday,Monument,15935,14848,City of London
20240117,Wednesday,Moorgate,47824,50742,City of London
20240118,Thursday,Aldgate,13029,13306,City of London
20240118,Thursday,Bank,65271,68961,City of London
20240118,Thursday,Barbican,9861,9586,City of London
20240118,Thursday,Blackfriars,19656,18833,City of London
20240118,Thursday,Cannon Street,8909,7812,City of London
20240118,Thursday,Chancery Lane,16148,17793,City of London
20240118,Thursday,Liverpool Street,101539,100894,City of London
20240118,Thursday,Mansion House,8793,9412,City of London
20240118,Thursday,Monument,16980,15658,City of London
