Date,NO_value,NO2_value,PM10_value,PM25_value,pedal_cycles_major,two_wheeled_motor_vehicles_major,cars_and_taxis_major,buses_and_coaches_major,lgvs_major,hgvs_2_rigid_axle_major,hgvs_3_rigid_axle_major,hgvs_4_or_more_rigid_axle_major,hgvs_3_or_4_articulated_axle_major,hgvs_5_articulated_axle_major,hgvs_6_articulated_axle_major,pedal_cycles_minor,two_wheeled_motor_vehicles_minor,cars_and_taxis_minor,buses_and_coaches_minor,lgvs_minor,hgvs_2_rigid_axle_minor,hgvs_3_rigid_axle_minor,hgvs_4_or_more_rigid_axle_minor,hgvs_3_or_4_articulated_axle_minor,hgvs_5_articulated_axle_minor,hgvs_6_articulated_axle_minor,EntryTapCount,ExitTapCount
2018-01-01,4.033333333333333,18.25,11.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,2.4166666666666665,18.116666666666667,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,2.1333333333333333,19.08333333333333,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,6.5,25.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,15.4,36.9,14.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,31.8,37.2,18.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,1.7,13.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,4.3,20.7,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,23.8,35.8,30.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,12.916666666666666,29.933333333333334,21.9,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,3.1833333333333336,23.1,22.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,11.4,33.5,24.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,3.6,23.6,24.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,4.8,27.7,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,3.5,27.2,13.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,2.7,22.7,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,2.5,21.7,18.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,3.3,20.8,12.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,7.2,39.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,3.7,31.8,10.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-21,9.7,37.8,14.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,6.6,32.2,15.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,2.4,25.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,1.6,20.7,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,3.7,31.5,17.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,10.2,36.3,16.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-27,7.9,34.7,15.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-28,1.5,13.1,8.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,3.5,20.9,10.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,33.1,52.5,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,3.1,22.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,3.6,19.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,12.9,28.8,17.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,11.5,48.8,14.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,2.0,15.7,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,3.1,21.7,13.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,8.3,31.5,21.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,17.8,38.0,20.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,20.6,49.6,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,3.4,23.5,12.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,5.4,38.2,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-11,1.8,11.9,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,8.1,36.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,3.3,27.3,11.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,15.1,31.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,5.1,34.5,16.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,12.2,48.1,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-17,30.6,53.8,25.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,15.4,39.2,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,12.5,35.3,15.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,4.9,22.5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,7.6,32.2,36.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,4.4,28.4,30.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,7.1,31.8,29.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,4.8,28.4,32.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-25,2.8,18.7,21.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,2.5,18.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,5.7,35.4,15.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,6.0,28.3,22.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,3.4,22.2,43.9,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-02,5.0,32.9,46.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,6.9,40.1,66.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,8.6,37.4,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,3.7,31.5,20.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,8.7,38.0,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,23.9,48.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-08,2.8,26.4,11.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,19.8,51.4,22.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10,3.5,32.4,19.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-11,14.9,45.0,24.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,7.5,35.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-13,5.5,33.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,3.8,26.7,16.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-15,5.2,38.5,14.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,6.4,32.0,19.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-17,1.5,14.3,19.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-18,1.5,15.0,29.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,1.6,17.0,22.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,2.3,23.1,17.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-21,11.6,39.0,23.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22,3.7,27.4,21.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23,1.8,21.5,19.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24,3.6,31.2,25.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,5.6,30.9,31.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,2.5,29.4,16.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,4.6,28.2,11.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28,7.2,40.7,11.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29,7.3,36.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,4.1,30.9,10.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,41.4,45.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,13.9,33.6,18.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,2.0,24.7,11.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03,2.9,25.5,13.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-04,2.1,21.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05,2.6,19.8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,5.4,34.6,22.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07,10.6,44.3,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,3.6,31.8,19.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09,3.3,31.9,23.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10,3.4,32.6,28.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-11,4.6,28.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-12,4.7,21.7,32.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-13,5.8,33.8,24.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-14,5.7,36.7,38.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15,3.0,27.7,30.7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-16,1.6,23.0,20.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-17,2.7,26.7,18.3,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-18,2.8,35.7,23.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-19,14.6,54.1,47.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20,4.6,36.5,31.6,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-21,6.0,45.5,45.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-22,2.6,23.1,32.1,,,,,,,,,,,,,,,,,,,,,,,,,
