Site,ULEZ_period,Percentage_Change,Mean_Value,Classification,Latitude & Longitude
BL0,post2019,-34.53543875983582,38.02838028169014,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2019,-34.53543875983582,38.02838028169014,Roadside,"51.544219000000, -0.175284000000"
CD9,post2019,-34.53543875983582,38.02838028169014,Roadside,"51.527975000000, -0.128774200000"
IM1,post2019,-34.53543875983582,38.02838028169014,Roadside,"51.517367514618, -0.120194711317"
BL0,post2021,-47.997754311968,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2021,-47.997754311968,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2021,-47.997754311968,,Roadside,"51.527975000000, -0.128774200000"
IM1,post2021,-47.997754311968,,Roadside,"51.517367514618, -0.120194711317"
BL0,post2023,,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2023,,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2023,,,Roadside,"51.527975000000, -0.128774200000"
IM1,post2023,,,Roadside,"51.517367514618, -0.120194711317"
CTA,post2019,-36.849539534358655,38.255783475783474,Roadside,"51.510596915839, -0.092102903192"
CT3,post2019,-36.849539534358655,38.255783475783474,Urban Background,"51.513847178423, -0.077765681752"
CT6,post2019,-36.849539534358655,38.255783475783474,Roadside,"51.510499000000, -0.091634000000"
CTA,post2021,-42.840561440365036,,Roadside,"51.510596915839, -0.092102903192"
CT3,post2021,-42.840561440365036,,Urban Background,"51.513847178423, -0.077765681752"
CT6,post2021,-42.840561440365036,,Roadside,"51.510499000000, -0.091634000000"
CTA,post2023,,,Roadside,"51.510596915839, -0.092102903192"
CT3,post2023,,,Urban Background,"51.513847178423, -0.077765681752"
CT6,post2023,,,Roadside,"51.510499000000, -0.091634000000"
IS6,post2019,-31.418200674488673,25.918323153803442,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2019,-31.418200674488673,25.918323153803442,Roadside,"51.555378000000, -0.116146000000"
IS6,post2021,-39.39984264159766,,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2021,-39.39984264159766,,Roadside,"51.555378000000, -0.116146000000"
IS6,post2023,,,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2023,,,Roadside,"51.555378000000, -0.116146000000"
KC1,post2019,-30.149477186877057,21.14101731601732,Urban Background,"51.521046747604, -0.213492139585"
KC1,post2021,-47.475665271169355,,Urban Background,"51.521046747604, -0.213492139585"
KC1,post2023,,,Urban Background,"51.521046747604, -0.213492139585"
LB5,post2019,-22.474508055843902,44.0698199923401,Industrial,"51.485486773973, -0.124545234819"
LB4,post2019,-22.474508055843902,44.0698199923401,Roadside,"51.464113541162, -0.114581026951"
LB6,post2019,-22.474508055843902,44.0698199923401,Urban Background,"51.428213142950, -0.131868638796"
