Site,ULEZ_period,Percentage_Change,Mean_Value,Classification,Latitude & Longitude
BL0,post2019,-56.81555589004904,22.419887360084473,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2019,-56.81555589004904,22.419887360084473,Roadside,"51.544219000000, -0.175284000000"
CD9,post2019,-56.81555589004904,22.419887360084473,Roadside,"51.527975000000, -0.128774200000"
IM1,post2019,-56.81555589004904,22.419887360084473,Roadside,"51.517367514618, -0.120194711317"
BL0,post2021,-75.80023061124157,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2021,-75.80023061124157,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2021,-75.80023061124157,,Roadside,"51.527975000000, -0.128774200000"
IM1,post2021,-75.80023061124157,,Roadside,"51.517367514618, -0.120194711317"
BL0,post2023,,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2023,,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2023,,,Roadside,"51.527975000000, -0.128774200000"
IM1,post2023,,,Roadside,"51.517367514618, -0.120194711317"
CTA,post2019,-63.7845829630456,21.474762796963947,Roadside,"51.510596915839, -0.092102903192"
CT3,post2019,-63.7845829630456,21.474762796963947,Urban Background,"51.513847178423, -0.077765681752"
CT4,post2019,-63.7845829630456,21.474762796963947,Roadside,"51.520225273171, -0.096106047418"
CT6,post2019,-63.7845829630456,21.474762796963947,Roadside,"51.510499000000, -0.091634000000"
CTA,post2021,-68.44522240846456,,Roadside,"51.510596915839, -0.092102903192"
CT3,post2021,-68.44522240846456,,Urban Background,"51.513847178423, -0.077765681752"
CT4,post2021,-68.44522240846456,,Roadside,"51.520225273171, -0.096106047418"
CT6,post2021,-68.44522240846456,,Roadside,"51.510499000000, -0.091634000000"
CTA,post2023,,,Roadside,"51.510596915839, -0.092102903192"
CT3,post2023,,,Urban Background,"51.513847178423, -0.077765681752"
CT4,post2023,,,Roadside,"51.520225273171, -0.096106047418"
CT6,post2023,,,Roadside,"51.510499000000, -0.091634000000"
IS6,post2019,-57.47961476138375,11.182121032759579,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2019,-57.47961476138375,11.182121032759579,Roadside,"51.555378000000, -0.116146000000"
IS6,post2021,-63.17213347200524,,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2021,-63.17213347200524,,Roadside,"51.555378000000, -0.116146000000"
IS6,post2023,-74.5547160756446,,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2023,-74.5547160756446,,Roadside,"51.555378000000, -0.116146000000"
KC1,post2019,-43.01949580276538,4.856060606060606,Urban Background,"51.521046747604, -0.213492139585"
KC1,post2021,-54.57717280908477,,Urban Background,"51.521046747604, -0.213492139585"
