Site,ULEZ_period,Percentage_Change,Mean_Value,Classification,Latitude & Longitude
BL0,post2019,-11.427358650270392,16.81176003178387,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2019,-11.427358650270392,16.81176003178387,Roadside,"51.544219000000, -0.175284000000"
CD9,post2019,-11.427358650270392,16.81176003178387,Roadside,"51.527975000000, -0.128774200000"
KX4,post2019,-11.427358650270392,16.81176003178387,Industrial,"51.533238000000, -0.129594000000"
BL0,post2021,-18.989171147958743,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2021,-18.989171147958743,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2021,-18.989171147958743,,Roadside,"51.527975000000, -0.128774200000"
KX4,post2021,-18.989171147958743,,Industrial,"51.533238000000, -0.129594000000"
BL0,post2023,,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2023,,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2023,,,Roadside,"51.527975000000, -0.128774200000"
KX4,post2023,,,Industrial,"51.533238000000, -0.129594000000"
CTA,post2019,-20.936983664340627,19.353954581049333,Roadside,"51.510596915839, -0.092102903192"
CT3,post2019,-20.936983664340627,19.353954581049333,Urban Background,"51.513847178423, -0.077765681752"
CT4,post2019,-20.936983664340627,19.353954581049333,Roadside,"51.520225273171, -0.096106047418"
CT8,post2019,-20.936983664340627,19.353954581049333,Roadside,"51.509543685391, -0.087357197956"
CTA,post2021,-24.12785193143886,,Roadside,"51.510596915839, -0.092102903192"
CT3,post2021,-24.12785193143886,,Urban Background,"51.513847178423, -0.077765681752"
CT4,post2021,-24.12785193143886,,Roadside,"51.520225273171, -0.096106047418"
CT8,post2021,-24.12785193143886,,Roadside,"51.509543685391, -0.087357197956"
CTA,post2023,,,Roadside,"51.510596915839, -0.092102903192"
CT3,post2023,,,Urban Background,"51.513847178423, -0.077765681752"
CT4,post2023,,,Roadside,"51.520225273171, -0.096106047418"
CT8,post2023,,,Roadside,"51.509543685391, -0.087357197956"
IS6,post2019,-9.892638526539438,18.48709315375982,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2019,-9.892638526539438,18.48709315375982,Roadside,"51.555378000000, -0.116146000000"
IS6,post2021,-18.519486384311467,,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2021,-18.519486384311467,,Roadside,"51.555378000000, -0.116146000000"
IS6,post2023,-23.90055665299637,,Urban Background,"51.557895000000, -0.106989000000"
IS2,post2023,-23.90055665299637,,Roadside,"51.555378000000, -0.116146000000"
