Site,ULEZ_period,Percentage_Change,Mean_Value,Classification,Latitude & Longitude
BL0,post2019,-18.893816872862406,10.122137708572478,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2019,-18.893816872862406,10.122137708572478,Roadside,"51.544219000000, -0.175284000000"
CD9,post2019,-18.893816872862406,10.122137708572478,Roadside,"51.527975000000, -0.128774200000"
BL0,post2021,-27.73070960779373,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2021,-27.73070960779373,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2021,-27.73070960779373,,Roadside,"51.527975000000, -0.128774200000"
BL0,post2023,-40.41649150762485,,Urban Background,"51.522287000000, -0.125848000000"
CD1,post2023,-40.41649150762485,,Roadside,"51.544219000000, -0.175284000000"
CD9,post2023,-40.41649150762485,,Roadside,"51.527975000000, -0.128774200000"
CT3,post2019,-18.54336413363461,11.37361502715121,Urban Background,"51.513847178423, -0.077765681752"
CT3,post2021,-28.04757300467737,,Urban Background,"51.513847178423, -0.077765681752"
CT3,post2023,-46.34444694458756,,Urban Background,"51.513847178423, -0.077765681752"
Air on the Green,post2019,,8.566855804163025,Urban Background,"51.55079173926503, -0.08641694111609616"
Offord Road Green Alliance,post2019,,8.566855804163025,Roadside,"51.54410066056091, -0.11019267458832213"
Canonbury Primary,post2019,,8.566855804163025,Urban Background,"51.54501177872212, -0.10132510387976208"
St John's Upper Holloway CE Primary School,post2019,,8.566855804163025,Urban Background,"51.56266044305797, -0.13295999043815807"
Finsbury Park,post2019,,8.566855804163025,Roadside,"51.564906187424576, -0.10479700071873944"
Whitehall Park School,post2019,,8.566855804163025,Roadside,"51.572696008997404, -0.13395208668570396"
Air on the Green,post2021,,,Urban Background,"51.55079173926503, -0.08641694111609616"
Offord Road Green Alliance,post2021,,,Roadside,"51.54410066056091, -0.11019267458832213"
Canonbury Primary,post2021,,,Urban Background,"51.54501177872212, -0.10132510387976208"
St John's Upper Holloway CE Primary School,post2021,,,Urban Background,"51.56266044305797, -0.13295999043815807"
Finsbury Park,post2021,,,Roadside,"51.564906187424576, -0.10479700071873944"
Whitehall Park School,post2021,,,Roadside,"51.572696008997404, -0.13395208668570396"
Air on the Green,post2023,,,Urban Background,"51.55079173926503, -0.08641694111609616"
Offord Road Green Alliance,post2023,,,Roadside,"51.54410066056091, -0.11019267458832213"
