Date,NO2_weighted_value(ug m-3)
2018-01-01,30.4
2018-01-02,32.5
2018-01-03,30.4
2018-01-04,34.4
2018-01-05,45.3
2018-01-06,46.0
2018-01-07,16.5
2018-01-08,31.8
2018-01-09,37.1
2018-01-10,56.5
2018-01-11,41.8
2018-01-12,35.0
2018-01-13,26.5
2018-01-14,34.2
2018-01-15,33.2
2018-01-16,37.8
2018-01-17,38.2
2018-01-18,41.9
2018-01-19,44.5
2018-01-20,42.7
2018-01-21,46.7
2018-01-22,55.2
2018-01-23,26.5
2018-01-24,25.9
2018-01-25,35.1
2018-01-26,48.7
2018-01-27,35.7
2018-01-28,18.7
2018-01-29,31.6
2018-01-30,54.9
2018-01-31,35.6
2018-02-01,43.5
2018-02-02,44.6
2018-02-03,49.9
2018-02-04,16.9
2018-02-05,24.5
2018-02-06,37.2
2018-02-07,44.7
2018-02-08,43.0
2018-02-09,38.8
2018-02-10,32.2
2018-02-11,25.3
2018-02-12,38.6
2018-02-13,24.6
2018-02-14,29.2
2018-02-15,37.8
2018-02-16,45.0
2018-02-17,48.6
2018-02-18,30.3
2018-02-19,40.8
2018-02-20,23.2
2018-02-21,33.2
2018-02-22,41.1
2018-02-23,44.8
2018-02-24,36.2
2018-02-25,21.7
2018-02-26,21.6
2018-02-27,37.7
2018-02-28,37.1
2018-03-01,31.1
2018-03-02,40.2
2018-03-03,48.2
2018-03-04,41.1
2018-03-05,35.3
2018-03-06,41.1
2018-03-07,56.7
2018-03-08,32.0
2018-03-09,42.8
2018-03-10,26.0
2018-03-11,52.2
2018-03-12,46.5
2018-03-13,42.4
2018-03-14,26.7
2018-03-15,38.0
2018-03-16,31.6
2018-03-17,18.2
2018-03-18,20.2
2018-03-19,20.5
2018-03-20,25.2
2018-03-21,56.4
2018-03-22,40.6
2018-03-23,24.4
2018-03-24,36.1
2018-03-25,36.1
2018-03-26,42.0
2018-03-27,28.45
2018-03-28,34.275
2018-03-29,31.6
2018-03-30,25.4
2018-03-31,20.3
2018-04-01,21.1
2018-04-02,18.6
2018-04-03,18.0
2018-04-04,17.0
2018-04-05,22.8
2018-04-06,24.2
2018-04-07,36.4
2018-04-08,29.4
2018-04-09,39.7
2018-04-10,41.5
2018-04-11,29.5
2018-04-12,26.8
2018-04-13,37.2
2018-04-14,43.9
2018-04-15,30.7
2018-04-16,21.5
2018-04-17,17.9
2018-04-18,37.2
2018-04-19,27.7
2018-04-20,26.7
2018-04-21,25.919999999999998
2018-04-22,28.139999999999997
2018-04-23,27.5
2018-04-24,19.4
2018-04-25,24.6
2018-04-26,24.3
2018-04-27,38.2
2018-04-28,26.8
2018-04-29,12.2
2018-04-30,26.0
2018-05-01,30.6
2018-05-02,33.4
2018-05-03,41.5
2018-05-04,42.3
2018-05-05,24.025
2018-05-06,26.4
2018-05-07,23.4
2018-05-08,19.04
2018-05-09,31.9
2018-05-10,32.3
2018-05-11,28.3
2018-05-12,35.2
2018-05-13,33.6
2018-05-14,19.0
2018-05-15,20.6
2018-05-16,14.7
2018-05-17,18.1
2018-05-18,31.6
2018-05-19,37.9
2018-05-20,35.5
2018-05-21,45.8
2018-05-22,21.1
2018-05-23,19.5
2018-05-24,38.0
2018-05-25,47.8
2018-05-26,27.2
2018-05-27,27.4
2018-05-28,26.7
2018-05-29,23.4
2018-05-30,39.2
2018-05-31,46.5
2018-06-01,40.5
2018-06-02,31.5
2018-06-03,32.3
2018-06-04,21.6
2018-06-05,15.9
2018-06-06,26.1
2018-06-07,27.8
2018-06-08,25.4
2018-06-09,21.7
2018-06-10,17.9
2018-06-11,26.1
2018-06-12,21.6
2018-06-13,30.1
2018-06-14,27.6
2018-06-15,34.3
2018-06-16,19.0
2018-06-17,11.5
2018-06-18,20.5
2018-06-19,18.4
2018-06-20,18.5
2018-06-21,23.0
2018-06-22,23.0
2018-06-23,27.0
2018-06-24,26.3
2018-06-25,38.0
2018-06-26,35.7
2018-06-27,26.3
2018-06-28,19.7
2018-06-29,21.1
2018-06-30,17.1
2018-07-01,22.7
2018-07-02,22.6
2018-07-03,22.2
2018-07-04,32.0
2018-07-05,45.4
2018-07-06,38.2
2018-07-07,36.0
2018-07-08,24.2
2018-07-09,34.9
2018-07-10,10.8
2018-07-11,14.8
2018-07-12,29.4
2018-07-13,28.8
2018-07-14,22.2
2018-07-15,23.7
2018-07-16,30.5
2018-07-17,19.8
2018-07-18,24.9
2018-07-19,33.8
2018-07-20,37.5
2018-07-21,31.9
2018-07-22,25.8
2018-07-23,23.5
2018-07-24,19.6
2018-07-25,29.0
2018-07-26,34.6
2018-07-27,31.2
2018-07-28,5.9
2018-07-29,7.0
2018-07-30,13.4
2018-07-31,19.2
2018-08-01,24.1
2018-08-02,29.7
2018-08-03,32.3
2018-08-04,16.9
2018-08-05,19.7
2018-08-06,36.8
2018-08-07,33.5
2018-08-08,20.2
2018-08-09,38.1
2018-08-10,28.3
2018-08-11,27.0
2018-08-12,16.8
2018-08-13,27.5
2018-08-14,30.2
2018-08-15,19.2
2018-08-16,25.6
2018-08-17,27.0
2018-08-18,17.8
2018-08-19,14.8
2018-08-20,24.5
2018-08-21,26.7
2018-08-22,26.2
2018-08-23,23.1
2018-08-24,23.8
2018-08-25,26.4
2018-08-26,24.8
2018-08-27,17.2
2018-08-28,28.0
2018-08-29,36.6
2018-08-30,10.975000000000001
2018-08-31,13.8
2018-09-01,31.2
2018-09-02,30.7
2018-09-03,47.7
2018-09-04,23.7
2018-09-05,20.2
2018-09-06,32.7
2018-09-07,35.5
2018-09-08,27.2
2018-09-09,19.8
2018-09-10,20.7
2018-09-11,19.9
2018-09-12,30.5
2018-09-13,48.2
2018-09-14,36.5
2018-09-15,27.4
2018-09-16,20.8
2018-09-17,27.1
2018-09-18,19.2
2018-09-19,18.4
2018-09-20,18.7
2018-09-21,23.4
2018-09-22,27.5
2018-09-23,19.3
2018-09-24,40.5
2018-09-25,51.0
2018-09-26,53.6
2018-09-27,56.8
2018-09-28,19.4
2018-09-29,46.4
2018-09-30,38.6
2018-10-01,34.7
2018-10-02,30.4
2018-10-03,42.7
2018-10-04,30.2
2018-10-05,47.8
2018-10-06,24.8
2018-10-07,31.0
2018-10-08,33.1
2018-10-09,38.2
2018-10-10,60.5
2018-10-11,21.7
2018-10-12,16.1
2018-10-13,16.3
2018-10-14,16.0
2018-10-15,27.9
2018-10-16,27.6
2018-10-17,43.3
2018-10-18,26.8
2018-10-19,49.8
2018-10-20,58.7
2018-10-21,40.6
2018-10-22,31.2
2018-10-23,40.6
2018-10-24,40.2
2018-10-25,42.4
2018-10-26,40.1
2018-10-27,21.4
2018-10-28,16.2
2018-10-29,26.0
2018-10-30,36.2
2018-10-31,43.8
2018-11-01,46.1
2018-11-02,60.0
2018-11-03,38.4
2018-11-04,30.2
