Date,NO2_weighted_value(ug m-3)
2018-01-01,18.25
2018-01-02,18.116666666666667
2018-01-03,19.083333333333332
2018-01-04,25.5
2018-01-05,36.9
2018-01-06,37.2
2018-01-07,13.1
2018-01-08,20.7
2018-01-09,35.8
2018-01-10,29.933333333333334
2018-01-11,23.099999999999998
2018-01-12,33.5
2018-01-13,23.6
2018-01-14,27.7
2018-01-15,27.2
2018-01-16,22.7
2018-01-17,21.7
2018-01-18,20.8
2018-01-19,39.0
2018-01-20,31.8
2018-01-21,37.8
2018-01-22,32.2
2018-01-23,25.2
2018-01-24,20.7
2018-01-25,31.5
2018-01-26,36.3
2018-01-27,34.7
2018-01-28,13.1
2018-01-29,20.9
2018-01-30,52.5
2018-01-31,22.7
2018-02-01,19.7
2018-02-02,28.8
2018-02-03,48.8
2018-02-04,15.7
2018-02-05,21.7
2018-02-06,31.5
2018-02-07,38.0
2018-02-08,49.6
2018-02-09,23.5
2018-02-10,38.2
2018-02-11,11.9
2018-02-12,36.8
2018-02-13,27.3
2018-02-14,31.2
2018-02-15,34.5
2018-02-16,48.1
2018-02-17,53.8
2018-02-18,39.2
2018-02-19,35.3
2018-02-20,22.5
2018-02-21,32.2
2018-02-22,28.4
2018-02-23,31.8
2018-02-24,28.4
2018-02-25,18.7
2018-02-26,18.8
2018-02-27,35.4
2018-02-28,28.3
2018-03-01,22.2
2018-03-02,32.9
2018-03-03,40.1
2018-03-04,37.4
2018-03-05,31.5
2018-03-06,38.0
2018-03-07,48.1
2018-03-08,26.4
2018-03-09,51.4
2018-03-10,32.4
2018-03-11,45.0
2018-03-12,35.5
2018-03-13,33.0
2018-03-14,26.7
2018-03-15,38.5
2018-03-16,32.0
2018-03-17,14.3
2018-03-18,15.0
2018-03-19,17.0
2018-03-20,23.1
2018-03-21,39.0
2018-03-22,27.4
2018-03-23,21.5
2018-03-24,31.2
2018-03-25,30.9
2018-03-26,29.4
2018-03-27,28.2
2018-03-28,40.7
2018-03-29,36.1
2018-03-30,30.9
2018-03-31,45.2
2018-04-01,33.6
2018-04-02,24.7
2018-04-03,25.5
2018-04-04,21.8
2018-04-05,19.8
2018-04-06,34.6
2018-04-07,44.3
2018-04-08,31.8
2018-04-09,31.9
2018-04-10,32.6
2018-04-11,28.5
2018-04-12,21.7
2018-04-13,33.8
2018-04-14,36.7
2018-04-15,27.7
2018-04-16,23.0
2018-04-17,26.7
2018-04-18,35.7
2018-04-19,54.1
2018-04-20,36.5
2018-04-21,45.5
2018-04-22,23.1
2018-04-23,20.3
2018-04-24,20.2
2018-04-25,17.4
2018-04-26,21.6
2018-04-27,37.1
2018-04-28,20.1
2018-04-29,13.6
2018-04-30,20.7
2018-05-01,28.4
2018-05-02,30.0
2018-05-03,35.6
2018-05-04,36.8
2018-05-05,37.7
2018-05-06,32.7
2018-05-07,42.0
2018-05-08,48.0
2018-05-09,23.4
2018-05-10,20.7
2018-05-11,27.2
2018-05-12,30.8
2018-05-13,25.3
2018-05-14,16.8
2018-05-15,18.7
2018-05-16,14.0
2018-05-17,12.4
2018-05-18,22.0
2018-05-19,29.2
2018-05-20,27.3
2018-05-21,32.7
2018-05-22,12.2
2018-05-23,11.1
2018-05-24,22.7
2018-05-25,34.2
2018-05-26,15.7
2018-05-27,24.0
2018-05-28,19.2
2018-05-29,14.5
2018-05-30,28.2
2018-05-31,25.8
2018-06-01,27.9
2018-06-02,19.9
2018-06-03,21.0
2018-06-04,12.8
2018-06-05,10.3
2018-06-06,14.0
2018-06-07,15.9
2018-06-08,14.4
2018-06-09,12.0
2018-06-10,9.3
2018-06-11,11.7
2018-06-12,15.9
2018-06-13,26.3
2018-06-14,19.0
2018-06-15,19.3
2018-06-16,15.2
2018-06-17,11.2
2018-06-18,13.1
2018-06-19,12.9
2018-06-20,13.5
2018-06-21,10.9
2018-06-22,14.3
2018-06-23,17.8
2018-06-24,17.2
2018-06-25,22.2
2018-06-26,27.6
2018-06-27,12.1
2018-06-28,11.9
2018-06-29,13.5
2018-06-30,7.3
2018-07-01,15.9
2018-07-02,12.7
2018-07-03,7.4
2018-07-04,18.7
2018-07-05,33.7
2018-07-06,25.7
2018-07-07,22.1
2018-07-08,19.4
2018-07-09,22.5
2018-07-10,8.1
2018-07-11,9.6
2018-07-12,17.2
2018-07-13,17.5
2018-07-14,21.5
2018-07-15,28.8
2018-07-16,23.1
2018-07-17,16.7
2018-07-18,25.0
2018-07-19,41.3
2018-07-20,30.8
2018-07-21,20.5
2018-07-22,22.1
2018-07-23,21.0
2018-07-24,18.9
2018-07-25,20.4
2018-07-26,24.6
2018-07-27,24.5
2018-07-28,6.3
2018-07-29,5.2
2018-07-30,8.6
2018-07-31,10.7
2018-08-01,15.7
2018-08-02,23.3
2018-08-03,25.2
2018-08-04,10.3
2018-08-05,16.6
2018-08-06,31.0
2018-08-07,32.4
2018-08-08,11.9
2018-08-09,26.5
2018-08-10,22.8
2018-08-11,24.2
2018-08-12,14.5
2018-08-13,16.4
2018-08-14,16.9
2018-08-15,17.7
2018-08-16,23.4
2018-08-17,21.5
2018-08-18,18.0
2018-08-19,12.3
2018-08-20,20.2
2018-08-21,22.5
2018-08-22,26.7
2018-08-23,17.3
2018-08-24,16.4
2018-08-25,20.8
2018-08-26,24.2
2018-08-27,14.5
2018-08-28,22.7
2018-08-29,30.1
2018-08-30,20.6
2018-08-31,31.6
2018-09-01,29.0
2018-09-02,32.6
2018-09-03,38.7
2018-09-04,20.6
2018-09-05,17.1
2018-09-06,20.3
2018-09-07,23.5
2018-09-08,26.6
2018-09-09,14.7
2018-09-10,17.1
2018-09-11,16.3
2018-09-12,20.1
2018-09-13,34.8
2018-09-14,34.0
