Date,NO2_weighted_value(ug m-3)
2018-01-01,17.9
2018-01-02,34.3
2018-01-03,14.8
2018-01-04,28.2
2018-01-05,42.1
2018-01-06,39.5
2018-01-07,17.3
2018-01-08,30.1
2018-01-09,37.6
2018-01-10,57.1
2018-01-11,44.6
2018-01-12,38.6
2018-01-13,30.6
2018-01-14,32.8
2018-01-15,30.080000000000002
2018-01-16,25.7
2018-01-17,22.4
2018-01-18,22.5
2018-01-19,42.0
2018-01-20,44.1
2018-01-21,46.3
2018-01-22,43.0
2018-01-23,20.9
2018-01-24,18.8
2018-01-25,30.3
2018-01-26,56.1
2018-01-27,33.3
2018-01-28,15.0
2018-01-29,28.4
2018-01-30,58.1
2018-01-31,25.1
2018-02-01,28.8
2018-02-02,38.7
2018-02-03,53.7
2018-02-04,19.6
2018-02-05,31.1
2018-02-06,41.9
2018-02-07,51.7
2018-02-08,51.5
2018-02-09,31.5
2018-02-10,37.0
2018-02-11,14.1
2018-02-12,40.1
2018-02-13,32.2
2018-02-14,36.9
2018-02-15,34.2
2018-02-16,49.0
2018-02-17,55.8
2018-02-18,37.8
2018-02-19,36.9
2018-02-20,24.6
2018-02-21,35.2
2018-02-22,37.4
2018-02-23,42.2
2018-02-24,37.2
2018-02-25,23.2
2018-02-26,23.4
2018-02-27,40.7
2018-02-28,35.8
2018-03-01,30.1
2018-03-02,41.5
2018-03-03,52.6
2018-03-04,41.9
2018-03-05,35.2
2018-03-06,39.8
2018-03-07,23.7
2018-03-08,28.660000000000004
2018-03-09,50.6
2018-03-10,28.1
2018-03-11,58.4
2018-03-12,42.7
2018-03-13,35.7
2018-03-14,29.6
2018-03-15,45.7
2018-03-16,32.6
2018-03-17,18.3
2018-03-18,20.5
2018-03-19,19.9
2018-03-20,26.2
2018-03-21,44.5
2018-03-22,24.4
2018-03-23,19.2
2018-03-24,38.5
2018-03-25,32.5
2018-03-26,37.4
2018-03-27,28.6
2018-03-28,38.9
2018-03-29,36.2
2018-03-30,33.5
2018-03-31,19.0
2018-04-01,18.8
2018-04-02,23.0
2018-04-03,19.4
2018-04-04,17.8
2018-04-05,18.2
2018-04-06,32.4
2018-04-07,38.6
2018-04-08,26.2
2018-04-09,44.8
2018-04-10,40.8
2018-04-11,31.9
2018-04-12,26.0
2018-04-13,31.8
2018-04-14,42.1
2018-04-15,28.7
2018-04-16,20.6
2018-04-17,17.6
2018-04-18,37.3
2018-04-19,52.3
2018-04-20,35.5
2018-04-21,47.8
2018-04-22,19.6
2018-04-23,16.4
2018-04-24,15.9
2018-04-25,15.4
2018-04-26,15.7
2018-04-27,39.6
2018-04-28,23.0
2018-04-29,10.9
2018-04-30,23.1
2018-05-01,27.4
2018-05-02,26.8
2018-05-03,34.5
2018-05-04,30.2
2018-05-05,49.6
2018-05-06,39.8
2018-05-07,53.4
2018-05-08,48.5
2018-05-09,23.9
2018-05-10,17.1
2018-05-11,24.4
2018-05-12,26.8
2018-05-13,31.1
2018-05-14,20.6
2018-05-15,19.2
2018-05-16,12.3
2018-05-17,13.3
2018-05-18,26.3
2018-05-19,37.1
2018-05-20,31.6
2018-05-21,37.8
2018-05-22,14.9
2018-05-23,13.7
2018-05-24,26.6
2018-05-25,34.2
2018-05-26,20.4
2018-05-27,20.3
2018-05-28,21.9
2018-05-29,17.4
2018-05-30,37.8
2018-05-31,40.6
2018-06-01,26.0
2018-06-02,18.6
2018-06-03,26.1
2018-06-04,17.1
2018-06-05,15.0
2018-06-06,18.8
2018-06-07,20.3
2018-06-08,17.2
2018-06-09,18.5
2018-06-10,15.1
2018-06-11,18.5
2018-06-12,18.2
2018-06-13,21.9
2018-06-14,16.9
2018-06-15,26.4
2018-06-16,13.3
2018-06-17,9.7
2018-06-18,10.7
2018-06-19,10.8
2018-06-20,12.4
2018-06-21,11.2
2018-06-22,19.4
2018-06-23,17.0
2018-06-24,21.4
2018-06-25,25.8
2018-06-26,40.7
2018-06-27,22.6
2018-06-28,17.8
2018-06-29,17.3
2018-06-30,13.8
2018-07-01,19.5
2018-07-02,19.7
2018-07-03,18.5
2018-07-04,26.6
2018-07-05,28.0
2018-07-06,27.4
2018-07-07,26.7
2018-07-08,19.2
2018-07-09,29.0
2018-07-10,10.6
2018-07-11,11.9
2018-07-12,22.8
2018-07-13,29.9
2018-07-14,22.4
2018-07-15,19.6
2018-07-16,28.0
2018-07-17,14.2
2018-07-18,19.6
2018-07-19,34.0
2018-07-20,30.0
2018-07-21,21.0
2018-07-22,20.1
2018-07-23,19.4
2018-07-24,17.4
2018-07-25,25.6
2018-07-26,32.9
2018-07-27,25.9
2018-07-28,8.2
2018-07-29,7.8
2018-07-30,10.2
2018-07-31,12.1
2018-08-01,16.2
2018-08-02,19.8
2018-08-03,27.2
2018-08-04,15.4
2018-08-05,23.3
2018-08-06,25.8
2018-08-07,26.9
2018-08-08,11.9
2018-08-09,32.3
2018-08-10,22.8
2018-08-11,22.6
2018-08-12,11.4
2018-08-13,17.4
2018-08-14,18.4
2018-08-15,13.4
2018-08-16,19.0
2018-08-17,18.7
2018-08-18,13.4
2018-08-19,7.9
2018-08-20,17.2
2018-08-21,19.7
2018-08-22,21.6
2018-08-23,14.1
2018-08-24,15.0
2018-08-25,21.7
2018-08-26,24.5
2018-08-27,15.2
2018-08-28,24.4
2018-08-29,29.9
2018-08-30,23.5
2018-08-31,30.4
2018-09-01,29.8
2018-09-02,34.7
2018-09-03,45.7
2018-09-04,20.1
2018-09-05,18.1
2018-09-06,22.4
2018-09-07,23.4
2018-09-08,22.3
2018-09-09,13.1
2018-09-10,15.9
2018-09-11,14.3
2018-09-12,27.6
2018-09-13,39.3
2018-09-14,29.7
2018-09-15,22.1
2018-09-16,14.3
2018-09-17,20.4
2018-09-18,11.6
2018-09-19,14.0
2018-09-20,10.8
2018-09-21,14.5
2018-09-22,27.8
2018-09-23,20.1
2018-09-24,43.3
2018-09-25,52.7
2018-09-26,53.2
2018-09-27,48.5
2018-09-28,19.5
2018-09-29,49.6
2018-09-30,29.5
2018-10-01,24.1
2018-10-02,20.7
2018-10-03,32.6
2018-10-04,24.2
2018-10-05,42.6
2018-10-06,22.5
2018-10-07,26.7
2018-10-08,32.9
2018-10-09,42.7
2018-10-10,68.9
2018-10-11,21.1
2018-10-12,13.7
2018-10-13,12.8
2018-10-14,13.7
2018-10-15,27.8
2018-10-16,26.7
2018-10-17,38.6
2018-10-18,27.4
2018-10-19,54.2
2018-10-20,53.3
2018-10-21,32.9
2018-10-22,32.7
2018-10-23,36.0
2018-10-24,35.5
2018-10-25,36.0
2018-10-26,30.5
2018-10-27,18.9
2018-10-28,15.4
2018-10-29,24.6
2018-10-30,30.0
2018-10-31,51.8
2018-11-01,48.5
2018-11-02,54.3
2018-11-03,36.0
2018-11-04,28.7
2018-11-05,50.3
2018-11-06,35.0
2018-11-07,19.6
2018-11-08,29.3
2018-11-09,26.8
2018-11-10,25.6
2018-11-11,22.2
2018-11-12,28.6
2018-11-13,31.8
2018-11-14,35.6
2018-11-15,37.1
2018-11-16,35.7
2018-11-17,42.2
2018-11-18,31.7
2018-11-19,21.5
2018-11-20,30.7
2018-11-21,47.2
2018-11-22,59.4
2018-11-23,55.1
2018-11-24,44.0
2018-11-25,29.1
2018-11-26,37.4
2018-11-27,45.7
2018-11-28,23.0
2018-11-29,16.1
2018-11-30,32.1
2018-12-01,24.4
2018-12-02,14.5
2018-12-03,29.5
2018-12-04,62.4
2018-12-05,38.2
2018-12-06,27.4
2018-12-07,19.2
2018-12-08,14.4
2018-12-09,18.1
2018-12-10,48.7
2018-12-11,63.3
2018-12-12,41.0
2018-12-13,47.7
2018-12-14,50.2
2018-12-15,30.8
2018-12-16,38.4
2018-12-17,43.2
2018-12-18,20.3
2018-12-19,31.8
2018-12-20,29.1
2018-12-21,19.3
2018-12-22,30.0
2018-12-23,24.7
2018-12-24,51.3
2018-12-25,51.3
2018-12-26,34.7
2018-12-27,67.9
2018-12-28,47.5
2018-12-29,34.3
2018-12-30,27.8
2018-12-31,19.9
2019-01-01,21.2
2019-01-02,31.7
2019-01-03,34.5
2019-01-04,42.4
2019-01-05,41.8
2019-01-06,39.7
2019-01-07,34.7
2019-01-08,31.0
2019-01-09,36.4
2019-01-10,56.3
2019-01-11,47.9
2019-01-12,25.1
2019-01-13,13.4
2019-01-14,31.9
2019-01-15,40.3
2019-01-16,28.2
2019-01-17,39.1
2019-01-18,51.0
2019-01-19,35.5
2019-01-20,49.4
2019-01-21,55.1
2019-01-22,45.3
2019-01-23,46.4
2019-01-24,68.0
2019-01-25,48.8
2019-01-26,20.1
2019-01-27,11.8
2019-01-28,37.0
2019-01-29,50.4
2019-01-30,58.9
2019-01-31,59.6
2019-02-01,30.4
2019-02-02,23.5
2019-02-03,41.5
2019-02-04,33.4
2019-02-05,32.9
2019-02-06,35.1
2019-02-07,19.7
2019-02-08,13.9
2019-02-09,13.1
2019-02-10,21.3
2019-02-11,43.3
2019-02-12,44.8
2019-02-13,33.8
2019-02-14,62.0
2019-02-15,57.8
2019-02-16,42.9
2019-02-17,27.0
2019-02-18,29.6
2019-02-19,29.9
2019-02-20,23.5
2019-02-21,30.2
2019-02-22,50.6
2019-02-23,50.3
2019-02-24,68.2
2019-02-25,85.7
2019-02-26,91.9
2019-02-27,82.6
2019-02-28,40.0
2019-03-01,35.3
2019-03-02,18.2
2019-03-03,10.9
2019-03-04,27.53333333333333
2019-03-05,19.71666666666667
2019-03-06,15.2
2019-03-07,13.9
2019-03-08,26.5
2019-03-09,15.6
2019-03-10,16.6
2019-03-11,16.7
