Date,NO2_weighted_value(ug m-3)
2018-01-01,44.0
2018-01-02,53.9
2018-01-03,39.3
2018-01-04,53.8
2018-01-05,73.8
2018-01-06,63.6
2018-01-07,27.8
2018-01-08,36.4
2018-01-09,60.1
2018-01-10,83.5
2018-01-11,55.9
2018-01-12,63.6
2018-01-13,38.4
2018-01-14,51.9
2018-01-15,57.2
2018-01-16,55.3
2018-01-17,54.9
2018-01-18,56.8
2018-01-19,69.6
2018-01-20,65.2
2018-01-21,62.5
2018-01-22,63.620000000000005
2018-01-23,56.98
2018-01-24,52.7
2018-01-25,76.7
2018-01-26,75.6
2018-01-27,59.4
2018-01-28,34.2
2018-01-29,63.2
2018-01-30,86.8
2018-01-31,59.3
2018-02-01,80.3
2018-02-02,80.7
2018-02-03,71.1
2018-02-04,37.1
2018-02-05,47.6
2018-02-06,51.1
2018-02-07,69.2
2018-02-08,87.4
2018-02-09,75.1
2018-02-10,63.9
2018-02-11,41.3
2018-02-12,73.8
2018-02-13,52.0
2018-02-14,63.0
2018-02-15,70.9
2018-02-16,88.8
2018-02-17,86.9
2018-02-18,68.6
2018-02-19,75.5
2018-02-20,46.7
2018-02-21,56.3
2018-02-22,50.5
2018-02-23,54.9
2018-02-24,45.4
2018-02-25,35.0
2018-02-26,42.2
2018-02-27,59.8
2018-02-28,49.8
2018-03-01,40.6
2018-03-02,48.1
2018-03-03,54.3
2018-03-04,63.5
2018-03-05,62.2
2018-03-06,85.2
2018-03-07,93.1
2018-03-08,64.3
2018-03-09,77.8
2018-03-10,62.4
2018-03-11,64.4
2018-03-12,74.6
2018-03-13,78.1
2018-03-14,49.3
2018-03-15,65.8
2018-03-16,69.3
2018-03-17,29.5
2018-03-18,27.0
2018-03-19,37.3
2018-03-20,46.5
2018-03-21,82.8
2018-03-22,61.5
2018-03-23,58.1
2018-03-24,55.4
2018-03-25,59.3
2018-03-26,85.5
2018-03-27,68.6
2018-03-28,84.8
2018-03-29,65.6
2018-03-30,53.2
2018-03-31,60.5
2018-04-01,53.1
2018-04-02,45.8
2018-04-03,60.2
2018-04-04,49.3
2018-04-05,63.1
2018-04-06,55.9
2018-04-07,66.2
2018-04-08,60.1
2018-04-09,59.4
2018-04-10,65.8
2018-04-11,55.9
2018-04-12,44.6
2018-04-13,71.1
2018-04-14,60.6
2018-04-15,51.7
2018-04-16,65.8
2018-04-17,64.0
2018-04-18,69.5
2018-04-19,105.0
2018-04-20,82.8
2018-04-21,70.9
2018-04-22,52.4
2018-04-23,51.2
2018-04-24,46.9
2018-04-25,48.4
2018-04-26,52.1
2018-04-27,66.1
2018-04-28,41.5
2018-04-29,25.0
2018-04-30,48.7
2018-05-01,61.1
2018-05-02,74.9
2018-05-03,71.7
2018-05-04,70.9
2018-05-05,67.7
2018-05-06,65.0
2018-05-07,78.7
2018-05-08,87.1
2018-05-09,56.3
2018-05-10,63.5
2018-05-11,46.9
2018-05-12,49.3
2018-05-13,42.3
2018-05-14,28.8
2018-05-15,37.8
2018-05-16,28.0
2018-05-17,31.6
2018-05-18,43.3
2018-05-19,44.4
2018-05-20,36.5
2018-05-21,72.4
2018-05-22,34.4
2018-05-23,36.1
2018-05-24,56.6
2018-05-25,71.8
2018-05-26,39.2
2018-05-27,51.5
2018-05-28,45.0
2018-05-29,47.2
2018-05-30,69.6
2018-05-31,65.5
2018-06-01,73.7
2018-06-02,56.6
2018-06-03,46.6
2018-06-04,48.2
2018-06-05,35.9
2018-06-06,43.4
2018-06-07,49.1
2018-06-08,42.8
2018-06-09,34.4
2018-06-10,29.5
2018-06-11,36.6
2018-06-12,42.3
2018-06-13,56.8
2018-06-14,54.7
2018-06-15,64.9
2018-06-16,37.2
2018-06-17,26.1
2018-06-18,38.9
2018-06-19,36.6
2018-06-20,35.5
2018-06-21,42.4
2018-06-22,45.0
2018-06-23,54.2
2018-06-24,36.5
2018-06-25,75.9
2018-06-26,56.8
2018-06-27,41.2
2018-06-28,41.5
2018-06-29,39.8
2018-06-30,27.2
2018-07-01,35.5
2018-07-02,38.1
2018-07-03,31.3
2018-07-04,51.2
2018-07-05,77.4
2018-07-06,76.2
2018-07-07,59.1
2018-07-08,41.8
2018-07-09,55.9
2018-07-10,30.3
2018-07-11,33.0
2018-07-12,48.7
2018-07-13,55.7
2018-07-14,52.1
2018-07-15,59.1
2018-07-16,69.5
2018-07-17,43.7
2018-07-18,56.8
2018-07-19,60.7
2018-07-20,67.6
2018-07-21,61.2
2018-07-22,48.9
2018-07-23,55.1
2018-07-24,55.6
2018-07-25,56.9
2018-07-26,66.2
2018-07-27,65.1
2018-07-28,27.8
