Date,NO2_weighted_value(ug m-3)
2018-01-01,18.6
2018-01-02,23.6
2018-01-03,13.9
2018-01-04,27.5
2018-01-05,38.3
2018-01-06,66.3
2018-01-07,31.1
2018-01-08,48.3
2018-01-09,47.4
2018-01-10,54.3
2018-01-11,77.9
2018-01-12,51.3
2018-01-13,36.9
2018-01-14,44.0
2018-01-15,31.8
2018-01-16,19.7
2018-01-17,22.7
2018-01-18,26.6
2018-01-19,33.0
2018-01-20,62.8
2018-01-21,48.5
2018-01-22,45.8
2018-01-23,17.5
2018-01-24,16.0
2018-01-25,27.7
2018-01-26,85.1
2018-01-27,30.5
2018-01-28,10.9
2018-01-29,34.6
2018-01-30,51.2
2018-01-31,21.4
2018-02-01,46.4
2018-02-02,64.4
2018-02-03,55.8
2018-02-04,36.2
2018-02-05,53.2
2018-02-06,71.1
2018-02-07,77.0
2018-02-08,44.0
2018-02-09,40.9
2018-02-10,31.6
2018-02-11,18.3
2018-02-12,31.3
2018-02-13,31.1
2018-02-14,28.2
2018-02-15,25.9
2018-02-16,46.9
2018-02-17,58.5
2018-02-18,38.9
2018-02-19,49.9
2018-02-20,59.1
2018-02-21,63.3
2018-02-22,64.7
2018-02-23,67.3
2018-02-24,47.3
2018-02-25,38.9
2018-02-26,45.0
2018-02-27,45.199999999999996
2018-02-28,58.8
2018-03-01,42.9
2018-03-02,49.4
2018-03-03,58.4
2018-03-04,40.0
2018-03-05,36.4
2018-03-06,37.8
2018-03-07,60.8
2018-03-08,22.8
2018-03-09,64.8
2018-03-10,28.4
2018-03-11,67.1
2018-03-12,66.8
2018-03-13,47.7
2018-03-14,34.4
2018-03-15,38.9
2018-03-16,34.9
2018-03-17,38.1
2018-03-18,33.2
2018-03-19,58.1
2018-03-20,65.3
2018-03-21,53.8
2018-03-22,26.6
2018-03-23,18.8
2018-03-24,62.0
2018-03-25,66.0
2018-03-26,58.5
2018-03-27,31.9
2018-03-28,51.9
2018-03-29,34.8
2018-03-30,45.8
2018-03-31,33.5
2018-04-01,37.7
