Date,NO2_weighted_value(ug m-3)
2018-01-01,47.15
2018-01-02,50.95
2018-01-03,57.550000000000004
2018-01-04,57.65
2018-01-05,54.35
2018-01-06,48.75
2018-01-07,50.849999999999994
2018-01-08,50.25
2018-01-09,50.400000000000006
2018-01-10,57.2
2018-01-11,46.75
2018-01-12,41.35
2018-01-13,35.5
2018-01-14,38.650000000000006
2018-01-15,57.650000000000006
2018-01-16,44.599999999999994
2018-01-17,57.6
2018-01-18,62.25
2018-01-19,57.95
2018-01-20,70.15
2018-01-21,74.19999999999999
2018-01-22,66.35
2018-01-23,59.15
2018-01-24,66.95
2018-01-25,51.0
2018-01-26,44.6
2018-01-27,45.1
2018-01-28,50.8
2018-01-29,61.1
2018-01-30,69.4
2018-01-31,52.849999999999994
2018-02-01,46.85
2018-02-02,47.099999999999994
2018-02-03,49.05
2018-02-04,46.85
2018-02-05,59.4
2018-02-06,63.400000000000006
2018-02-07,49.6
2018-02-08,43.400000000000006
2018-02-09,31.4
2018-02-10,41.6
2018-02-11,50.15
2018-02-12,58.5
2018-02-13,51.5
2018-02-14,56.7
2018-02-15,43.550000000000004
2018-02-16,46.0
2018-02-17,46.55
2018-02-18,55.349999999999994
2018-02-19,67.3
2018-02-20,63.8
2018-02-21,67.4
2018-02-22,46.0
2018-02-23,50.2
2018-02-24,40.6
2018-02-25,34.4
2018-02-26,47.8
2018-02-27,67.3
2018-02-28,51.3
2018-03-01,34.7
2018-03-02,41.2
2018-03-03,48.0
2018-03-04,55.3
2018-03-05,57.6
2018-03-06,66.9
2018-03-07,76.6
2018-03-08,61.9
2018-03-09,41.05
2018-03-10,34.2
2018-03-11,41.3
2018-03-12,40.7
2018-03-13,59.3
2018-03-14,51.0
2018-03-15,54.4
2018-03-16,61.3
2018-03-17,40.9
2018-03-18,35.6
2018-03-19,53.3
2018-03-20,77.5
2018-03-21,73.8
2018-03-22,63.6
2018-03-23,55.1
2018-03-24,51.9
2018-03-25,66.8
2018-03-26,75.8
2018-03-27,56.2
2018-03-28,74.8
2018-03-29,57.7
2018-03-30,52.1
2018-03-31,51.2
2018-04-01,49.2
2018-04-02,47.8
2018-04-03,51.5
2018-04-04,47.3
2018-04-05,52.0
2018-04-06,53.1
2018-04-07,59.1
2018-04-08,63.3
2018-04-09,57.6
2018-04-10,58.4
2018-04-11,60.7
2018-04-12,59.4
2018-04-13,59.1
2018-04-14,53.9
2018-04-15,48.1
2018-04-16,59.9
2018-04-17,40.0
2018-04-18,37.6
2018-04-19,84.7
2018-04-20,70.5
2018-04-21,60.3
2018-04-22,54.7
2018-04-23,50.8
2018-04-24,48.2
2018-04-25,47.1
2018-04-26,55.0
2018-04-27,55.9
2018-04-28,62.9
2018-04-29,57.2
2018-04-30,60.4
2018-05-01,56.3
