Date,NO_weighted_value(ug m-3)
2018/1/1,16.5
2018/1/2,5.7
2018/1/3,12.8
2018/1/4,9.7
2018/1/5,11
2018/1/6,42.8
2018/1/7,10.9
2018/1/8,35.8
2018/1/9,35.1
2018/1/10,36.7
2018/1/11,46.6
2018/1/12,16.8
2018/1/13,12.2
2018/1/14,10.5
2018/1/15,9.7
2018/1/16,12.4
2018/1/17,20.3
2018/1/18,24.1
2018/1/19,9.6
2018/1/20,12.2
2018/1/21,17.1
2018/1/22,34
2018/1/23,2.7
2018/1/24,4.2
2018/1/25,4.2
2018/1/26,28.5
2018/1/27,6.3
2018/1/28,5
2018/1/29,10.6
2018/1/30,20.2
2018/1/31,7.7
2018/2/1,26.3
2018/2/2,39.3
2018/2/3,24.7
2018/2/4,14.7
2018/2/5,19.6
2018/2/6,35.5
2018/2/7,37.3
2018/2/8,11.9
2018/2/9,28.5
2018/2/10,6.1
2018/2/11,29.3
2018/2/12,14.2
2018/2/13,7.8
2018/2/14,14.4
2018/2/15,9.4
2018/2/16,9.4
2018/2/17,24.9
2018/2/18,10.9
2018/2/19,27.5
2018/2/20,17
2018/2/21,20.2
2018/2/22,18.3
2018/2/23,19.8
2018/2/24,16.9
2018/2/25,11.3
2018/2/26,29.639999999999997
2018/2/27,19.080000000000002
2018/2/28,18.1
2018/3/1,11.5
2018/3/2,17.9
2018/3/3,22.6
2018/3/4,15.3
2018/3/5,11.4
2018/3/6,6.4
2018/3/7,27.3
2018/3/8,7.5
2018/3/9,18.9
2018/3/10,3.2
2018/3/11,28
2018/3/12,34.1
2018/3/13,17.9
2018/3/14,9.6
2018/3/15,11.5
2018/3/16,11
2018/3/17,10.1
2018/3/18,10
2018/3/19,12
2018/3/20,14.9
2018/3/21,31.5
2018/3/22,14.8
2018/3/23,3.5
2018/3/24,12.2
2018/3/25,14.7
2018/3/26,11.2
2018/3/27,15.3
2018/3/28,15.9
2018/3/29,6.9
2018/3/30,12.4
2018/3/31,14.6
2018/4/1,9.8
2018/4/2,4.2
2018/4/3,2
2018/4/4,4.7
2018/4/5,11.3
2018/4/6,6.4
2018/4/7,14.1
2018/4/8,6.7
2018/4/9,17.1
2018/4/10,14.6
2018/4/11,20.4
2018/4/12,23.2
2018/4/13,6.7
2018/4/14,10.9
2018/4/15,6.3
2018/4/16,2
2018/4/17,2.1
2018/4/18,7.4
2018/4/19,29
2018/4/20,14
2018/4/21,10.1
2018/4/22,4.5
2018/4/23,4.7
2018/4/24,3.3
