Date,NO_weighted_value(ug m-3)
2018-01-01,4.033333333333333
2018-01-02,2.4166666666666665
2018-01-03,2.1333333333333333
2018-01-04,6.5
2018-01-05,15.4
2018-01-06,31.8
2018-01-07,1.7
2018-01-08,4.3
2018-01-09,23.8
2018-01-10,12.916666666666666
2018-01-11,3.1833333333333336
2018-01-12,11.4
2018-01-13,3.6
2018-01-14,4.8
2018-01-15,3.5
2018-01-16,2.7
2018-01-17,2.5
2018-01-18,3.3
2018-01-19,7.2
2018-01-20,3.7
2018-01-21,9.7
2018-01-22,6.6
2018-01-23,2.4
2018-01-24,1.6
2018-01-25,3.7
2018-01-26,10.2
2018-01-27,7.9
2018-01-28,1.5
2018-01-29,3.5
2018-01-30,33.1
2018-01-31,3.1
2018-02-01,3.6
2018-02-02,12.9
2018-02-03,11.5
2018-02-04,2.0
2018-02-05,3.1
2018-02-06,8.3
2018-02-07,17.8
2018-02-08,20.6
2018-02-09,3.4
2018-02-10,5.4
2018-02-11,1.8
2018-02-12,8.1
2018-02-13,3.3
2018-02-14,15.1
2018-02-15,5.1
2018-02-16,12.2
2018-02-17,30.6
2018-02-18,15.4
2018-02-19,12.5
2018-02-20,4.9
2018-02-21,7.6
2018-02-22,4.4
2018-02-23,7.1
2018-02-24,4.8
2018-02-25,2.8
2018-02-26,2.5
2018-02-27,5.7
2018-02-28,6.0
2018-03-01,3.4
2018-03-02,5.0
2018-03-03,6.9
2018-03-04,8.6
2018-03-05,3.7
2018-03-06,8.7
2018-03-07,23.9
2018-03-08,2.8
2018-03-09,19.8
2018-03-10,3.5
2018-03-11,14.9
2018-03-12,7.5
2018-03-13,5.5
2018-03-14,3.8
2018-03-15,5.2
2018-03-16,6.4
2018-03-17,1.5
2018-03-18,1.5
2018-03-19,1.6
2018-03-20,2.3
2018-03-21,11.6
2018-03-22,3.7
2018-03-23,1.8
2018-03-24,3.6
2018-03-25,5.6
2018-03-26,2.5
2018-03-27,4.6
2018-03-28,7.2
2018-03-29,7.3
2018-03-30,4.1
2018-03-31,41.4
2018-04-01,13.9
2018-04-02,2.0
2018-04-03,2.9
2018-04-04,2.1
2018-04-05,2.6
2018-04-06,5.4
2018-04-07,10.6
2018-04-08,3.6
2018-04-09,3.3
2018-04-10,3.4
2018-04-11,4.6
2018-04-12,4.7
2018-04-13,5.8
2018-04-14,5.7
2018-04-15,3.0
2018-04-16,1.6
2018-04-17,2.7
2018-04-18,2.8
2018-04-19,14.6
2018-04-20,4.6
2018-04-21,6.0
2018-04-22,2.6
2018-04-23,2.0
2018-04-24,2.0
2018-04-25,2.0
2018-04-26,2.2
2018-04-27,5.0
2018-04-28,2.3
2018-04-29,2.7
2018-04-30,2.9
2018-05-01,4.6
2018-05-02,3.7
2018-05-03,7.4
2018-05-04,5.8
2018-05-05,9.0
2018-05-06,1.4
2018-05-07,2.2
2018-05-08,12.3
2018-05-09,3.1
2018-05-10,2.1
2018-05-11,2.6
2018-05-12,3.2
2018-05-13,4.7
2018-05-14,1.9
2018-05-15,2.2
2018-05-16,1.2
2018-05-17,1.4
2018-05-18,2.7
2018-05-19,6.1
2018-05-20,4.0
2018-05-21,3.4
2018-05-22,1.0
2018-05-23,1.1
2018-05-24,2.2
2018-05-25,4.0
2018-05-26,0.9
2018-05-27,1.4
2018-05-28,1.2
2018-05-29,1.5
2018-05-30,3.4
2018-05-31,2.3
2018-06-01,2.4
2018-06-02,1.5
2018-06-03,2.1
2018-06-04,0.9
2018-06-05,0.9
2018-06-06,2.0
2018-06-07,1.6
2018-06-08,1.7
2018-06-09,0.8
2018-06-10,0.6
2018-06-11,1.5
2018-06-12,2.4
