Date,NO_weighted_value(ug m-3)
2018-01-01,28.799999999999997
2018-01-02,32.4
2018-01-03,35.9
2018-01-04,47.95
2018-01-05,33.849999999999994
2018-01-06,30.349999999999998
2018-01-07,34.45
2018-01-08,32.2
2018-01-09,31.95
2018-01-10,59.95
2018-01-11,34.75
2018-01-12,22.45
2018-01-13,13.0
2018-01-14,16.35
2018-01-15,44.75
2018-01-16,20.75
2018-01-17,37.5
2018-01-18,46.0
2018-01-19,45.5
2018-01-20,90.05
2018-01-21,127.80000000000001
2018-01-22,85.15
2018-01-23,48.6
2018-01-24,101.15
2018-01-25,46.45
2018-01-26,23.75
2018-01-27,19.55
2018-01-28,35.8
2018-01-29,42.8
2018-01-30,85.2
2018-01-31,52.650000000000006
2018-02-01,26.099999999999998
2018-02-02,30.4
2018-02-03,38.25
2018-02-04,42.25
2018-02-05,58.3
2018-02-06,63.5
2018-02-07,30.599999999999998
2018-02-08,21.85
2018-02-09,15.399999999999999
2018-02-10,22.799999999999997
2018-02-11,38.05
2018-02-12,50.8
2018-02-13,30.85
2018-02-14,44.8
2018-02-15,41.15
2018-02-16,30.15
2018-02-17,24.549999999999997
2018-02-18,37.6
2018-02-19,86.0
2018-02-20,60.7
2018-02-21,58.7
2018-02-22,11.4
2018-02-23,12.8
2018-02-24,6.4
2018-02-25,5.0
2018-02-26,16.8
2018-02-27,37.6
2018-02-28,16.5
2018-03-01,4.6
2018-03-02,7.4
2018-03-03,15.7
2018-03-04,35.1
2018-03-05,23.9
2018-03-06,49.8
2018-03-07,63.4
2018-03-08,49.2
2018-03-09,21.700000000000003
2018-03-10,21.200000000000003
2018-03-11,23.15
2018-03-12,26.549999999999997
2018-03-13,44.6
2018-03-14,15.2
2018-03-15,15.1
2018-03-16,34.6
2018-03-17,12.2
2018-03-18,9.3
2018-03-19,16.1
2018-03-20,54.3
2018-03-21,59.5
2018-03-22,38.8
2018-03-23,22.9
2018-03-24,25.2
2018-03-25,53.2
2018-03-26,55.2
2018-03-27,28.1
2018-03-28,52.9
2018-03-29,19.6
2018-03-30,14.4
2018-03-31,41.5
2018-04-01,25.6
2018-04-02,17.8
2018-04-03,20.7
2018-04-04,16.0
2018-04-05,26.2
2018-04-06,18.1
2018-04-07,23.5
2018-04-08,45.5
2018-04-09,28.6
2018-04-10,20.0
2018-04-11,70.8
2018-04-12,71.7
2018-04-13,60.6
2018-04-14,27.5
2018-04-15,15.9
2018-04-16,26.8
2018-04-17,16.15
2018-04-18,9.2
2018-04-19,40.1
2018-04-20,48.7
2018-04-21,16.6
2018-04-22,18.7
2018-04-23,30.4
2018-04-24,31.5
2018-04-25,27.1
2018-04-26,35.8
2018-04-27,20.0
2018-04-28,44.5
2018-04-29,34.2
2018-04-30,40.5
2018-05-01,35.1
2018-05-02,25.8
2018-05-03,51.5
2018-05-04,39.6
2018-05-05,17.3
2018-05-06,13.1
2018-05-07,16.7
2018-05-08,48.4
2018-05-09,40.8
2018-05-10,32.9
2018-05-11,14.5
2018-05-12,40.2
2018-05-13,41.9
2018-05-14,56.1
2018-05-15,45.0
2018-05-16,50.2
2018-05-17,36.1
2018-05-18,40.4
2018-05-19,25.1
2018-05-20,14.7
2018-05-21,38.8
2018-05-22,55.4
2018-05-23,49.1
2018-05-24,69.9
2018-05-25,47.2
2018-05-26,13.8
2018-05-27,14.3
2018-05-28,31.8
2018-05-29,48.5
2018-05-30,28.4
2018-05-31,18.9
2018-06-01,38.1
2018-06-02,31.8
2018-06-03,22.1
2018-06-04,38.2
2018-06-05,26.2
2018-06-06,24.7
2018-06-07,25.4
2018-06-08,24.7
2018-06-09,13.1
2018-06-10,9.6
2018-06-11,11.7
2018-06-12,42.8
2018-06-13,33.4
2018-06-14,24.3
2018-06-15,37.9
2018-06-16,26.5
2018-06-17,28.9
2018-06-18,25.0
2018-06-19,39.6
2018-06-20,41.6
2018-06-21,36.1
2018-06-22,35.3
2018-06-23,29.9
2018-06-24,19.1
2018-06-25,35.1
2018-06-26,16.9
2018-06-27,16.1
2018-06-28,23.3
2018-06-29,26.5
2018-06-30,9.4
2018-07-01,13.4
2018-07-02,17.0
2018-07-03,9.7
2018-07-04,12.2
2018-07-05,36.6
2018-07-06,35.1
2018-07-07,23.1
2018-07-08,20.9
2018-07-09,32.1
2018-07-10,46.0
2018-07-11,45.3
2018-07-12,31.0
2018-07-13,20.4
2018-07-14,13.1
2018-07-15,26.4
2018-07-16,47.9
2018-07-17,79.5
2018-07-18,46.4
2018-07-19,25.2
2018-07-20,18.7
2018-07-21,27.0
2018-07-22,31.2
2018-07-23,41.0
2018-07-24,40.6
2018-07-25,36.3
2018-07-26,29.1
2018-07-27,43.7
2018-07-28,23.0
2018-07-29,14.3
2018-07-30,30.6
2018-07-31,37.0
2018-08-01,35.7
2018-08-02,45.3
2018-08-03,40.5
2018-08-04,30.7
2018-08-05,12.0
2018-08-06,28.0
2018-08-07,28.6
2018-08-08,29.5
2018-08-09,54.5
2018-08-10,44.8
2018-08-11,34.0
2018-08-12,22.5
2018-08-13,36.8
2018-08-14,20.0
2018-08-15,23.9
2018-08-16,39.0
2018-08-17,47.1
2018-08-18,40.0
2018-08-19,24.9
2018-08-20,42.6
2018-08-21,33.1
2018-08-22,46.8
2018-08-23,32.9
2018-08-24,29.7
2018-08-25,39.1
2018-08-26,28.0
2018-08-27,30.5
2018-08-28,32.0
2018-08-29,42.8
2018-08-30,43.2
2018-08-31,28.8
2018-09-01,21.2
2018-09-02,11.7
2018-09-03,42.5
2018-09-04,48.7
2018-09-05,46.0
2018-09-06,38.0
2018-09-07,36.1
2018-09-08,41.0
2018-09-09,25.3
2018-09-10,37.0
2018-09-11,31.4
2018-09-12,59.0
2018-09-13,82.4
2018-09-14,56.0
2018-09-15,39.9
2018-09-16,20.4
2018-09-17,17.2
2018-09-18,23.1
2018-09-19,20.8
2018-09-20,17.2
2018-09-21,25.6
2018-09-22,33.9
2018-09-23,35.1
2018-09-24,72.8
2018-09-25,86.2
2018-09-26,70.4
2018-09-27,67.4
2018-09-28,36.3
2018-09-29,58.8
2018-09-30,34.6
2018-10-01,34.7
2018-10-02,25.9
2018-10-03,60.5
2018-10-04,52.9
2018-10-05,50.4
2018-10-06,46.8
2018-10-07,47.8
2018-10-08,60.5
2018-10-09,45.6
2018-10-10,31.2
2018-10-11,9.8
2018-10-12,8.6
2018-10-13,7.5
2018-10-14,26.9
2018-10-15,46.9
2018-10-16,26.4
2018-10-17,56.8
2018-10-18,33.7
2018-10-19,90.0
2018-10-20,110.1
2018-10-21,41.0
2018-10-22,65.0
2018-10-23,38.7
2018-10-24,50.3
2018-10-25,49.2
2018-10-26,34.8
2018-10-27,40.3
2018-10-28,33.2
2018-10-29,59.6
2018-10-30,40.1
2018-10-31,42.3
2018-11-01,62.8
2018-11-02,97.0
2018-11-03,17.3
2018-11-04,15.6
2018-11-05,67.7
2018-11-06,39.9
2018-11-07,17.0
2018-11-08,13.6
2018-11-09,18.2
2018-11-10,27.3
2018-11-11,33.2
2018-11-12,26.7
2018-11-13,44.1
2018-11-14,32.2
2018-11-15,33.9
2018-11-16,32.2
2018-11-17,19.3
2018-11-18,14.2
2018-11-19,14.6
2018-11-20,29.8
2018-11-21,48.7
2018-11-22,112.6
2018-11-23,41.9
2018-11-24,22.5
2018-11-25,26.7
2018-11-26,72.7
2018-11-27,46.0
2018-11-28,19.9
2018-11-29,18.8
2018-11-30,58.1
2018-12-01,24.5
2018-12-02,38.3
2018-12-03,32.9
2018-12-04,84.7
2018-12-05,38.4
2018-12-06,47.1
2018-12-07,27.3
2018-12-08,24.7
2018-12-09,19.0
2018-12-10,43.4
2018-12-11,84.6
2018-12-12,27.7
2018-12-13,33.9
2018-12-14,53.8
2018-12-15,22.9
2018-12-16,45.6
2018-12-17,55.9
2018-12-18,14.9
2018-12-19,32.8
2018-12-20,44.6
2018-12-21,30.5
2018-12-22,50.3
2018-12-23,37.1
2018-12-24,49.0
2018-12-25,35.2
2018-12-26,44.3
2018-12-27,176.8
2018-12-28,124.4
2018-12-29,47.4
2018-12-30,38.6
2018-12-31,21.5
2019-01-01,21.7
2019-01-02,43.0
2019-01-03,44.3
2019-01-04,57.8
2019-01-05,34.3
2019-01-06,33.8
2019-01-07,40.2
2019-01-08,27.3
2019-01-09,40.0
2019-01-10,86.3
2019-01-11,54.0
2019-01-12,24.5
2019-01-13,13.6
2019-01-14,22.4
2019-01-15,55.8
2019-01-16,31.0
2019-01-17,33.1
2019-01-18,45.1
2019-01-19,22.1
2019-01-20,54.8
2019-01-21,118.3
2019-01-22,55.0
2019-01-23,64.5
2019-01-24,141.5
2019-01-25,71.2
2019-01-26,30.4
2019-01-27,11.4
2019-01-28,43.8
2019-01-29,45.6
2019-01-30,85.2
2019-01-31,80.9
2019-02-01,32.3
2019-02-02,36.0
2019-02-03,52.7
2019-02-04,63.5
2019-02-05,36.3
2019-02-06,53.0
2019-02-07,32.8
2019-02-08,16.1
2019-02-09,19.9
2019-02-10,22.2
2019-02-11,52.6
2019-02-12,63.7
2019-02-13,35.6
2019-02-14,57.9
2019-02-15,71.1
2019-02-16,40.5
2019-02-17,22.7
2019-02-18,43.1
2019-02-19,44.5
2019-02-20,37.6
2019-02-21,50.6
2019-02-22,53.6
2019-02-23,38.2
2019-02-24,61.0
2019-02-25,87.3
2019-02-26,114.1
2019-02-27,129.7
2019-02-28,42.7
2019-03-01,33.6
2019-03-02,22.4
2019-03-03,11.5
2019-03-04,26.5
2019-03-05,28.3
2019-03-06,11.4
2019-03-07,19.4
2019-03-08,43.7
2019-03-09,20.3
2019-03-10,17.1
2019-03-11,21.3
2019-03-12,27.2
2019-03-13,20.5
2019-03-14,22.9
2019-03-15,21.3
2019-03-16,19.0
2019-03-17,19.4
2019-03-18,43.2
2019-03-19,51.6
2019-03-20,51.9
2019-03-21,56.1
2019-03-22,49.9
2019-03-23,20.2
2019-03-24,21.8
2019-03-25,27.9
2019-03-26,52.4
2019-03-27,41.4
2019-03-28,36.7
2019-03-29,49.1
2019-03-30,61.8
2019-03-31,5.1
2019-04-01,11.7
2019-04-02,42.6
2019-04-03,36.4
2019-04-04,11.0
2019-04-05,11.9
2019-04-06,8.4
2019-04-07,32.7
2019-04-08,57.8
2019-04-09,24.2
2019-04-10,14.4
2019-04-11,16.9
2019-04-12,15.5
2019-04-13,10.5
2019-04-14,8.8
2019-04-15,11.4
2019-04-16,30.6
2019-04-17,29.7
2019-04-18,13.8
2019-04-19,12.8
2019-04-20,11.3
2019-04-21,8.0
2019-04-22,8.7
2019-04-23,13.4
2019-04-24,13.2
2019-04-25,11.8
2019-04-26,19.8
2019-04-27,12.0
2019-04-28,18.8
2019-04-29,20.6
2019-04-30,12.2
2019-05-01,25.6
2019-05-02,25.9
2019-05-03,36.0
2019-05-04,27.8
2019-05-05,25.6
2019-05-06,20.5
2019-05-07,22.1
2019-05-08,27.8
2019-05-09,44.7
2019-05-10,38.5
2019-05-11,28.2
2019-05-12,20.1
2019-05-13,9.2
2019-05-14,7.3
2019-05-15,8.5
2019-05-16,7.9
2019-05-17,22.1
2019-05-18,30.8
2019-05-19,26.1
2019-05-20,37.4
2019-05-21,32.3
2019-05-22,27.6
2019-05-23,35.2
2019-05-24,33.6
2019-05-25,26.4
2019-05-26,18.8
2019-05-27,17.0
2019-05-28,26.8
2019-05-29,26.7
2019-05-30,31.3
2019-05-31,40.0
2019-06-01,20.3
2019-06-02,18.5
2019-06-03,24.1
2019-06-04,16.4
2019-06-05,30.3
2019-06-06,21.6
2019-06-07,9.7
2019-06-08,21.1
2019-06-09,20.8
2019-06-10,47.3
2019-06-11,25.4
2019-06-12,40.9
2019-06-13,21.4
2019-06-14,15.8
2019-06-15,14.8
2019-06-16,16.5
2019-06-17,23.4
2019-06-18,30.5
2019-06-19,42.5
2019-06-20,31.7
2019-06-21,32.3
2019-06-22,8.2
2019-06-23,3.3
2019-06-24,21.5
2019-06-25,34.9
2019-06-26,17.6
2019-06-27,5.8
2019-06-28,5.5
2019-06-29,8.5
2019-06-30,14.7
2019-07-01,20.3
2019-07-02,38.2
2019-07-03,18.7
2019-07-04,24.9
2019-07-05,27.6
2019-07-06,31.2
2019-07-07,7.9
2019-07-08,13.1
2019-07-09,23.7
2019-07-10,28.1
2019-07-11,29.0
2019-07-12,20.9
2019-07-13,24.0
2019-07-14,23.0
2019-07-15,25.1
2019-07-16,25.1
2019-07-17,23.7
2019-07-18,24.8
2019-07-19,25.2
2019-07-20,23.3
2019-07-21,25.0
2019-07-22,32.3
2019-07-23,14.5
2019-07-24,27.0
2019-07-25,11.6
2019-07-26,33.6
2019-07-27,21.7
2019-07-28,16.3
2019-07-29,18.4
2019-07-30,8.9
2019-07-31,26.0
2019-08-01,27.5
2019-08-02,27.5
2019-08-03,7.0
2019-08-04,9.3
2019-08-05,32.4
2019-08-06,35.1
2019-08-07,49.8
2019-08-08,34.1
2019-08-09,18.1
2019-08-10,31.3
2019-08-11,26.0
2019-08-12,41.6
2019-08-13,36.8
2019-08-14,20.0
2019-08-15,23.9
2019-08-16,20.6
2019-08-17,23.9
2019-08-18,24.2
2019-08-19,30.8
2019-08-20,27.9
2019-08-21,28.9
2019-08-22,38.5
2019-08-23,25.0
2019-08-24,11.5
2019-08-25,8.0
2019-08-26,14.7
2019-08-27,16.4
2019-08-28,28.6
2019-08-29,28.0
2019-08-30,26.5
2019-08-31,29.1
2019-09-01,21.1
2019-09-02,36.7
2019-09-03,28.2
2019-09-04,18.9
2019-09-05,29.8
2019-09-06,38.0
2019-09-07,28.6
2019-09-08,22.8
2019-09-09,11.0
2019-09-10,41.5
2019-09-11,36.6
2019-09-12,32.7
2019-09-13,26.2
2019-09-14,33.7
2019-09-15,27.4
2019-09-16,40.2
2019-09-17,27.5
2019-09-18,26.1
2019-09-19,37.8
2019-09-20,10.8
2019-09-21,9.0
2019-09-22,12.4
2019-09-23,19.5
2019-09-24,22.4
2019-09-25,28.7
2019-09-26,26.2
2019-09-27,28.3
2019-09-28,20.1
2019-09-29,15.0
2019-09-30,32.8
2019-10-01,35.8
2019-10-02,40.8
2019-10-03,38.3
2019-10-04,47.2
2019-10-05,13.7
2019-10-06,14.9
2019-10-07,38.1
2019-10-08,42.4
2019-10-09,31.3
2019-10-10,32.6
2019-10-11,24.6
2019-10-12,31.5
2019-10-13,22.3
2019-10-14,20.3
2019-10-15,29.3
2019-10-16,43.1
2019-10-17,22.6
2019-10-18,25.5
2019-10-19,39.1
2019-10-20,42.5
2019-10-21,36.7
2019-10-22,64.8
2019-10-23,50.0
2019-10-24,72.4
2019-10-25,20.9
2019-10-26,15.2
2019-10-27,32.7
2019-10-28,57.5
2019-10-29,9.5
2019-10-30,10.7
2019-10-31,25.7
2019-11-01,35.2
2019-11-02,19.7
2019-11-03,48.8
2019-11-04,37.5
2019-11-05,56.6
2019-11-06,40.0
2019-11-07,42.0
2019-11-08,78.0
2019-11-09,28.2
2019-11-10,34.1
2019-11-11,29.2
2019-11-12,32.7
2019-11-13,40.0
2019-11-14,25.4
2019-11-15,47.7
2019-11-16,43.3
2019-11-17,97.0
2019-11-18,54.3
2019-11-19,83.3
2019-11-20,27.0
2019-11-21,22.6
2019-11-22,16.9
2019-11-23,15.8
2019-11-24,48.3
2019-11-25,21.6
2019-11-26,16.2
2019-11-27,32.5
2019-11-28,36.1
2019-11-29,62.0
2019-11-30,46.7
2019-12-01,33.4
2019-12-02,87.2
2019-12-03,79.9
2019-12-04,111.6
2019-12-05,87.8
2019-12-06,30.8
2019-12-07,42.4
2019-12-08,24.3
2019-12-09,35.4
2019-12-10,22.2
2019-12-11,49.5
2019-12-12,27.3
