Date,PM10_weighted_value(ug m-3)
2018-01-01,9.0
2018-01-02,17.4
2018-01-03,22.3
2018-01-04,12.2
2018-01-05,10.5
2018-01-06,23.8
2018-01-07,13.9
2018-01-08,20.0
2018-01-09,31.2
2018-01-10,17.1
2018-01-11,25.1
2018-01-12,23.8
2018-01-13,24.7
2018-01-14,26.9
2018-01-15,8.8
2018-01-16,8.3
2018-01-17,12.9
2018-01-18,18.2
2018-01-19,13.9
2018-01-20,11.9
2018-01-21,14.4
2018-01-22,19.133333333333333
2018-01-23,18.166666666666668
2018-01-24,20.3
2018-01-25,24.3
2018-01-26,16.0
2018-01-27,11.92
2018-01-28,11.424999999999999
2018-01-29,12.05
2018-01-30,17.2
2018-01-31,12.125
2018-02-01,11.2
2018-02-02,14.9
2018-02-03,14.5
2018-02-04,11.6
2018-02-05,15.1
2018-02-06,22.7
2018-02-07,17.5
2018-02-08,15.8
2018-02-09,9.5
2018-02-10,10.6
2018-02-11,5.1
2018-02-12,11.0
2018-02-13,9.6
2018-02-14,13.2
2018-02-15,14.1
2018-02-16,15.3
2018-02-17,24.2
2018-02-18,19.0
2018-02-19,14.9
2018-02-20,11.0
2018-02-21,43.0
2018-02-22,30.3
2018-02-23,27.6
2018-02-24,36.0
2018-02-25,16.1
2018-02-26,25.259999999999998
2018-02-27,24.96
2018-02-28,22.5
2018-03-01,42.5
2018-03-02,48.1
2018-03-03,72.7
2018-03-04,22.1
2018-03-05,17.7
2018-03-06,11.8
2018-03-07,17.7
2018-03-08,9.5
2018-03-09,17.9
2018-03-10,20.1
2018-03-11,25.4
2018-03-12,11.9
2018-03-13,13.5
2018-03-14,15.0
2018-03-15,12.1
2018-03-16,18.8
2018-03-17,21.1
2018-03-18,30.6
2018-03-19,25.8
2018-03-20,20.9
2018-03-21,21.3
2018-03-22,18.1
2018-03-23,16.0
2018-03-24,28.4
2018-03-25,33.5
2018-03-26,12.7
2018-03-27,9.5
2018-03-28,8.5
2018-03-29,10.3
2018-03-30,10.4
2018-03-31,7.5
2018-04-01,12.0
2018-04-02,10.0
2018-04-03,11.8
2018-04-04,12.3
2018-04-05,7.4
2018-04-06,17.2
2018-04-07,28.0
2018-04-08,19.1
2018-04-09,23.0
2018-04-10,31.2
2018-04-11,43.9
2018-04-12,35.2
2018-04-13,23.7
2018-04-14,39.1
2018-04-15,27.8
2018-04-16,17.0
2018-04-17,14.1
2018-04-18,20.2
2018-04-19,41.8
2018-04-20,31.6
2018-04-21,45.4
2018-04-22,27.9
2018-04-23,9.9
2018-04-24,9.2
2018-04-25,8.4
2018-04-26,11.6
2018-04-27,13.6
2018-04-28,9.6
2018-04-29,10.1
2018-04-30,12.0
2018-05-01,12.1
2018-05-02,8.4
2018-05-03,14.9
2018-05-04,20.2
2018-05-05,29.5
2018-05-06,34.6
2018-05-07,37.3
2018-05-08,35.9
2018-05-09,16.8
2018-05-10,11.6
2018-05-11,17.8
2018-05-12,13.0
2018-05-13,16.0
2018-05-14,14.4
2018-05-15,14.3
2018-05-16,19.9
2018-05-17,19.2
2018-05-18,18.3
2018-05-19,23.8
2018-05-20,25.6
2018-05-21,32.5
2018-05-22,25.2
2018-05-23,26.0
2018-05-24,28.5
2018-05-25,26.4
2018-05-26,41.3
2018-05-27,27.6
2018-05-28,39.8
2018-05-29,23.6
2018-05-30,22.3
2018-05-31,37.5
2018-06-01,23.4
2018-06-02,10.9
2018-06-03,13.6
2018-06-04,16.9
2018-06-05,14.7
2018-06-06,19.1
2018-06-07,18.1
2018-06-08,15.9
2018-06-09,16.1
2018-06-10,16.6
2018-06-11,12.5
2018-06-12,13.0
2018-06-13,13.1
2018-06-14,13.4
2018-06-15,12.6
2018-06-16,9.6
2018-06-17,6.9
2018-06-18,8.5
2018-06-19,5.8
2018-06-20,8.6
2018-06-21,18.0
2018-06-22,12.6
2018-06-23,12.7
2018-06-24,13.0
2018-06-25,15.3
2018-06-26,16.5
2018-06-27,16.7
2018-06-28,20.0
2018-06-29,19.9
2018-06-30,18.1
2018-07-01,20.8
2018-07-02,16.9
2018-07-03,15.2
2018-07-04,18.7
2018-07-05,24.7
2018-07-06,26.3
2018-07-07,28.6
2018-07-08,20.2
2018-07-09,17.0
2018-07-10,13.6
2018-07-11,21.7
2018-07-12,19.3
2018-07-13,16.6
2018-07-14,15.9
2018-07-15,13.6
2018-07-16,15.0
2018-07-17,11.8
2018-07-18,13.45
2018-07-19,17.3
2018-07-20,16.9
2018-07-21,23.4
2018-07-22,18.0
2018-07-23,14.7
2018-07-24,16.6
2018-07-25,22.0
2018-07-26,30.6
2018-07-27,20.2
2018-07-28,15.6
2018-07-29,7.6
2018-07-30,7.6
2018-07-31,8.7
2018-08-01,11.4
2018-08-02,13.3
2018-08-03,14.3
2018-08-04,10.0
2018-08-05,12.4
2018-08-06,11.78
2018-08-07,14.1
2018-08-08,11.5
2018-08-09,11.4
2018-08-10,8.2
2018-08-11,8.4
2018-08-12,7.5
2018-08-13,10.4
2018-08-14,9.7
2018-08-15,11.1
2018-08-16,10.8
2018-08-17,10.6
2018-08-18,11.8
2018-08-19,9.4
2018-08-20,7.6
2018-08-21,16.2
2018-08-22,10.8
2018-08-23,8.1
2018-08-24,8.8
2018-08-25,7.7
2018-08-26,8.2
2018-08-27,6.2
2018-08-28,8.1
2018-08-29,11.5
2018-08-30,14.7
2018-08-31,16.0
2018-09-01,17.7
2018-09-02,20.4
2018-09-03,25.3
2018-09-04,23.7
2018-09-05,16.7
2018-09-06,14.9
2018-09-07,9.0
2018-09-08,8.1
2018-09-09,8.0
2018-09-10,11.4
2018-09-11,11.0
2018-09-12,9.3
2018-09-13,14.3
