Date,PM10_weighted_value(ug m-3)
2018-01-01,33.0
2018-01-02,55.0
2018-01-03,46.0
2018-01-04,24.0
2018-01-05,47.0
2018-01-06,31.0
2018-01-07,17.0
2018-01-08,30.0
2018-01-09,49.2
2018-01-10,38.0
2018-01-11,33.0
2018-01-12,46.0
2018-01-13,36.0
2018-01-14,32.0
2018-01-15,12.0
2018-01-16,18.0
2018-01-17,25.0
2018-01-18,20.0
2018-01-19,24.0
2018-01-20,14.0
2018-01-21,18.0
2018-01-22,26.0
2018-01-23,17.0
2018-01-24,12.0
2018-01-25,34.0
2018-01-26,44.0
2018-01-27,23.0
2018-01-28,10.0
2018-01-29,24.0
2018-01-30,38.0
2018-01-31,14.0
2018-02-01,27.0
2018-02-02,35.0
2018-02-03,19.0
2018-02-04,14.0
2018-02-05,30.0
2018-02-06,30.0
2018-02-07,36.0
2018-02-08,69.0
2018-02-09,39.0
2018-02-10,42.0
2018-02-11,38.0
2018-02-12,63.0
2018-02-13,24.0
2018-02-14,27.0
2018-02-15,26.0
2018-02-16,38.0
2018-02-17,46.0
2018-02-18,33.0
2018-02-19,32.0
2018-02-20,15.0
2018-02-21,64.0
2018-02-22,41.0
2018-02-23,39.0
2018-02-24,38.0
2018-02-25,22.0
2018-02-26,33.0
2018-02-27,38.0
2018-02-28,27.0
2018-03-01,45.0
2018-03-02,47.0
2018-03-03,70.0
2018-03-04,27.0
2018-03-05,32.0
2018-03-06,26.0
2018-03-07,31.0
2018-03-08,20.0
2018-03-09,36.0
2018-03-10,29.0
2018-03-11,35.0
2018-03-12,17.0
2018-03-13,36.0
2018-03-14,35.0
2018-03-15,32.0
2018-03-16,42.0
2018-03-17,23.0
2018-03-18,35.0
2018-03-19,40.0
2018-03-20,30.0
2018-03-21,34.0
2018-03-22,32.0
2018-03-23,35.0
2018-03-24,50.0
2018-03-25,48.0
2018-03-26,30.0
2018-03-27,20.0
2018-03-28,18.0
2018-03-29,35.0
2018-03-30,18.0
2018-03-31,22.0
2018-04-01,24.0
2018-04-02,16.0
2018-04-03,26.0
2018-04-04,24.0
2018-04-05,29.0
2018-04-06,34.0
2018-04-07,40.0
2018-04-08,25.0
2018-04-09,29.0
2018-04-10,48.0
2018-04-11,60.0
2018-04-12,49.0
2018-04-13,43.0
2018-04-14,51.0
2018-04-15,41.0
2018-04-16,39.0
2018-04-17,43.0
2018-04-18,38.0
2018-04-19,60.0
2018-04-20,45.0
2018-04-21,58.0
2018-04-22,38.0
2018-04-23,24.0
2018-04-24,26.0
2018-04-25,23.0
2018-04-26,27.0
2018-04-27,26.0
2018-04-28,14.0
2018-04-29,14.0
2018-04-30,19.0
2018-05-01,29.0
