Date,PM25_weighted_value(ug m-3)
2018-01-01,7.8
2018-01-02,10.1
2018-01-03,11.2
2018-01-04,9.4
2018-01-05,12.1
2018-01-06,14.9
2018-01-07,3.7
2018-01-08,15.1
2018-01-09,27.8
2018-01-10,18.4
2018-01-11,21.1
2018-01-12,23.8
2018-01-13,23.1
2018-01-14,25.8
2018-01-15,11.1
2018-01-16,9.933333333333334
2018-01-17,9.466666666666667
2018-01-18,12.6
2018-01-19,10.266666666666667
2018-01-20,10.0
2018-01-21,17.1
2018-01-22,12.2
2018-01-23,11.1
2018-01-24,10.5
2018-01-25,13.9
2018-01-26,13.2
2018-01-27,16.4
2018-01-28,8.4
2018-01-29,7.6
2018-01-30,17.8
2018-01-31,10.1
2018-02-01,6.2
2018-02-02,9.0
2018-02-03,14.6
2018-02-04,6.4
2018-02-05,8.7
2018-02-06,16.2
2018-02-07,11.5
2018-02-08,16.0
2018-02-09,6.9
2018-02-10,10.5
2018-02-11,4.2
2018-02-12,12.0
2018-02-13,8.9
2018-02-14,13.2
2018-02-15,13.1
2018-02-16,14.8
2018-02-17,19.0
2018-02-18,17.8
2018-02-19,17.2
2018-02-20,7.2
2018-02-21,33.1
2018-02-22,23.8
2018-02-23,20.0
2018-02-24,22.5
2018-02-25,9.7
2018-02-26,6.3
2018-02-27,8.5
2018-02-28,17.6
2018-03-01,29.5
2018-03-02,38.2
2018-03-03,63.8
2018-03-04,21.5
2018-03-05,12.1
2018-03-06,14.3
2018-03-07,14.25
2018-03-08,16.46666666666667
2018-03-09,12.933333333333332
2018-03-10,15.5
2018-03-11,16.0
2018-03-12,10.1
2018-03-13,13.5
2018-03-14,11.0
2018-03-15,11.1
2018-03-16,13.7
2018-03-17,11.3
2018-03-18,17.5
2018-03-19,10.2
2018-03-20,6.3
2018-03-21,10.633333333333333
2018-03-22,14.933333333333332
2018-03-23,13.5
2018-03-24,24.5
2018-03-25,25.6
2018-03-26,11.7
2018-03-27,11.2
2018-03-28,11.8
2018-03-29,11.3
2018-03-30,9.6
2018-03-31,9.9
2018-04-01,10.5
2018-04-02,13.1
2018-04-03,11.7
2018-04-04,10.5
2018-04-05,7.7
2018-04-06,13.6
2018-04-07,21.9
2018-04-08,18.7
2018-04-09,27.466666666666665
2018-04-10,22.7
2018-04-11,37.0
2018-04-12,29.3
2018-04-13,26.7
2018-04-14,36.1
2018-04-15,25.0
2018-04-16,12.7
2018-04-17,11.4
2018-04-18,17.1
2018-04-19,32.6
2018-04-20,23.6
2018-04-21,35.1
2018-04-22,23.4
2018-04-23,11.1
2018-04-24,12.1
2018-04-25,10.0
2018-04-26,12.0
2018-04-27,13.8
2018-04-28,8.6
2018-04-29,5.9
2018-04-30,7.5
2018-05-01,12.7
