count_date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,road_type
2018-03-16,150.03,52.1,281.35,53.59,132.43,14.34,2.21,3.24,0.6,0.86,0.56,21.8,713.11,Major
2018-03-17,149.68,52.0,281.21,53.48,132.23,14.31,2.2,3.23,0.6,0.86,0.56,21.76,712.12,Major
2018-03-18,149.34,51.9,281.07,53.37,132.03,14.28,2.2,3.23,0.6,0.85,0.56,21.72,711.15,Major
2018-03-19,148.99,51.8,280.94,53.26,131.83,14.26,2.2,3.22,0.59,0.85,0.56,21.68,710.1800000000001,Major
2018-03-20,148.65,51.7,280.8,53.16,131.63,14.23,2.2,3.22,0.59,0.85,0.56,21.64,709.2300000000001,Major
2018-03-21,148.31,51.6,280.67,53.05,131.44,14.2,2.19,3.22,0.59,0.85,0.56,21.6,708.2800000000001,Major
2018-03-22,147.97,51.5,280.54,52.94,131.24,14.17,2.19,3.21,0.59,0.85,0.56,21.56,707.32,Major
2018-03-23,147.63,51.4,280.4,52.83,131.04,14.14,2.19,3.21,0.59,0.84,0.56,21.53,706.36,Major
2018-03-24,147.29,51.31,280.27,52.73,130.85,14.11,2.19,3.2,0.59,0.84,0.56,21.49,705.4300000000002,Major
2018-03-25,146.95,51.21,280.14,52.62,130.65,14.09,2.18,3.2,0.59,0.84,0.56,21.45,704.48,Major
2018-03-26,146.62,51.11,280.01,52.51,130.46,14.06,2.18,3.19,0.58,0.84,0.56,21.41,703.53,Major
2018-03-27,146.28,51.01,279.88,52.41,130.26,14.03,2.18,3.19,0.58,0.83,0.56,21.37,702.5799999999999,Major
2018-03-28,145.94,50.91,279.74,52.3,130.07,14.0,2.18,3.19,0.58,0.83,0.56,21.33,701.6300000000001,Major
2018-03-29,145.61,50.82,279.62,52.2,129.88,13.98,2.17,3.18,0.58,0.83,0.56,21.29,700.7199999999999,Major
2018-03-30,145.27,50.72,279.49,52.09,129.69,13.95,2.17,3.18,0.58,0.83,0.55,21.26,699.78,Major
2018-03-31,144.94,50.62,279.36,51.98,129.49,13.92,2.17,3.17,0.58,0.82,0.55,21.22,698.8199999999999,Major
2018-04-01,144.61,50.52,279.23,51.88,129.3,13.89,2.17,3.17,0.58,0.82,0.55,21.18,697.8999999999999,Major
2018-04-02,144.28,50.43,279.1,51.77,129.11,13.87,2.16,3.16,0.57,0.82,0.55,21.14,696.96,Major
2018-04-03,143.94,50.33,278.97,51.67,128.92,13.84,2.16,3.16,0.57,0.82,0.55,21.11,696.04,Major
2018-04-04,143.61,50.24,278.85,51.56,128.73,13.81,2.16,3.16,0.57,0.82,0.55,21.07,695.13,Major
2018-04-05,143.28,50.14,278.72,51.46,128.54,13.79,2.16,3.15,0.57,0.81,0.55,21.03,694.1999999999998,Major
2018-04-06,142.95,50.04,278.6,51.36,128.35,13.76,2.15,3.15,0.57,0.81,0.55,20.99,693.28,Major
2018-04-07,142.63,49.95,278.47,51.25,128.17,13.73,2.15,3.14,0.57,0.81,0.55,20.96,692.3799999999999,Major
2018-04-08,142.3,49.85,278.35,51.15,127.98,13.71,2.15,3.14,0.57,0.81,0.55,20.92,691.4799999999999,Major
2018-04-09,141.97,49.76,278.22,51.05,127.79,13.68,2.15,3.14,0.56,0.8,0.55,20.88,690.5499999999997,Major
2018-04-10,141.65,49.66,278.1,50.94,127.6,13.65,2.14,3.13,0.56,0.8,0.55,20.85,689.6299999999999,Major
2018-04-11,141.32,49.57,277.98,50.84,127.42,13.63,2.14,3.13,0.56,0.8,0.55,20.81,688.7499999999998,Major
2018-04-12,141.0,49.48,277.86,50.74,127.23,13.6,2.14,3.12,0.56,0.8,0.55,20.78,687.8599999999999,Major
2018-04-13,140.67,49.38,277.73,50.63,127.05,13.58,2.14,3.12,0.56,0.8,0.55,20.74,686.9499999999998,Major
2018-04-14,140.35,49.29,277.61,50.53,126.86,13.55,2.13,3.12,0.56,0.79,0.55,20.7,686.0399999999998,Major
2018-04-15,140.03,49.2,277.49,50.43,126.68,13.53,2.13,3.11,0.56,0.79,0.55,20.67,685.1699999999997,Major
2018-04-16,139.71,49.1,277.37,50.33,126.5,13.5,2.13,3.11,0.56,0.79,0.55,20.63,684.2799999999999,Major
2018-04-17,139.39,49.01,277.25,50.22,126.31,13.47,2.13,3.1,0.55,0.79,0.55,20.6,683.37,Major
2018-04-18,139.07,48.92,277.13,50.12,126.13,13.45,2.13,3.1,0.55,0.78,0.55,20.56,682.4899999999999,Major
2018-04-19,138.75,48.82,277.02,50.02,125.95,13.42,2.12,3.1,0.55,0.78,0.55,20.53,681.6099999999999,Major
2018-04-20,138.43,48.73,276.9,49.92,125.77,13.4,2.12,3.09,0.55,0.78,0.55,20.49,680.7299999999998,Major
2018-04-21,138.11,48.64,276.78,49.82,125.59,13.37,2.12,3.09,0.55,0.78,0.55,20.46,679.86,Major
2018-04-22,137.79,48.55,276.66,49.72,125.41,13.35,2.12,3.08,0.55,0.78,0.55,20.42,678.9799999999999,Major
2018-04-23,137.48,48.46,276.55,49.62,125.23,13.32,2.11,3.08,0.55,0.77,0.55,20.39,678.11,Major
2018-04-24,137.16,48.37,276.43,49.52,125.05,13.3,2.11,3.08,0.55,0.77,0.55,20.35,677.2399999999999,Major
2018-04-25,136.85,48.27,276.32,49.42,124.87,13.28,2.11,3.07,0.54,0.77,0.55,20.32,676.37,Major
2018-04-26,136.53,48.18,276.2,49.32,124.69,13.25,2.11,3.07,0.54,0.77,0.55,20.29,675.4999999999999,Major
2018-04-27,136.22,48.09,276.09,49.22,124.51,13.23,2.1,3.06,0.54,0.77,0.55,20.25,674.6299999999999,Major
2018-04-28,135.91,48.0,275.98,49.12,124.33,13.2,2.1,3.06,0.54,0.76,0.55,20.22,673.77,Major
2018-04-29,135.6,47.91,275.86,49.02,124.16,13.18,2.1,3.06,0.54,0.76,0.55,20.18,672.9199999999997,Major
2018-04-30,135.29,47.82,275.75,48.92,123.98,13.15,2.1,3.05,0.54,0.76,0.55,20.15,672.0599999999998,Major
2018-05-01,134.98,47.73,275.64,48.82,123.81,13.13,2.1,3.05,0.54,0.76,0.55,20.12,671.2299999999999,Major
2018-05-02,134.67,47.64,275.53,48.72,123.63,13.11,2.09,3.05,0.53,0.75,0.55,20.08,670.3499999999999,Major
2018-05-03,134.36,47.55,275.42,48.62,123.46,13.08,2.09,3.04,0.53,0.75,0.55,20.05,669.5,Major
2018-05-04,134.05,47.47,275.31,48.52,123.28,13.06,2.09,3.04,0.53,0.75,0.55,20.02,668.6699999999998,Major
2018-05-05,133.74,47.38,275.2,48.43,123.11,13.04,2.09,3.04,0.53,0.75,0.55,19.98,667.8399999999999,Major
2018-05-06,133.44,47.29,275.09,48.33,122.94,13.01,2.08,3.03,0.53,0.75,0.55,19.95,666.9899999999999,Major
2018-05-07,133.13,47.2,274.98,48.23,122.76,12.99,2.08,3.03,0.53,0.74,0.55,19.92,666.14,Major
2018-05-08,132.83,47.11,274.87,48.13,122.59,12.97,2.08,3.02,0.53,0.74,0.55,19.89,665.31,Major
2018-05-09,132.52,47.02,274.76,48.04,122.42,12.94,2.08,3.02,0.53,0.74,0.55,19.86,664.48,Major
2018-05-10,132.22,46.94,274.66,47.94,122.25,12.92,2.08,3.02,0.52,0.74,0.55,19.82,663.66,Major
2018-05-11,131.92,46.85,274.55,47.84,122.08,12.9,2.07,3.01,0.52,0.74,0.55,19.79,662.8199999999999,Major
2018-05-12,131.61,46.76,274.44,47.75,121.91,12.87,2.07,3.01,0.52,0.73,0.55,19.76,661.98,Major
2018-05-13,131.31,46.67,274.34,47.65,121.74,12.85,2.07,3.01,0.52,0.73,0.55,19.73,661.17,Major
2018-05-14,131.01,46.59,274.23,47.55,121.57,12.83,2.07,3.0,0.52,0.73,0.55,19.7,660.3500000000001,Major
2018-05-15,130.71,46.5,274.13,47.46,121.4,12.81,2.06,3.0,0.52,0.73,0.55,19.66,659.5299999999999,Major
2018-05-16,130.41,46.42,274.02,47.36,121.23,12.78,2.06,3.0,0.52,0.73,0.55,19.63,658.7099999999998,Major
2018-05-17,130.11,46.33,273.92,47.27,121.06,12.76,2.06,2.99,0.52,0.72,0.55,19.6,657.89,Major
2018-05-18,129.82,46.24,273.82,47.17,120.9,12.74,2.06,2.99,0.52,0.72,0.55,19.57,657.1,Major
2018-05-19,129.52,46.16,273.72,47.08,120.73,12.72,2.06,2.98,0.51,0.72,0.55,19.54,656.29,Major
2018-05-20,129.22,46.07,273.61,46.98,120.56,12.7,2.05,2.98,0.51,0.72,0.55,19.51,655.46,Major
2018-05-21,128.93,45.99,273.51,46.89,120.4,12.67,2.05,2.98,0.51,0.72,0.55,19.48,654.68,Major
2018-05-22,128.63,45.9,273.41,46.79,120.23,12.65,2.05,2.97,0.51,0.71,0.55,19.45,653.85,Major
2018-05-23,128.34,45.82,273.31,46.7,120.07,12.63,2.05,2.97,0.51,0.71,0.55,19.42,653.0799999999999,Major
2018-05-24,128.05,45.73,273.21,46.6,119.9,12.61,2.05,2.97,0.51,0.71,0.55,19.39,652.28,Major
2018-05-25,127.75,45.65,273.11,46.51,119.74,12.59,2.04,2.96,0.51,0.71,0.55,19.36,651.48,Major
2018-05-26,127.46,45.57,273.01,46.42,119.58,12.57,2.04,2.96,0.51,0.71,0.55,19.33,650.71,Major
2018-05-27,127.17,45.48,272.91,46.32,119.42,12.55,2.04,2.96,0.5,0.7,0.55,19.3,649.9,Major
2018-05-28,126.88,45.4,272.82,46.23,119.25,12.53,2.04,2.95,0.5,0.7,0.55,19.27,649.12,Major
2018-05-29,126.59,45.32,272.72,46.14,119.09,12.5,2.04,2.95,0.5,0.7,0.55,19.24,648.34,Major
2018-05-30,126.3,45.23,272.62,46.04,118.93,12.48,2.03,2.95,0.5,0.7,0.55,19.21,647.5400000000001,Major
2018-05-31,126.02,45.15,272.53,45.95,118.77,12.46,2.03,2.94,0.5,0.7,0.55,19.18,646.78,Major
2018-06-01,125.73,45.07,272.43,45.86,118.61,12.44,2.03,2.94,0.5,0.69,0.55,19.15,646.0000000000001,Major
2018-06-02,125.44,44.99,272.34,45.76,118.45,12.42,2.03,2.94,0.5,0.69,0.55,19.12,645.23,Major
2018-06-03,125.16,44.9,272.24,45.67,118.29,12.4,2.03,2.93,0.5,0.69,0.55,19.09,644.4499999999999,Major
2018-06-04,124.87,44.82,272.15,45.58,118.13,12.38,2.02,2.93,0.5,0.69,0.55,19.06,643.6799999999998,Major
2018-06-05,124.59,44.74,272.05,45.49,117.98,12.36,2.02,2.93,0.49,0.69,0.55,19.04,642.93,Major
2018-06-06,124.3,44.66,271.96,45.4,117.82,12.34,2.02,2.92,0.49,0.68,0.55,19.01,642.1499999999997,Major
2018-06-07,124.02,44.58,271.87,45.31,117.66,12.32,2.02,2.92,0.49,0.68,0.55,18.98,641.4,Major
2018-06-08,123.74,44.5,271.77,45.22,117.5,12.3,2.02,2.92,0.49,0.68,0.55,18.95,640.6399999999999,Major
2018-06-09,123.46,44.42,271.68,45.12,117.35,12.28,2.01,2.91,0.49,0.68,0.55,18.92,639.8699999999998,Major
2018-06-10,123.18,44.33,271.59,45.03,117.19,12.26,2.01,2.91,0.49,0.68,0.55,18.89,639.1099999999998,Major
2018-06-11,122.9,44.25,271.5,44.94,117.04,12.24,2.01,2.91,0.49,0.68,0.55,18.87,638.3799999999999,Major
2018-06-12,122.62,44.17,271.41,44.85,116.88,12.22,2.01,2.91,0.49,0.67,0.55,18.84,637.62,Major
